gene,source,n_carriers,esm_lr_auroc,ft_lr_auroc,is_causal,delta_ft_minus_esm
OmpK36,chromosomal,404,0.8383587786259542,0.9951908396946564,True,0.15683206106870218
pqqF,bakta_nonamr,409,0.80271411054518,0.9886813808715336,False,0.18596727032635352
selO,bakta_nonamr,412,0.7969368986983588,0.9884219958498396,False,0.19148509715148077
pulA,bakta_nonamr,405,0.7952508960573477,0.9865591397849462,False,0.19130824372759858
OmpK35,chromosomal,405,0.7929262086513995,0.9921119592875318,True,0.1991857506361323
ade,bakta_nonamr,412,0.78903744576495,0.9937040181097906,False,0.20466657234484054
mhpA,bakta_nonamr,411,0.7874221844934918,0.9865119788719108,False,0.199089794378419
gspJ,bakta_nonamr,412,0.7805131107338238,0.9886106395019808,False,0.20809752876815701
GyrA,chromosomal,412,0.7798091603053435,0.993944020356234,False,0.21413486005089044
hpxW,bakta_nonamr,407,0.7782375966798718,0.9944468024900962,False,0.2162092058102244
gatC,bakta_nonamr,408,0.7777895680060367,0.9892708922844746,False,0.2114813242784379
paaD,bakta_nonamr,412,0.7764572722127899,0.9887521222410868,False,0.21229485002829684
tssH,bakta_nonamr,382,0.7736865685719676,0.9815836634597246,False,0.20789709488775698
pgaA,bakta_nonamr,407,0.7728258819090738,0.9911809092624032,False,0.21835502735332946
comEC,bakta_nonamr,405,0.7684988681380871,0.983316827013771,False,0.2148179588756839
cpdB,bakta_nonamr,409,0.7681451612903225,0.9904617053386152,False,0.2223165440482927
zraR,bakta_nonamr,408,0.7613186191284664,0.9912280701754386,False,0.22990945104697214
rbbA,bakta_nonamr,410,0.7611889266176193,0.988139030371628,False,0.2269501037540087
ParC,chromosomal,410,0.755559796437659,0.9827480916030534,False,0.2271882951653944
AAC(6'),acquired,272,0.7419338422391858,0.9252671755725193,False,0.18333333333333346
KPC,acquired,125,0.7369465648854963,0.7334860050890586,True,-0.0034605597964376678
Cat,acquired,129,0.7025063613231551,0.7343511450381679,False,0.03184478371501276
OXA,acquired,163,0.6875063613231551,0.7826844783715013,True,0.09517811704834622
Dfr,acquired,144,0.6660305343511451,0.7447455470737913,False,0.07871501272264614
PmrB,chromosomal,412,0.6516030534351145,0.9883715012722646,False,0.3367684478371501
Sul,acquired,195,0.6338676844783715,0.8408396946564886,False,0.20697201017811706
ANT(3''),acquired,138,0.6266284987277353,0.737671755725191,False,0.11104325699745565
Mrx,acquired,118,0.6260559796437659,0.7170737913486006,False,0.0910178117048347
MphA,acquired,119,0.623498727735369,0.7142875318066157,False,0.09078880407124679
NDM,acquired,82,0.6129516539440204,0.6131552162849874,True,0.00020356234096696735
SHV-OKP-LEN,acquired,395,0.6038040712468193,0.9891348600508906,False,0.38533078880407123
Arr,acquired,73,0.5915648854961831,0.6311704834605598,False,0.03960559796437668
TetA,acquired,86,0.5909287531806615,0.6983969465648855,False,0.10746819338422398
QnrS,acquired,89,0.5673155216284987,0.6667684478371502,False,0.09945292620865143
APH(3'),acquired,66,0.5536895674300254,0.6225699745547073,False,0.06888040712468191
AAC(3),acquired,134,0.5471755725190841,0.7491603053435115,False,0.20198473282442742
RmtB,acquired,23,0.5322646310432569,0.5347328244274809,False,0.0024681933842239934
QnrB,acquired,131,0.5292493638676844,0.7649745547073792,False,0.2357251908396948
StrB,acquired,166,0.5247455470737914,0.8130407124681933,False,0.2882951653944019
StrA,acquired,162,0.5166412213740459,0.8007888040712469,False,0.284147582697201
FloR,acquired,25,0.5160050890585242,0.5360814249363868,False,0.020076335877862617
MphE,acquired,33,0.5118956743002545,0.5483078880407125,False,0.036412213740458
TEM,acquired,216,0.5107888040712468,0.8595801526717557,False,0.34879134860050887
TetD,acquired,61,0.5103053435114504,0.6006615776081424,False,0.09035623409669202
VEB,acquired,14,0.5100763358778627,0.5020610687022901,False,-0.00801526717557266
ANT(2''),acquired,12,0.5091857506361323,0.5179007633587787,False,0.00871501272264641
MsrE,acquired,33,0.5058396946564885,0.5468575063613231,False,0.04101781170483465
APH(4),acquired,10,0.5058269720101781,0.505381679389313,False,-0.0004452926208651231
CTX-M,acquired,206,0.5027989821882952,0.8583460559796438,True,0.35554707379134853
CmlA,acquired,23,0.5015267175572519,0.539236641221374,False,0.03770992366412218
LAP,acquired,11,0.4740458015267175,0.515381679389313,False,0.041335877862595516
ArmA,acquired,47,0.4380534351145038,0.5517302798982189,False,0.11367684478371509
