gene_name,esm_lr_auroc,frozen_lr_auroc,ft_lr_auroc,delta_ft_minus_esm,prevalence,n_carriers_esm,n_carriers_ft,selection_esm_lr_auroc
gatC,0.7777895680060367,0.8243255989435954,0.9892708922844746,0.2114813242784379,0.9439507860560492,408,408,0.8302971355766388
ftsK,0.7593614412375024,0.8348189020939445,0.9922891907187323,0.23292774948122996,0.9514695830485304,412,412,0.8119172752713124
tssH,0.7736865685719676,0.8201518581399737,0.9815836634597246,0.20789709488775698,0.9008885850991114,382,382,0.8101039747002479
hemYx,0.7209606677985286,0.8565836634597246,0.9893180531975099,0.26835738539898124,0.9179767600820232,398,398,0.8096625941346438
treA,0.7522283531409168,0.8438737973967176,0.9935625353706847,0.24133418222976788,0.9514695830485304,412,412,0.8094202898550724
wza,0.7108210714959442,0.8045180154687795,0.965973401245048,0.25515232974910385,0.8721804511278195,375,375,0.8085079516756535
ydhJ,0.7063525749858517,0.8206352574985852,0.9796146953405018,0.27326212035465014,0.8824333561175667,376,376,0.8046060564694106
dsbD,0.7152070364082248,0.7656692133559706,0.9959795321637428,0.280772495755518,0.9432672590567328,409,409,0.8018110254135098
polB,0.7425957366534617,0.8555461233729486,0.9883748349368043,0.24577909828334266,0.9501025290498974,412,412,0.801666552908789
pgaA,0.7728258819090738,0.80331541218638,0.9911809092624032,0.21835502735332946,0.945317840054682,407,407,0.8012490614975087
pqqF,0.80271411054518,0.847292963591775,0.9886813808715336,0.18596727032635352,0.9405331510594668,409,409,0.8001911132345914
traI,0.6864742501414828,0.7132970194302962,0.8642708922844746,0.17779664214299185,0.4907723855092276,216,216,0.800123996086729
cydC,0.7585479154876439,0.8583286172420298,0.9865827202414639,0.22803480475382,0.9521531100478468,412,412,0.7994152845084521
comEC,0.7684988681380871,0.8584818902093945,0.983316827013771,0.2148179588756839,0.9295967190704032,405,405,0.7984892953837054
hofC,0.7185790416902471,0.8629268062629691,0.9874080362195812,0.26882899452933406,0.9439507860560492,409,409,0.7981935249015994
