gene_name,site,category,mut_auroc,mut_auroc_sd,mut_auprc,mut_auprc_sd,n_determinants,n_genomes_with_determinant,embeddable,is_causal,is_rrna,is_noncoding
__ALL_CARD__,__ALL_CARD__,all,0.9411203749634321,0.001899916939319764,0.9385094792511549,0.0013682865577218956,17,3187,False,False,False,False
AAC(3),AAC(3),acquired_hgt,0.8848351585454266,2.298380017448157e-16,0.8473570076555867,2.298380017448157e-16,1,1462,True,True,False,False
StrA,StrA,acquired_hgt,0.6986086732552368,2.298380017448157e-16,0.5477449808073196,0.0,1,1531,True,True,False,False
StrB,StrB,acquired_hgt,0.6968963444881138,1.1491900087240784e-16,0.5451933391318066,1.1491900087240784e-16,1,1564,True,True,False,False
AAC(6'),AAC(6'),acquired_hgt,0.651452856107147,0.0,0.482051588388268,1.1491900087240784e-16,1,2200,True,True,False,False
ANT(3''),ANT(3''),acquired_hgt,0.559929121990308,0.0,0.4154867180329072,1.1491900087240784e-16,1,1531,True,True,False,False
ArmA,ArmA,acquired_hgt,0.5447852672949977,1.1491900087240784e-16,0.431673283506318,0.0,1,218,True,True,False,False
APH(4),APH(4),acquired_hgt,0.5194986072423398,1.1491900087240784e-16,0.40485087302126493,1.1491900087240784e-16,1,76,True,True,False,False
ANT(2''),ANT(2''),acquired_hgt,0.5183228717518221,0.0,0.3996121546537009,1.1491900087240784e-16,1,71,True,True,False,False
RmtF,RmtF,acquired_hgt,0.5125348189415043,1.1491900087240784e-16,0.39622552335490646,1.1491900087240784e-16,1,47,True,True,False,False
APH(3'),APH(3'),acquired_hgt,0.5123545236005647,0.017050862477664023,0.38709814710276974,0.007454319730826182,1,769,True,True,False,False
RmtB,RmtB,acquired_hgt,0.5005668014906958,0.0016594248483523082,0.3809913933582837,0.0007495376213457354,1,100,True,True,False,False
SAT,SAT,acquired_hgt,0.4991438356164384,0.0,0.38069989395546133,5.745950043620392e-17,1,27,True,True,False,False
