gene_name,esm_lr_auroc,ft_lr_auroc,delta_ft_minus_esm,prevalence,n_carriers_esm,n_carriers_ft,selection_esm_lr_auroc
aac(3)-IIe,0.7401932428722695,0.7396392995803757,-0.0005539432918938436,0.284,181,181,0.793901692147167
bcsC,0.728004039374093,0.9730945331189458,0.2450904937448528,0.9335,879,879,0.7873684389602141
nirB,0.7002505000196086,0.9717783050315697,0.27152780501196105,0.9155,845,845,0.7822727169623009
mhpA,0.714581944389976,0.9748617592846778,0.26027981489470176,0.9335,875,875,0.782123576645647
hypF,0.6972332248323463,0.9699301933409153,0.27269696850856906,0.937,879,879,0.7801994964387787
pqqF,0.7333596415545708,0.9714964312325974,0.23813678967802665,0.9315,874,874,0.7788407884589211
pbpC,0.6871004745284129,0.9785530805129613,0.29145260598454836,0.938,879,879,0.7736344871387741
gcvP,0.7244769402721676,0.9681507117926194,0.24367377152045178,0.939,881,881,0.7717591752483781
dsbD,0.6934340562374994,0.971949880387466,0.27851582414996656,0.916,860,860,0.7717279862087737
entF,0.7042751676536334,0.9752049099964704,0.27092974234283695,0.934,876,876,0.7713849067731253
hrpB,0.7030177654025648,0.9753911918114436,0.27237342640887885,0.9335,879,879,0.7712057115637618
tssM,0.6770902780501196,0.9428163849562727,0.26572610690615317,0.764,690,690,0.770765662568616
benC,0.7198321502804033,0.9722219498803876,0.2523897995999843,0.935,874,874,0.7704894977997551
pgtC,0.6942453625632379,0.9688639750578453,0.2746186124946074,0.9035,829,829,0.7699711926688744
fucK,0.6741661437703439,0.9755210988666222,0.3013549550962783,0.932,875,875,0.769936601188586
comEC,0.6887598533275815,0.9721484175850033,0.28338856425742176,0.9275,868,868,0.7693854057977589
uraD,0.6878848190125103,0.9711508294442919,0.28326601043178157,0.9355,881,881,0.7684361248468902
gatC,0.6944855680614925,0.969094376250049,0.2746088081885565,0.9335,875,875,0.7684247833779432
thiK,0.7081405153143261,0.9786805364916272,0.27054002117730114,0.939,881,881,0.7683391552873928
scsB,0.7323571512608338,0.9680600219616454,0.23570287070081164,0.917,858,858,0.7683000272195255
ccmI,0.7244573316600652,0.978580042354602,0.25412271069453685,0.9305,874,874,0.7677664111055663
zraR,0.7020201772618533,0.9783226793207576,0.2763025020589043,0.9295,876,876,0.7673076486866579
entD,0.6994195850817679,0.97469753715832,0.27527795207655203,0.9375,880,880,0.7668313069908814
mnmC,0.7085228832503234,0.9725822581277698,0.26405937487744635,0.939,881,881,0.7666986118042008
gspL,0.7340557472842072,0.976815267265383,0.24275951998117584,0.9255,871,871,0.7663101664927641
menF,0.7108268951723596,0.9778692301658888,0.26704233499352914,0.938,880,880,0.7661791725264255
fadJ,0.7211434762147533,0.9758814071140045,0.25473793089925123,0.938,880,880,0.7653881050673683
hpxE,0.6981376720655712,0.9756166908506215,0.2774790187850503,0.935,880,880,0.7639040738556457
ydbH,0.7246289070159614,0.9757588532883643,0.2511299462724029,0.938,881,881,0.763531506600735
piuB,0.7023045021373387,0.9754058982705205,0.27310139613318174,0.937,880,880,0.7634742321825523
aNKYR,0.6955223734264089,0.974798031295345,0.27927565786893616,0.9255,866,866,0.7624733475479744
tmcA,0.6889927055962979,0.9762784815090788,0.2872857759127809,0.938,879,879,0.7615252007440004
pgaA,0.7095327267735989,0.9816978116788894,0.27216508490529046,0.9325,870,870,0.7610777797940389
paaZ,0.6766294756657123,0.9747244989999608,0.29809502333424853,0.9375,880,880,0.7605464319738693
tssH,0.7030961998509745,0.9682634613122083,0.2651672614612338,0.8925,835,835,0.7601727305720636
rbbA,0.7147608729754107,0.9752000078434448,0.26043913486803416,0.932,875,875,0.760155718368643
ncs1,0.6999661751441233,0.9725822581277697,0.27261608298364637,0.9125,849,849,0.759787687701311
ade,0.7157584611161223,0.9750259814110357,0.2592675202949134,0.938,878,878,0.7596640656897882
torA,0.6848332287540688,0.9744352719714499,0.28960204321738103,0.9375,881,881,0.7596011205371318
tadD,0.6406550256872818,0.9677095180203145,0.32705449233303263,0.891,824,824,0.7596005534636846
cbiQ,0.680994842935017,0.9771510647476371,0.29615622181262014,0.938,881,881,0.759377693598875
dgcQ,0.6794016432016943,0.9733371896937134,0.29393554649201914,0.9295,873,873,0.7593164496665609
paaH,0.7002774618612495,0.9740676104945291,0.27379014863327955,0.938,881,881,0.758768656716418
walK,0.6803404055060984,0.9756068865445703,0.29526648103847186,0.921,871,871,0.7584754797441364
ydcK,0.6708988587787756,0.9773324444095847,0.306433585630809,0.939,879,879,0.7581505466588033
polB,0.6978557982665988,0.9797443036981842,0.2818885054315854,0.935,877,877,0.7579191806922834
xynB,0.703630534530766,0.9764549590180007,0.27282442448723476,0.9305,868,868,0.7571286803066734
pcaB,0.6834287619122319,0.9678075610808268,0.2843787991685949,0.936,880,880,0.7571230095721998
cusA,0.6557561080826699,0.956096317502647,0.3003402094199771,0.869,816,816,0.7570821802839903
dsd1,0.7091675163731911,0.9713273069532139,0.2621597905800228,0.908,849,849,0.7567504423172889
