gene_name,site,category,mut_auroc,mut_auroc_sd,mut_auprc,mut_auprc_sd,n_determinants,n_genomes_with_determinant,embeddable,is_causal,is_rrna,is_noncoding
__ALL_CARD__,__ALL_CARD__,all,0.9663217138707334,0.0006272725228729815,0.9511760440854188,0.0014271695953193388,22,2280,False,False,False,False
KPC,KPC,acquired_hgt,0.8466775599128539,2.298380017448157e-16,0.8004892984978403,0.0,1,831,True,True,False,False
OmpK35 (WT),OmpK35 (WT),chromosomal_coding,0.6949346405228757,1.1491900087240784e-16,0.5588363044398699,1.1491900087240784e-16,1,911,True,False,False,False
CTX-M,CTX-M,acquired_hgt,0.6795206971677563,2.298380017448157e-16,0.555021160960717,2.298380017448157e-16,1,1259,True,True,False,False
OmpK36 (WT),OmpK36 (WT),chromosomal_coding,0.6696078431372551,1.1491900087240784e-16,0.5599812941539691,0.0,1,1653,True,False,False,False
OXA,OXA,acquired_hgt,0.6684095860566449,1.1491900087240784e-16,0.5443712997089099,2.298380017448157e-16,1,1249,True,True,False,False
OmpK35 (mut),OmpK35 (mut),porin_truncation,0.6625272331154685,1.1491900087240784e-16,0.5346938918195197,1.1491900087240784e-16,1,1369,False,True,False,True
OmpK36 (mut),OmpK36 (mut),porin_truncation,0.6347494553376906,0.0,0.5305436296073329,2.298380017448157e-16,1,621,False,True,False,True
TEM,TEM,acquired_hgt,0.621078431372549,0.0,0.505985631369226,1.1491900087240784e-16,1,1228,True,False,False,False
SHV-OKP-LEN (WT),SHV-OKP-LEN (WT),chromosomal_coding,0.6076797385620917,1.1491900087240784e-16,0.49694229170353493,5.745950043620392e-17,1,1207,True,False,False,False
SHV-OKP-LEN (mut),SHV-OKP-LEN (mut),chromosomal_coding,0.5777777777777777,1.1491900087240784e-16,0.47672833495618316,1.1491900087240784e-16,1,1030,True,False,False,False
NDM,NDM,acquired_hgt,0.5545206971677563,2.298380017448157e-16,0.48990392570530333,1.1491900087240784e-16,1,118,True,True,False,False
CMY,CMY,acquired_hgt,0.5049019607843137,0.0,0.43596425912137005,5.745950043620392e-17,1,22,True,False,False,False
LAP,LAP,acquired_hgt,0.5043572984749456,1.1491900087240784e-16,0.4325269207241078,0.0,1,33,True,False,False,False
CARB,CARB,acquired_hgt,0.5002795933188089,0.00054848744993329,0.4305517343889569,0.00029058596796376236,1,15,True,False,False,False
FOX,FOX,acquired_hgt,0.49918300653594777,0.0023919119435012984,0.4305115869774997,0.0019472251270187875,1,10,True,False,False,False
DHA,DHA,acquired_hgt,0.4981481481481483,1.1491900087240784e-16,0.4303797468354429,1.7237850130861175e-16,1,11,True,False,False,False
