gene,source,n_carriers,esm_lr_auroc,ft_lr_auroc,is_causal,delta_ft_minus_esm
KPC,acquired,173,0.8636966748421857,0.8700494551887741,True,0.006352780346588371
istB,bakta_nonamr,214,0.8389200298953663,0.8771393871449926,False,0.03821935724962633
OXA,acquired,230,0.7944895661613928,0.8645309798560573,True,0.07004141369466454
ybjD,bakta_nonamr,317,0.7847066517189836,0.9631726457399102,False,0.17846599402092667
flhA,bakta_nonamr,440,0.7828755605381166,0.9906296711509716,False,0.20775411061285498
ftsK,bakta_nonamr,446,0.7556520926756353,0.9884248878923768,False,0.23277279521674155
ybiB,bakta_nonamr,447,0.7475710014947683,0.9877335575485798,False,0.24016255605381154
benC,bakta_nonamr,442,0.7428157698056802,0.984304932735426,False,0.24148916292974576
glpQ,bakta_nonamr,437,0.7379017189835575,0.979942077727952,False,0.24204035874439456
cueO,bakta_nonamr,446,0.7350056053811659,0.986472346786248,False,0.2514667414050821
ptrA,bakta_nonamr,447,0.7302036621823618,0.9882567264573991,False,0.2580530642750374
yheS,bakta_nonamr,447,0.7272421524663677,0.9846132286995516,False,0.2573710762331839
paaZ,bakta_nonamr,447,0.7251214499252616,0.9871169656203288,False,0.2619955156950672
sad,bakta_nonamr,445,0.7232436472346787,0.9806240657698057,False,0.25738041853512694
entD,bakta_nonamr,446,0.7199364723467863,0.9898636023916292,False,0.2699271300448429
GyrA,chromosomal,447,0.7191508182220256,0.9898677174218968,False,0.2707168991998712
gspK,bakta_nonamr,447,0.7190863228699552,0.9863322122571,False,0.2672458893871448
fadJ,bakta_nonamr,446,0.7187406576980567,0.9898449177877428,False,0.271104260089686
AAC(6'),acquired,240,0.7180350609143178,0.8799304410759519,False,0.16189538016163407
OmpK36,chromosomal,441,0.7104961601865626,0.9876362028064816,True,0.277140042619919
OmpK35,chromosomal,441,0.7062040127055608,0.9838164931044188,True,0.277612480398858
ParC,chromosomal,441,0.6832053395520887,0.981203007518797,False,0.29799766796670824
PmrB,chromosomal,447,0.6679265007438382,0.9848015761328456,False,0.3168750753890074
Cat,acquired,162,0.6444051304732419,0.7801757066462949,False,0.135770576173053
CTX-M,acquired,229,0.6115455751678662,0.872944393068232,True,0.2613988179003658
TetA,acquired,96,0.5970407301676651,0.6704897269912751,False,0.07344899682360995
Dfr,acquired,198,0.5856017047967512,0.8298419846407463,False,0.2442402798439951
Sul,acquired,268,0.5799324514494794,0.8981042177636605,False,0.3181717663141811
SHV-OKP-LEN,acquired,407,0.5740722126171043,0.9829721362229102,False,0.40889992360580596
ANT(3''),acquired,180,0.5696996501950062,0.800560894214145,False,0.23086124401913877
QnrB,acquired,76,0.5630955731574926,0.643098387680431,False,0.08000281452293845
Mrx,acquired,161,0.5600498572634796,0.7763962044147802,False,0.21634634715130063
MphA,acquired,166,0.5559889027381288,0.7778537252221462,False,0.2218648224840174
NDM,acquired,27,0.554822886092236,0.5552953238711752,True,0.00047243777893923866
APH(3'),acquired,136,0.5461782799244099,0.7367918459249729,False,0.190613566000563
StrB,acquired,125,0.5412629166499134,0.7241968557758033,False,0.18293393912588984
TetD,acquired,44,0.5297434763379035,0.5686140484902095,False,0.03887057215230594
ArmA,acquired,19,0.5188874592899361,0.5277230509428651,False,0.00883559165292902
Arr,acquired,30,0.517339471673837,0.554883197298058,False,0.037543725624221036
AAC(3),acquired,130,0.5156507579108198,0.7236238993204938,False,0.20797314140967393
MsrE,acquired,20,0.5134594507659523,0.5380865264766194,False,0.024627075710667024
MphE,acquired,20,0.513067427928109,0.5379960596678863,False,0.02492863173977733
RmtB,acquired,8,0.5122532266495115,0.5127357162960877,False,0.00048248964657626736
StrA,acquired,121,0.5120019299585863,0.7112701539946122,False,0.19926822403602595
RmtF,acquired,8,0.5068352699931647,0.5125145752080736,False,0.005679305214908892
TEM,acquired,177,0.4999296369265409,0.7985806762896546,False,0.29865103936311366
QnrS,acquired,31,0.4897068875397049,0.547806682481605,False,0.058099794941900096
ANT(2''),acquired,17,0.484097945398255,0.5293011941618753,False,0.04520324876362025
APH(4),acquired,18,0.4746994491576535,0.5311708415423585,False,0.056471392384705
CmlA,acquired,33,0.4726890756302521,0.5578887057215232,False,0.08519963009127107
