gene_name,esm_lr_auroc,frozen_lr_auroc,ft_lr_auroc,delta_ft_minus_esm,prevalence,n_carriers_esm,n_carriers_ft,selection_esm_lr_auroc
istB,0.8389200298953663,0.8539891629297459,0.8771393871449926,0.03821935724962633,0.4404332129963899,214,214,0.8793619373906865
ybjD,0.7847066517189836,0.864480568011958,0.9631726457399102,0.17846599402092667,0.697352587244284,317,317,0.8379024295793241
flhA,0.7828755605381166,0.7664144245142003,0.9906296711509717,0.2077541106128551,0.9362214199759326,440,440,0.8357317621530972
gatC,0.7097627055306428,0.787173019431988,0.987920403587444,0.27815769805680124,0.9584837545126352,445,445,0.808382792760068
entF,0.6759155455904335,0.7218703288490285,0.9850242899850523,0.3091087443946188,0.9548736462093864,443,443,0.8054384300145777
dcp,0.7171057548579971,0.8043815396113604,0.982090807174888,0.26498505231689085,0.9530685920577616,444,444,0.8012883187208664
comEC,0.7146020179372198,0.8113508968609866,0.9882380418535127,0.27363602391629294,0.947653429602888,440,440,0.8006546406517283
bcsC,0.7121449925261584,0.7785033632286996,0.9858277279521674,0.27368273542600907,0.9584837545126352,446,446,0.7990400417331416
gyrA,0.71179932735426,0.7906109865470853,0.987359865470852,0.275560538116592,0.9596871239470516,447,447,0.7982535448367238
cueO,0.7350056053811659,0.7801195814648729,0.9864723467862481,0.2514667414050822,0.96028880866426,446,446,0.7980407186165336
tadD,0.6781857249626307,0.7320160687593422,0.9821281763826607,0.30394245142002996,0.9302045728038508,428,428,0.7967565604082423
gspK,0.7190863228699552,0.8151625560538117,0.9863322122571001,0.2672458893871449,0.9590854392298436,447,447,0.7963205066864238
cpdB,0.7121730194319882,0.8162275784753362,0.9896767563527653,0.2775037369207771,0.9596871239470516,446,446,0.7962532984063637
dsbD,0.6996730194319882,0.701700298953662,0.9852204783258595,0.28554745889387123,0.950661853188929,442,442,0.7942434507931377
gspL,0.7088658445440957,0.7979820627802691,0.9830156950672645,0.27414985052316876,0.9560770156438028,445,445,0.7934809568538844
hofC,0.6869674887892377,0.8027372944693572,0.9843142750373691,0.2973467862481314,0.9524669073405536,445,445,0.7920935859297864
ydhJ,0.7061285500747384,0.7693572496263079,0.9870889387144992,0.2809603886397608,0.9169675090252708,418,418,0.7916183273779329
bcsO,0.7024289985052317,0.779325485799701,0.9838097907324364,0.2813807922272047,0.9554753309265944,444,444,0.7905998018955936
ydbH,0.69722533632287,0.7410967862481315,0.9878456651718983,0.29062032884902833,0.9596871239470516,447,447,0.7904477831668861
yheS,0.7272421524663677,0.8346879671150971,0.9846132286995515,0.2573710762331838,0.9596871239470516,447,447,0.7901445458080436
zraR,0.6799047085201794,0.7540078475336323,0.9845945440956653,0.3046898355754859,0.9596871239470516,447,447,0.7899517220521567
entD,0.7199364723467863,0.7684136771300448,0.9898636023916293,0.26992713004484303,0.9578820697954272,446,446,0.7897997033234495
sad,0.7232436472346787,0.7461322869955157,0.9806240657698057,0.25738041853512694,0.9548736462093864,445,445,0.7895788761175376
benC,0.7428157698056802,0.8020739910313901,0.9843049327354259,0.24148916292974565,0.9512635379061372,442,442,0.7894388588674126
walK,0.6858090433482811,0.7567077727952167,0.9839125560538117,0.2981035127055306,0.9530685920577616,445,445,0.789053211355639
yfaS,0.6992993273542601,0.7740003736920777,0.9875653961136023,0.28826606875934213,0.9554753309265944,446,446,0.788731571729637
cusF,0.6526158445440957,0.8039331091180868,0.9791573243647235,0.32654147982062776,0.934416365824308,437,437,0.7886379601966962
pqqF,0.6950952914798206,0.7631726457399104,0.9899289985052316,0.294833707025411,0.9494584837545126,443,443,0.7882163082491762
paaZ,0.7251214499252616,0.803522047832586,0.9871169656203288,0.2619955156950672,0.9590854392298436,447,447,0.7880730906047625
ptrA,0.7302036621823618,0.7866872197309417,0.9882567264573991,0.2580530642750374,0.96028880866426,447,447,0.7879970812404088
ftsK,0.7556520926756353,0.73125,0.9884248878923767,0.23277279521674143,0.9596871239470516,446,446,0.7879106705946173
atsA,0.6955156950672645,0.7533819133034381,0.9812593423019431,0.2857436472346786,0.9157641395908545,417,417,0.7875002200271073
thiK,0.697645739910314,0.7956371449925261,0.9899757100149478,0.2923299701046338,0.96028880866426,447,447,0.7874866183513809
mhpA,0.6848094170403589,0.7899570254110613,0.9845945440956652,0.29978512705530624,0.9578820697954272,444,444,0.7874850181542365
ybiB,0.7475710014947683,0.8023449177877429,0.9877335575485798,0.24016255605381154,0.9590854392298436,447,447,0.7867281249049883
glgX,0.70625,0.7646207025411061,0.9888733183856502,0.28262331838565014,0.96028880866426,447,447,0.7865841071620023
hutG,0.6963004484304932,0.7540919282511209,0.9812219730941704,0.28492152466367715,0.9199759326113116,427,427,0.7862832700988761
sbcC,0.6363882660687592,0.8100803437967115,0.9712537369207773,0.3348654708520181,0.9001203369434416,402,402,0.7859824330357499
fadJ,0.7187406576980567,0.8020833333333334,0.9898449177877429,0.27110426008968613,0.9590854392298436,446,446,0.7856311897625787
fimK,0.6850336322869957,0.7895833333333333,0.982987668161435,0.29795403587443936,0.934416365824308,427,427,0.785455168076707
xynB,0.7122197309417041,0.7684977578475336,0.9847533632286996,0.27253363228699545,0.9530685920577616,443,443,0.7850983241135308
hrpB,0.6795964125560537,0.7472066517189835,0.9885183109118086,0.3089218983557549,0.957280385078219,445,445,0.7845894614216471
hpxE,0.6859585201793723,0.773776158445441,0.9842582212257099,0.29829970104633763,0.9560770156438028,447,447,0.784415840031492
vagC,0.7103512705530644,0.7206184603886397,0.8627428998505232,0.15239162929745886,0.4560770156438026,227,227,0.7838949758610261
glpQ,0.7379017189835575,0.787593423019432,0.979942077727952,0.24204035874439456,0.9380264741275572,437,437,0.783705352499428
aroD,0.7043161434977578,0.8069600149476832,0.9879204035874439,0.2836042600896861,0.96028880866426,447,447,0.7835573342635811
mdtM,0.6800541853512705,0.7793441704035874,0.9813994768310912,0.3013452914798207,0.9554753309265944,445,445,0.7830924769931656
hrpA,0.6724215246636772,0.7635369955156951,0.9874906576980569,0.31506913303437967,0.9566787003610108,444,444,0.782850047125806
tynA,0.7042133781763827,0.7814928998505233,0.9851924514200299,0.2809790732436471,0.9578820697954272,447,447,0.782578813709849
fosA,0.6899383408071749,0.7078008221225711,0.9848374439461883,0.29489910313901346,0.9392298435619736,432,432,0.7825044045426397
