gene_name,esm_lr_auroc,frozen_lr_auroc,ft_lr_auroc,delta_ft_minus_esm,prevalence,n_carriers_esm,n_carriers_ft,selection_esm_lr_auroc
gyrA,0.9466673048083978,0.9322612552247854,0.9426310583580613,-0.004036246450336511,0.954954954954955,411,411,0.9562021577189828
parC,0.9377173670272168,0.9325643725471429,0.9342873552215947,-0.0034300118056220796,0.954954954954955,410,410,0.9433213460056512
gatC,0.9042308796783766,0.8993650489773779,0.9318783701860183,0.027647490507641703,0.9543114543114544,409,409,0.9373118417672746
comEC,0.9219233591780734,0.8777799049168821,0.9427427331610352,0.020819373982961742,0.9504504504504504,407,407,0.9309671204726432
mhpA,0.9120959765163843,0.8583484891994512,0.9569094795954182,0.04481350307903387,0.953024453024453,408,408,0.9275378885178526
bcsC,0.8912606489901408,0.9166905969815896,0.9326122331769886,0.04135158418684781,0.9536679536679536,410,410,0.9267557153865912
benC,0.8685587568999075,0.8762005041319676,0.9418014741073992,0.07324271720749176,0.945945945945946,407,407,0.9256537374775236
dsbD,0.8847675568743818,0.8164385309977344,0.9442264126862576,0.05945885581187582,0.944015444015444,406,406,0.923354739275623
thiK,0.8843527647490508,0.8953447560703232,0.9418014741073992,0.05744870935834845,0.9555984555984556,411,411,0.9228820960698688
polB,0.9167225040681535,0.8559395041638748,0.929836316645927,0.013113812577773554,0.9491634491634492,408,408,0.9215617775494476
fimK,0.8656871191091541,0.8580613254203757,0.9258957914552822,0.060208672346128145,0.924066924066924,390,390,0.9211649113793988
sbcC,0.8994448166937876,0.8854695127787882,0.8960626655180116,-0.0033821511757760048,0.8783783783783784,365,365,0.9210647315694837
pqqF,0.9021888261382853,0.8645544175361348,0.9413707284387862,0.03918190230050089,0.9427284427284428,406,406,0.9209992293860776
lpoA,0.9184933473724514,0.8863150505727322,0.9290705465683928,0.010577199195941467,0.954954954954955,411,411,0.9208605188800412
selO,0.9020292907054658,0.9018218946428003,0.9511821575571934,0.049152866851727595,0.9555984555984556,411,411,0.9195324942203956
dgcQ,0.8918987907214192,0.8914680450528063,0.9437318528445168,0.05183306212309757,0.9498069498069498,407,407,0.9182545594657076
hrpB,0.8665007498165342,0.8726269104368081,0.9286238473564978,0.06212309753996359,0.9517374517374516,409,409,0.9174685332648342
paaH,0.8999872371653744,0.8338917073482021,0.9360581985258927,0.03607096136051824,0.9543114543114544,411,411,0.9171153352170562
hofC,0.8969241568552376,0.8421875498548228,0.9286876615296258,0.031763504674388154,0.9453024453024452,410,410,0.9167903930131004
sbcB,0.89588717654191,0.8453623049679333,0.9438913882773363,0.04800421173542635,0.954954954954955,410,410,0.916405086051888
tadD,0.8947066143390446,0.8762324112185316,0.9450879040234836,0.050381289684439,0.9247104247104247,395,395,0.914889545337786
tssM,0.8726907246099359,0.8731852844516766,0.9039118088127374,0.031221084202801452,0.8288288288288288,344,344,0.9139712304135628
entF,0.8720525828786573,0.8818799655403465,0.9325803260904248,0.06052774321176757,0.9504504504504504,407,407,0.9138479321859748
atsB,0.8863310041160142,0.8860917009667848,0.9322931623113494,0.04596215819533522,0.9054054054054054,379,379,0.9136206010788596
entD,0.8703774608340512,0.9048530678663731,0.9261350946045117,0.0557576337704605,0.953024453024453,410,410,0.9132853840226048
aNKYR,0.8798698190868193,0.8304457419992981,0.9398232347404357,0.05995341565361645,0.942084942084942,404,404,0.9128487027998974
xynB,0.8968603426821097,0.8629271561213745,0.9292938961743403,0.03243355349223065,0.9485199485199484,406,406,0.9124377087079372
pgtC,0.8821830828627037,0.8527807025940463,0.923008200121247,0.04082511725854321,0.9311454311454312,396,396,0.9109761109684048
cpdB,0.9175680418620976,0.9145209150952426,0.9409080756836095,0.02334003382151184,0.9555984555984556,410,410,0.9108990495761624
pgaA,0.8374493475000797,0.8222137136658052,0.9375259245078331,0.10007657700775341,0.9498069498069498,405,405,0.9106319034163884
gndA,0.8556044797549536,0.8172362081618327,0.9217957308318178,0.06619125107686419,0.9543114543114544,410,410,0.9102183406113536
csiR,0.9158929198174918,0.9120321623432565,0.9539580740882551,0.03806515427076329,0.9543114543114544,410,410,0.910147701001798
hpxW,0.8818001978239367,0.8622252002169682,0.9252416961807217,0.04344149835678501,0.9427284427284428,405,405,0.9097418443359876
bcsO,0.8972910883507228,0.8830286206566479,0.9254650457866692,0.028173957435946417,0.9504504504504504,408,408,0.9090932442846136
oxlT,0.8824383395552152,0.8323761207364155,0.9214287993363326,0.03899045978111737,0.9395109395109396,405,405,0.9090804007192396
ftsK,0.8888995245844101,0.7882326664752242,0.9343352158514405,0.0454356912670304,0.954954954954955,410,410,0.9069946057025432
tssH,0.8825021537283431,0.8648096742286462,0.9264541654701509,0.04395201174180785,0.9369369369369368,401,401,0.9068494734138196
pcaB,0.8716218372100444,0.8450910947321401,0.9351648001021027,0.0635429628920583,0.9536679536679536,410,410,0.906398664269201
gspK,0.9033693883411505,0.8588749561277559,0.9284962190102422,0.025126830669091604,0.9543114543114544,411,411,0.9062727973285384
dcp,0.8722918860278869,0.8892983631664593,0.944529530008615,0.07223764398072807,0.9465894465894464,408,408,0.9050475211918828
hrpA,0.8859481190772471,0.8429373663890749,0.93798857726301,0.05204045818576286,0.9517374517374516,408,408,0.904414333418957
gspL,0.9232794103570404,0.8856130946683257,0.9308892505025367,0.0076098401454962605,0.9504504504504504,408,408,0.9041202157718984
ccmI,0.8595609584888804,0.8156568073769184,0.8974665773268242,0.037905618837943855,0.9504504504504504,406,406,0.9040559979450294
