gene,source,n_carriers,esm_lr_auroc,frozen_lr_auroc,ft_lr_auroc,is_causal,delta_ft_minus_esm
KPC,acquired,223,0.8108781412108221,0.8125959059422856,0.8235734476438978,True,0.012695306433075704
OmpK36,chromosomal,819,0.807802938527009,0.8724691703165284,0.9835026247942098,True,0.17569968626720078
GyrA,chromosomal,826,0.7906128661510267,0.8386854285093033,0.9844562482527256,False,0.19384338210169894
pgaA,bakta_nonamr,816,0.7833015497249074,,0.9806887179149952,False,0.19738716819008784
ParC,chromosomal,812,0.7750504768117292,0.8597645450874413,0.9877240393874444,False,0.21267356257571512
ftsK,bakta_nonamr,825,0.7661904605335262,,0.9823655772560882,False,0.21617511672256196
OmpK35,chromosomal,818,0.7653309725716773,0.8490510359394899,0.9790109651166404,True,0.21367999254496317
xynB,bakta_nonamr,815,0.764623199842178,,0.9765842484820586,False,0.21196104863988063
cueO,bakta_nonamr,826,0.7641382258170579,,0.9787817014094388,False,0.21464347559238084
comEC,bakta_nonamr,817,0.762469586374696,,0.9784282457640122,False,0.21595865938931624
istB,bakta_nonamr,303,0.7611516626115167,,0.8043938098682624,False,0.04324214725674569
gatC,bakta_nonamr,820,0.7596200214813353,,0.9785734639749238,False,0.2189534424935885
hemYx,bakta_nonamr,803,0.756063545297122,,0.9824368163784224,False,0.22637327108130034
flhA,bakta_nonamr,818,0.7556388505293614,,0.9773980184564126,False,0.2217591679270512
tssA1,bakta_nonamr,796,0.753109861686504,,0.9790255584051204,False,0.22591569671861644
polB,bakta_nonamr,822,0.7527427062098595,,0.980042085881502,False,0.2272993796716425
mhpA,bakta_nonamr,821,0.7526468073913329,,0.9814065890708228,False,0.22875978167948985
cpdB,bakta_nonamr,821,0.7521837530961618,,0.9799324872317572,False,0.22774873413559538
zraR,bakta_nonamr,821,0.7516357598474386,,0.9864070274654216,False,0.23477126761798306
cydC,bakta_nonamr,826,0.7513864229192696,,0.9859823326976612,False,0.23459590977839162
PmrB,chromosomal,826,0.7189388997608176,0.8327710993073029,0.988252104494766,False,0.2693132047339484
OXA,acquired,338,0.7032025595626378,0.7319914267076694,0.8046904606591496,True,0.10148790109651185
AAC(6'),acquired,422,0.6991644146242973,0.7904295964961326,0.8815239337744231,False,0.18235951915012572
Cat,acquired,230,0.6813406641195293,0.6603143540521231,0.7528344671201814,False,0.07149380300065211
ANT(3''),acquired,274,0.6413102227192247,0.6741651911906316,0.7828751591960985,False,0.14156493647687385
Dfr,acquired,285,0.6230143198832044,0.6667598546267823,0.7906221849470382,False,0.16760786506383374
NDM,acquired,88,0.6098530736495511,0.6009536234585159,0.6145186841860032,True,0.004665610536452092
MphA,acquired,233,0.6081756903674712,0.6132668592551177,0.753614139719815,False,0.14543844935234373
Mrx,acquired,229,0.6062622309197652,0.6080265896312864,0.7492933246357903,False,0.14303109371602518
Sul,acquired,394,0.5999534060199423,0.6743888422949088,0.8316435249899047,False,0.2316901189699624
SHV-OKP-LEN,acquired,777,0.5983195104525829,0.7982356412884789,0.9736340198179728,False,0.3753145093653899
Arr,acquired,93,0.5866616966421272,0.5797657875935762,0.6159475662411084,False,0.029285869598981162
TetA,acquired,189,0.5727207778088405,0.5668002360761656,0.6420153449507656,False,0.06929456714192517
AAC(3),acquired,230,0.5673345137141614,0.6088155810269313,0.6975056689342403,False,0.13017115522007883
QnrS,acquired,106,0.5579691237225484,0.5639704283539899,0.6186313794924363,False,0.06066225576988793
TEM,acquired,332,0.544522101077874,0.6653371851023515,0.7961420184512161,False,0.2516199173733421
APH(3'),acquired,163,0.5434659708632311,0.5830304724629579,0.6645885751560898,False,0.1211226042928587
RmtB,acquired,26,0.5338613984406548,0.5345572018761843,0.5338613984406548,False,0.0
QnrB,acquired,188,0.5279967694840494,0.5728170720342932,0.6656602366974187,False,0.1376634672133693
StrB,acquired,263,0.5261174789550523,0.6095610847078557,0.7313919174975926,False,0.20527443854254024
CTX-M,acquired,391,0.5258534464013916,0.6387071723666635,0.8250799863324326,True,0.299226539931041
MphE,acquired,41,0.5245239648370763,0.5110086043549841,0.5395303326810176,False,0.01500636784394127
ArmA,acquired,52,0.5229118131270774,0.5078433199763924,0.5526605162612991,False,0.029748703134221732
StrA,acquired,255,0.5190507253129562,0.6290249433106577,0.7272139906190787,False,0.2081632653061225
MsrE,acquired,41,0.5186220606964247,0.5153263131736713,0.5444817196284907,False,0.025859658932065988
TetD,acquired,99,0.5134283850526512,0.5621719007237599,0.5967508464573045,False,0.08332246140465327
RmtF,acquired,10,0.5088808125990122,0.5096511664026341,0.5096511664026341,False,0.0007703538036218927
FloR,acquired,31,0.5073680613798031,0.517736775075327,0.5229863634951698,False,0.015618302115366745
Erm,acquired,10,0.5026154754139098,0.5026776007206535,0.5058397788339081,False,0.0032243034199982423
CmlA,acquired,37,0.5018544404062996,0.5102506756127109,0.5320939334637964,False,0.030239493057496847
CMY,acquired,9,0.5013791818097102,0.4911564625850341,0.5060975988568943,False,0.00471841704718412
APH(4),acquired,19,0.5011710620321188,0.515487838971205,0.5182337775292766,False,0.017062715497157765
VEB,acquired,14,0.4990805454601932,0.4893424036281179,0.4964868139036437,False,-0.0025937315565495167
ANT(2''),acquired,20,0.4976920448544715,0.4888951014195632,0.5199826049141117,False,0.022290560059640252
LAP,acquired,17,0.4975864318330072,0.49632528810611,0.5120864784269872,False,0.014500046593979965
