gene_name,esm_lr_auroc,ft_lr_auroc,delta_ft_minus_esm,prevalence,n_carriers_esm,n_carriers_ft,selection_esm_lr_auroc
comEC,0.762469586374696,0.9784282457640122,0.21595865938931624,0.924,817,817,0.8236887812235757
gyrA,0.7824247605269502,0.9784419455952302,0.19601718506828003,0.9355,826,826,0.8205007198848184
hemYx,0.756063545297122,0.9824368163784223,0.22637327108130023,0.91,803,803,0.8103749114427405
pgaA,0.7833015497249074,0.9806887179149953,0.19738716819008795,0.931,816,816,0.8095550426217519
gatC,0.7596200214813353,0.9785734639749238,0.2189534424935885,0.931,820,820,0.8063184176246085
pqqF,0.7445940466013459,0.9693315578352075,0.22473751123386165,0.9275,819,819,0.8053562858514066
bcsC,0.7308174963284453,0.9825518949606541,0.2517343986322088,0.9325,825,825,0.8025264529103915
tssH,0.7501506981433987,0.9769322241949979,0.22678152605159918,0.8965,784,784,0.8007547363850355
entF,0.7452625983647881,0.9790145985401459,0.2337520001753578,0.9305,822,822,0.8000074273830473
cueO,0.7641382258170579,0.9787817014094387,0.21464347559238073,0.935,826,826,0.7996771945060219
ydhJ,0.742103417285899,0.9722633217158765,0.23015990442997747,0.875,759,759,0.7989064606805767
pulA,0.7374756143004318,0.9781295894434582,0.24065397514302633,0.909,800,800,0.7984311081655506
gspL,0.7435912189561824,0.9799653668266808,0.23637414787049837,0.927,819,819,0.7980671663962337
hofC,0.7458571710396529,0.9787707415444642,0.23291357050481132,0.9245,821,821,0.7975723884178532
paaH,0.7482847811314964,0.9817134652901076,0.23342868415861118,0.9345,826,826,0.7974821171469707
puuC,0.749372547730212,0.9798612481094232,0.2304887003792112,0.934,824,824,0.7970707543935827
sbcC,0.7353548804278731,0.9605198263957387,0.22516494596786563,0.8435,709,709,0.7970667550334805
parC,0.7666726945924027,0.9824450362771531,0.21577234168475035,0.9345,825,825,0.7965839751354069
flhA,0.7556388505293614,0.9773980184564126,0.2217591679270512,0.9185,818,818,0.7964080032909021
pcaB,0.7214933912014203,0.9783816663378708,0.2568882751364505,0.9335,825,825,0.7952350481065886
hrpB,0.7381003266039763,0.979099537493698,0.24099921088972176,0.9325,824,824,0.7950019425463355
zraR,0.7516357598474386,0.9864070274654215,0.23477126761798295,0.9305,821,821,0.794093516465937
gspJ,0.7385168014730059,0.9791378970211089,0.24062109554810296,0.9335,824,824,0.793728432022305
dcp,0.72265239692247,0.9752033054952762,0.25255090857280627,0.927,816,816,0.7928954224466942
ftsK,0.7661904605335262,0.9823655772560882,0.21617511672256196,0.9325,825,825,0.7922360993669584
lpoA,0.7424239933364021,0.9786995024221301,0.23627550908572803,0.935,826,826,0.792026418630162
walK,0.7446872054536289,0.982031301374367,0.23734409592073813,0.9235,820,820,0.7916961857531366
cusA,0.7296694504723702,0.9769815435873829,0.24731209311501268,0.876,781,781,0.7913151038690953
mhpA,0.7526468073913329,0.9814065890708227,0.22875978167948974,0.931,821,821,0.7910551454624403
rbbA,0.7477833673089148,0.9821682996865478,0.23438493237763303,0.927,821,821,0.7910122951756291
urtB,0.7360727515837004,0.9715070910326384,0.235434339448938,0.816,712,712,0.7908671755376282
cpdB,0.7521837530961618,0.9799324872317573,0.2277487341355955,0.934,821,821,0.7906757775898714
trpF,0.7382647245785932,0.982409416715986,0.24414469213739287,0.9345,826,826,0.7904003930799643
hrpA,0.7444104688630235,0.976189693342978,0.23177922447995447,0.9345,823,823,0.7903798249422949
bglF,0.7051933320181495,0.97921461607593,0.2740212840577805,0.935,826,826,0.7893434193386202
polB,0.7527427062098595,0.980042085881502,0.2272993796716425,0.933,822,822,0.7892560047535251
xynB,0.764623199842178,0.9765842484820586,0.21196104863988063,0.9255,815,815,0.7892348652786982
tadD,0.7322011792814713,0.9714879112689331,0.23928673198746175,0.896,779,779,0.7890063304157049
fimK,0.7478354266675434,0.9771678612919489,0.22933243462440545,0.898,779,779,0.7889354846081771
paaD,0.7451365599175818,0.9844643913986979,0.23932783148111614,0.9355,826,826,0.7887229471855932
mdcH,0.7349329256263564,0.9747429911663489,0.2398100655399925,0.932,820,820,0.7886858102703568
istB,0.7611516626115167,0.8043938098682624,0.04324214725674569,0.373,303,303,0.7885258358662616
yegD,0.7376317923763179,0.9803873216281975,0.2427555292518796,0.934,826,826,0.7877848115730055
cydC,0.7513864229192696,0.9859823326976612,0.23459590977839162,0.9355,826,826,0.7869255204881505
fadJ,0.7496794239494969,0.9798913877381031,0.2302119637886062,0.9345,825,825,0.7865575793587312
benC,0.7372783367308915,0.9763376515201333,0.2390593147892418,0.9285,819,819,0.7858091276824279
pgaB,0.7376043927138818,0.9808750356195611,0.24327064290567935,0.9295,818,818,0.7855017482917019
tssA1,0.753109861686504,0.9790255584051204,0.22591569671861644,0.9085,796,796,0.7853063509838426
bioA,0.7470463163893821,0.978573463974924,0.23152714758554183,0.9105,796,796,0.7849252690998012
dsbD,0.7259211766511036,0.9816970254926459,0.25577584884154236,0.9225,809,809,0.7849172703795965
