gene,source,n_carriers,esm_lr_auroc,frozen_lr_auroc,ft_lr_auroc,is_causal,delta_ft_minus_esm
paaH,bakta_nonamr,613,0.8214076097955879,,0.96381299332119,False,0.14240538352560206
ParC,chromosomal,602,0.8164718360714931,0.8118229824878136,0.9564903412168264,False,0.14001850514533332
walK,bakta_nonamr,607,0.806906496660595,,0.9612780813600484,False,0.15437158469945345
tmcA,bakta_nonamr,612,0.8060159886662619,,0.963676381299332,False,0.15766039263307008
sbcB,bakta_nonamr,612,0.80459927140255,,0.9631957093705728,False,0.1585964379680227
fadJ,bakta_nonamr,613,0.8018467921473387,,0.9607670512042096,False,0.1589202590568709
guaD,bakta_nonamr,611,0.8013256425824731,,0.953116777980166,False,0.15179113539769296
lpoA,bakta_nonamr,614,0.8006729407002631,,0.965513054037644,False,0.1648401133373809
GyrA,chromosomal,614,0.8005506409099116,0.8291546307997834,0.9664199313955588,False,0.16586929048564725
OmpK36,chromosomal,609,0.7991909640729372,0.8375383643256906,0.9716216826141902,True,0.17243071854125303
comEC,bakta_nonamr,610,0.7990841934831006,,0.950986642380085,False,0.15190244889698445
cpdB,bakta_nonamr,610,0.7972475207447886,,0.9567041084800648,False,0.15945658773527627
hrpB,bakta_nonamr,612,0.7942926533090467,,0.9658975915806516,False,0.17160493827160483
dgcQ,bakta_nonamr,606,0.7942066383323214,,0.9581410645618296,False,0.16393442622950816
nfsB,bakta_nonamr,481,0.7937462052216151,,0.927464076097956,False,0.1337178708763409
tssM,bakta_nonamr,488,0.7930479659987856,,0.9185589961546246,False,0.12551103015583898
zraR,bakta_nonamr,610,0.7929619510220604,,0.9687057275855092,False,0.17574377656344886
thiK,bakta_nonamr,614,0.7923952641165757,,0.9599676178911152,False,0.1675723537745395
OmpK35,chromosomal,606,0.773808449178552,0.8363817927423722,0.965331061563459,True,0.1915226123849071
PmrB,chromosomal,614,0.7443807546488536,0.8171939880844916,0.963012276584221,False,0.2186315219353674
SHV-OKP-LEN,acquired,574,0.721965833182885,0.7874503520491064,0.9522082054522476,True,0.23024237226936262
AAC(6'),acquired,258,0.690868162123127,0.7149587019317566,0.7713373352590721,False,0.08046917313594515
OXA,acquired,219,0.673841171691641,0.6908907293735331,0.7270716735872901,True,0.05323050189564904
KPC,acquired,144,0.6731077360534393,0.6752121321538184,0.6733390503701029,True,0.00023131431666356672
Sul,acquired,282,0.663110444123488,0.6571414063910452,0.7444146055244628,False,0.08130416140097485
Cat,acquired,158,0.6491187488716375,0.6493444213756996,0.6503599476439791,False,0.001241198772341634
ANT(3''),acquired,190,0.6386136938075465,0.6456095414334717,0.6972264849250767,False,0.05861279111753015
Dfr,acquired,202,0.6316122043690198,0.6400692814587471,0.7103831919118976,False,0.07877098754287781
MphA,acquired,163,0.6274372630438708,0.626449945838599,0.6560694619967503,False,0.028632198952879495
Mrx,acquired,158,0.6190704549557682,0.618353944755371,0.6441483119696696,False,0.025077857013901417
CTX-M,acquired,281,0.6004186224950352,0.6303202292832641,0.7721271890232895,True,0.17170856652825428
AAC(3),acquired,158,0.5774113107059036,0.5595944665102004,0.6634997291929952,False,0.08608841848709159
TEM,acquired,209,0.5733943401335981,0.6135696876692545,0.704222332551002,True,0.13082799241740384
APH(3'),acquired,116,0.5733886983209966,0.5755833634230005,0.5986132424625382,False,0.025224544141541627
NDM,acquired,43,0.547656391045315,0.5499356833363422,0.5501049377143888,True,0.0024485466690737923
ArmA,acquired,45,0.5443333634230005,0.5411062466149125,0.5453150388156707,False,0.0009816753926701338
Arr,acquired,51,0.5383868929409641,0.5373713666726846,0.5527735150749232,False,0.014386622133959137
MsrE,acquired,35,0.5359496298970934,0.5372585304206535,0.5354305831377505,False,-0.0005190467593428894
MphE,acquired,35,0.5355208521393754,0.5364348257808269,0.5346632966239393,False,-0.0008575555154360925
TetD,acquired,59,0.5278254197508576,0.536660498284889,0.5543419389781549,False,0.026516519227297253
CmlA,acquired,36,0.523949494493591,0.5273402238671241,0.5292922910272612,False,0.005342796533670202
StrA,acquired,159,0.513658828308359,0.5701051633868931,0.6570398537642174,False,0.1433810254558584
APH(4),acquired,19,0.5122991514713847,0.5116672684600109,0.5135516338689294,False,0.0012524823975447186
RmtF,acquired,10,0.5102737407474274,0.5094274688571945,0.5094161852319914,False,-0.0008575555154359815
StrB,acquired,163,0.5101439790575916,0.5683336342300054,0.6475841758440152,False,0.1374401967864236
VEB,acquired,13,0.5059126196064272,0.5000564181260155,0.5024372630438707,True,-0.0034753565625564864
ANT(2''),acquired,18,0.5056079617259432,0.5106066076909189,0.5177604260696876,False,0.012152464343744396
CMY,acquired,9,0.4976191550821448,0.4949223686586026,0.5001805380032497,True,0.00256138292110486
FloR,acquired,9,0.4956558042968045,0.493088779563098,0.4956840133598122,False,2.820906300771142e-05
QnrB,acquired,120,0.4862678281278209,0.5264488174760787,0.612187443581874,False,0.12591961545405317
TetA,acquired,130,0.4799377143888788,0.4779010200397183,0.6176148673045677,False,0.13767715291568894
QnrS,acquired,47,0.4735624661491244,0.5000451345008124,0.5452699043148583,False,0.07170743816573394
