gene,source,n_carriers,esm_lr_auroc,frozen_lr_auroc,ft_lr_auroc,is_causal,delta_ft_minus_esm
TetA,acquired,101,0.7347193473761111,0.7363326433702667,0.7335017654937295,True,-0.0012175818823816353
tetR(A),bakta_nonamr,103,0.7330196629213483,,0.7326685393258427,False,-0.000351123595505598
bcsC,bakta_nonamr,362,0.7150421348314606,,0.9316853932584268,False,0.2166432584269662
trbI,bakta_nonamr,234,0.698876404494382,,0.8362780898876405,False,0.13740168539325848
bioA,bakta_nonamr,352,0.6970786516853933,,0.932626404494382,False,0.23554775280898876
yegD,bakta_nonamr,363,0.6932724719101124,,0.9335674157303372,False,0.24029494382022476
higA,bakta_nonamr,210,0.6920786516853934,,0.8279494382022472,False,0.1358707865168538
aac(6')-Ib,bakta_nonamr,183,0.6918820224719102,,0.7907303370786516,False,0.09884831460674137
glgX,bakta_nonamr,363,0.6898876404494382,,0.9350842696629214,False,0.24519662921348317
AAC(6'),acquired,180,0.6890600267868014,0.6783909655424327,0.795902836965786,False,0.10684281017898456
flhA,bakta_nonamr,361,0.6885533707865168,,0.9071067415730336,False,0.21855337078651682
phnS,bakta_nonamr,357,0.6854915730337079,,0.9196067415730336,False,0.23411516853932568
CTX-M,acquired,201,0.6843875563131621,0.6277547790088884,0.8379855107755996,False,0.1535979544624375
tadD,bakta_nonamr,346,0.6838342696629213,,0.9197050561797752,False,0.2358707865168539
garK,bakta_nonamr,357,0.6817977528089888,,0.9186797752808988,False,0.23688202247191004
ncs1,bakta_nonamr,354,0.6815168539325843,,0.932191011235955,False,0.2506741573033707
gspJ,bakta_nonamr,363,0.6760252808988764,,0.928988764044944,False,0.25296348314606765
lpoA,bakta_nonamr,363,0.6759410112359551,,0.9245224719101124,False,0.24858146067415732
OmpK35,chromosomal,360,0.6554852063801291,0.6383173018385487,0.9419822233045172,False,0.2864970169243881
OXA,acquired,172,0.6537958115183247,0.6519237793741629,0.7757061974917814,False,0.12191038597345671
SHV-OKP-LEN,acquired,335,0.6457141117740168,0.6492298794593936,0.9199287714598808,False,0.274214659685864
AAC(3),acquired,123,0.6369627419943992,0.6305704371118958,0.701129307195909,False,0.06416656520150987
PmrB,chromosomal,363,0.6295963716059905,0.5599354681602339,0.9485876050164374,False,0.3189912334104469
OmpK36,chromosomal,357,0.6220930232558141,0.5842718860343358,0.9348745890661146,False,0.3127815658103006
StrA,acquired,109,0.6137373675879703,0.5861895774990868,0.7017380981370998,False,0.08800073054912949
Cat,acquired,117,0.613630829173262,0.6361865335443808,0.6918452453427494,False,0.07821441616948743
StrB,acquired,113,0.6091714355290392,0.576525021307683,0.6970656276634604,False,0.08789419213442118
GyrA,chromosomal,363,0.6008005600876659,0.5968890782905152,0.931632777304274,False,0.33083221721660805
TEM,acquired,138,0.5833434798490198,0.5937081456227931,0.7349324242055277,False,0.15158894435650794
TetD,acquired,40,0.5811366126872033,0.5820193595519298,0.5820193595519298,True,0.0008827468647265579
QnrB,acquired,67,0.5805126019724827,0.5919122123462802,0.6042858882259832,False,0.023773286253500503
KPC,acquired,115,0.5680323876780714,0.5682454645074883,0.7007031535370754,False,0.13267076585900395
ParC,chromosomal,358,0.5591744794837453,0.6862291489102642,0.929775964933642,False,0.3706014854498967
ANT(3''),acquired,142,0.5568154145866309,0.6176792889321807,0.7381285766467796,False,0.1813131620601487
Sul,acquired,219,0.5515645927188604,0.6094453914525751,0.8606325337878972,False,0.3090679410690368
Dfr,acquired,146,0.5501034944600024,0.6349841714355291,0.7608973578473153,False,0.21079386338731287
CmlA,acquired,30,0.5381864117861925,0.4770942408376963,0.5509253622306101,False,0.01273895044441753
Arr,acquired,27,0.5376537197126507,0.5508797029100208,0.5517320102276878,False,0.014078290515037062
MphA,acquired,118,0.5327986119566541,0.5278065262388896,0.7234719347376112,False,0.19067332278095706
APH(3'),acquired,97,0.5262693291123829,0.5577894800925363,0.673611956654085,False,0.14734262754170213
Mrx,acquired,114,0.5246255935711677,0.5714416169487397,0.7058322172166078,False,0.18120662364544016
NDM,acquired,14,0.5167417508827469,0.5164677949592111,0.5217642761475709,False,0.0050225252648240515
APH(4),acquired,14,0.5167417508827468,0.5166504322415681,0.5273651528065263,False,0.01062340192377953
QnrS,acquired,28,0.5109734567149641,0.495966760014611,0.5504231097041277,False,0.039449652989163586
MphE,acquired,13,0.5100450505296481,0.4896353342262267,0.5056465359795447,False,-0.004398514550103427
ArmA,acquired,13,0.5099080725678802,0.5047942286618775,0.5161481797150859,False,0.006240107147205687
MsrE,acquired,13,0.4997108243029343,0.4999543406794107,0.5109125776208451,False,0.01120175331791079
ANT(2''),acquired,11,0.4992998904176305,0.4869262145379276,0.4984019237793741,False,-0.00089796663825642
