gene_name,esm_lr_auroc,ft_lr_auroc,delta_ft_minus_esm,prevalence,n_carriers_esm,n_carriers_ft,selection_esm_lr_auroc
tetR(A),0.7330196629213483,0.7326685393258427,-0.000351123595505598,0.2706489675516224,103,103,0.7416299810517017
tet(A),0.7293398876404494,0.7293960674157304,5.617977528094009e-05,0.2713864306784661,101,101,0.7413046781876118
flhA,0.6885533707865168,0.9071067415730336,0.21855337078651682,0.9542772861356932,361,361,0.7128810436285754
oxlT,0.6546348314606741,0.9329213483146067,0.2782865168539326,0.9454277286135692,355,355,0.7032941070317656
wza,0.590814606741573,0.8740308988764045,0.28321629213483146,0.6688790560471977,266,266,0.7017720695435786
pqqF,0.640941011235955,0.9234550561797752,0.28251404494382015,0.950589970501475,359,359,0.7011499574969251
traF,0.6654634831460674,0.7880898876404495,0.12262640449438211,0.5412979351032449,196,196,0.7008139695022629
bcsC,0.7150421348314606,0.9316853932584269,0.2166432584269663,0.9594395280235988,362,362,0.7003616323080357
cusF,0.6711095505617978,0.928188202247191,0.25707865168539323,0.9196165191740412,352,352,0.6996730350044876
hpxW,0.6596067415730337,0.9225280898876403,0.2629213483146067,0.950589970501475,357,357,0.6984299981479107
ptrA,0.6617837078651686,0.9301123595505618,0.2683286516853932,0.9609144542772862,363,363,0.6974576512658318
traU,0.6716151685393258,0.828876404494382,0.15726123595505626,0.5789085545722714,225,225,0.6970931695896435
hemYx,0.6559691011235954,0.9258005617977529,0.26983146067415753,0.9380530973451328,353,353,0.696970884206427
trbI,0.698876404494382,0.8362780898876405,0.13740168539325848,0.5921828908554573,234,234,0.6955830044687591
glgX,0.6898876404494382,0.9350842696629214,0.24519662921348317,0.9609144542772862,363,363,0.6952090248987288
lpoA,0.6759410112359551,0.9245224719101123,0.2485814606741572,0.9601769911504424,363,363,0.6944171379996485
bglF,0.6617275280898877,0.9266573033707864,0.2649297752808988,0.9609144542772862,363,363,0.694274669592018
traP,0.6617556179775281,0.7776966292134831,0.11594101123595502,0.5346607669616519,214,214,0.6936501830719038
tamB,0.6753511235955055,0.9151685393258427,0.2398174157303372,0.9594395280235988,363,363,0.6926707127694434
sacC,0.6478370786516854,0.9258988764044944,0.27806179775280904,0.8613569321533924,317,317,0.6910323260816913
walK,0.6592556179775281,0.9319101123595506,0.2726544943820225,0.9513274336283186,361,361,0.6906488486178188
eefA,0.6563623595505619,0.9334971910112358,0.27713483146067397,0.9328908554572272,353,353,0.6890923812644544
yegD,0.6932724719101124,0.9335674157303371,0.24029494382022465,0.9601769911504424,363,363,0.6889297298324095
entF,0.664311797752809,0.9311797752808989,0.2668679775280899,0.9564896755162242,359,359,0.688460771323959
gspJ,0.6760252808988764,0.9289887640449439,0.25296348314606754,0.9587020648967552,363,363,0.6880262426806856
benC,0.6433567415730337,0.9278230337078651,0.28446629213483143,0.952802359882006,359,359,0.6875525352253138
gndA,0.6160112359550562,0.9162078651685394,0.3001966292134831,0.9594395280235988,363,363,0.6875430373314717
nhoA,0.6531179775280899,0.9209550561797752,0.2678370786516854,0.9314159292035398,349,349,0.6870099680395872
hofC,0.6464466292134832,0.9244382022471911,0.2779915730337079,0.9542772861356932,362,362,0.6868247591096674
bioA,0.6970786516853933,0.932626404494382,0.23554775280898876,0.9454277286135692,352,352,0.6849216186310686
ydbH,0.6698033707865169,0.9374719101123595,0.26766853932584267,0.9601769911504424,363,363,0.6845951285302484
priA,0.6562500000000001,0.9459269662921349,0.2896769662921348,0.9609144542772862,363,363,0.6845761327425643
comEC,0.6651404494382022,0.9470926966292135,0.2819522471910113,0.9535398230088497,360,360,0.6844348515716638
aac(6')-Ib,0.6918820224719102,0.7907303370786516,0.09884831460674137,0.4668141592920354,183,183,0.6840941146300807
phnS,0.6854915730337079,0.9196067415730337,0.2341151685393258,0.9535398230088497,357,357,0.684066808185285
dcp,0.665505617977528,0.9339044943820225,0.26839887640449445,0.9535398230088497,361,361,0.6839611441162922
ccmI,0.6411938202247192,0.9240449438202247,0.28285112359550557,0.9564896755162242,358,358,0.6838685396513323
fimK,0.6403792134831461,0.924564606741573,0.28418539325842695,0.9284660766961652,343,343,0.683680956247952
ydcK,0.6667977528089887,0.9392696629213483,0.2724719101123596,0.9587020648967552,363,363,0.6833841470653882
prpF,0.6627247191011236,0.9235112359550562,0.2607865168539326,0.926991150442478,352,352,0.6829211247405887
ncs1,0.6815168539325843,0.932191011235955,0.2506741573033707,0.9446902654867256,354,354,0.6828190223817869
tssH,0.6577949438202246,0.9115449438202248,0.25375000000000014,0.9358407079646016,352,352,0.682810711724675
tadD,0.6838342696629213,0.9197050561797753,0.235870786516854,0.9240412979351031,346,346,0.6824830343871245
dsbD,0.6554213483146066,0.9277808988764044,0.2723595505617977,0.946165191740413,357,357,0.6821921613882123
thiK,0.6521629213483147,0.9305337078651685,0.2783707865168539,0.9609144542772862,363,363,0.6818882287852668
cdsB,0.6577387640449439,0.9283707865168539,0.27063202247191,0.9410029498525072,350,350,0.6816127898638478
ganB,0.6662219101123594,0.9219101123595506,0.25568820224719113,0.9609144542772862,363,363,0.6811996314817189
garK,0.6817977528089888,0.9186797752808988,0.23688202247191004,0.948377581120944,357,357,0.6809894905804639
higA,0.6920786516853934,0.8279494382022472,0.1358707865168538,0.5656342182890856,210,210,0.6808968861155038
aNKYR,0.6576825842696629,0.9077808988764046,0.2500983146067417,0.946165191740413,358,358,0.6803353231420932
