gene,source,n_carriers,esm_lr_auroc,frozen_lr_auroc,ft_lr_auroc,is_causal,delta_ft_minus_esm
AAC(6'),acquired,245,0.8591754351134935,0.8656442326781815,0.8641883396201444,True,0.005012904506650928
aac(6')-Ib,bakta_nonamr,247,0.8380286963815001,,0.8484977833692787,False,0.010469086987778597
entF,bakta_nonamr,497,0.7810178528636472,,0.9544766954229572,False,0.17345884255931
ccmI,bakta_nonamr,494,0.7810103642463456,,0.953600527198658,False,0.17259016295231233
scsB,bakta_nonamr,486,0.7805161155044332,,0.9432362808531032,False,0.16272016534866995
gatC,bakta_nonamr,494,0.778763779055835,,0.952574586628325,False,0.1738108075724899
tamB,bakta_nonamr,499,0.7761202971483345,,0.955659896956626,False,0.17953959980829148
rbbA,bakta_nonamr,496,0.7752740833932423,,0.9386232925952552,False,0.1633492092020129
xynB,bakta_nonamr,495,0.7728777258566979,,0.9505601485741672,False,0.17768242271746926
walK,bakta_nonamr,495,0.7701219146896716,,0.9505826144260724,False,0.18046069973640078
comEC,bakta_nonamr,494,0.7696201773304578,,0.9463440570333094,False,0.17672387970285153
hemYx,bakta_nonamr,487,0.7670590702132759,,0.9475422358015816,False,0.18048316558830568
hofC,bakta_nonamr,497,0.767029115744069,,0.9563937814521928,False,0.18936466570812382
lpoA,bakta_nonamr,499,0.7642882818116463,,0.9432737239396118,False,0.17898544212796552
dgcQ,bakta_nonamr,494,0.7639438054157681,,0.943820393002636,False,0.17987658758686786
tssH,bakta_nonamr,475,0.763090103043374,,0.939432063263839,False,0.176341960220465
OmpK35,chromosomal,492,0.7408096750711402,0.781930381841043,0.9551154787902852,False,0.2143058037191451
ParC,chromosomal,483,0.7400072794652903,0.7441019786910198,0.9464545695188936,False,0.2064472900536033
OXA,acquired,200,0.7272930315664086,0.7583962014426576,0.7877456819535438,False,0.06045265038713521
GyrA,chromosomal,499,0.7116008205942691,0.778820064853418,0.9522533253920984,False,0.2406525047978293
OmpK36,chromosomal,492,0.7085732248031237,0.7501240817947191,0.9505409966249752,False,0.24196777182185147
SHV-OKP-LEN,acquired,457,0.687901197802925,0.6895804380914566,0.9279498378664548,False,0.24004864006352977
PmrB,chromosomal,499,0.6826318575871883,0.7305108861094567,0.9614188339620144,False,0.2787869763748262
Sul,acquired,269,0.6791741115743498,0.7044454370988023,0.8477350936403947,False,0.16856098206604486
AAC(3),acquired,158,0.6546969095360995,0.6758239031169347,0.7062901197802927,True,0.051593210244193166
StrA,acquired,164,0.6533071934352458,0.6296572033617893,0.7409503011051551,True,0.08764310766990935
ANT(3''),acquired,157,0.6526867844616504,0.6217407848587122,0.6990354708490504,True,0.04634868638739997
StrB,acquired,167,0.6491959499702205,0.6197802925021508,0.7484944742240751,True,0.09929852425385466
Dfr,acquired,169,0.638748262854874,0.6259595658791609,0.7202948183442525,False,0.0815465554893785
MphA,acquired,139,0.6189613526570048,0.5823406789755807,0.6545976441003243,False,0.03563629144331948
Mrx,acquired,134,0.6159503011051553,0.5906210707431673,0.6643918337634835,False,0.04844153265832829
QnrB,acquired,125,0.6085136655416584,0.6187131890675667,0.670926808285355,False,0.06241314274369658
TetA,acquired,116,0.6076285487393289,0.611400635298789,0.6539193302891932,False,0.046290781549864324
APH(3'),acquired,108,0.6041956190854345,0.6160164780623387,0.6417262259281318,True,0.03753060684269727
Cat,acquired,135,0.6022599430878168,0.6153381642512077,0.6878681093243333,False,0.08560816623651646
TEM,acquired,198,0.5889583746939315,0.6395754748196678,0.7313960029117861,False,0.14243762821785455
CTX-M,acquired,249,0.5754417311892,0.620433789954338,0.8235143273112302,False,0.24807259612203025
KPC,acquired,127,0.5519654556283502,0.6039557276156444,0.6632006485341805,False,0.11123519290583028
CmlA,acquired,38,0.5437264244590034,0.54366024750182,0.5474985110184634,False,0.0037720865594599307
ArmA,acquired,35,0.5338246972404208,0.5348669843160612,0.5340066838726756,True,0.0001819866322547714
Arr,acquired,27,0.5299202567665938,0.5313761498246311,0.5263301568393886,False,-0.0035900999272052703
APH(4),acquired,19,0.5188935212758917,0.5188935212758917,0.5182152074647608,True,-0.0006783138111309261
MphE,acquired,21,0.5181076699093375,0.5181076699093375,0.5181076699093375,False,0.0
MsrE,acquired,21,0.5181076699093375,0.5181076699093375,0.5187859837204685,False,0.0006783138111309261
TetD,acquired,42,0.5153199655879823,0.5292088544768712,0.5618837270862286,False,0.04656376149824626
ANT(2''),acquired,13,0.5149229038448813,0.5115644232678181,0.5115478790285223,True,-0.0033750248163589847
NDM,acquired,26,0.5127473363774734,0.5218797564687976,0.5352309575805704,False,0.022483621203096993
VEB,acquired,15,0.5121682880021177,0.5088180795447024,0.5123089140361327,False,0.00014062603401499008
CMY,acquired,9,0.4996277546158427,0.4982959433525246,0.511183905764013,False,0.011556151148170268
QnrS,acquired,30,0.4956819535437761,0.492588180795447,0.5431804645622395,False,0.04749851101846336
