gene,source,n_carriers,esm_lr_auroc,frozen_lr_auroc,ft_lr_auroc,is_causal,delta_ft_minus_esm
Sul,acquired,384,0.7999144915985921,0.8134671581324301,0.830361293750415,True,0.030446802151822938
estX,bakta_nonamr,404,0.7847941092364884,,0.8245782098941951,False,0.039784100657706656
AAC(6'),acquired,356,0.7826509264793784,0.7762668526266852,0.8241017466958889,False,0.041450820216510476
intI1,bakta_nonamr,381,0.7811910208750357,,0.8130504718329997,False,0.03185945095796405
aac(6')-Ib,bakta_nonamr,354,0.750940091507006,,0.7854982842436374,False,0.03455819273663141
comEC,bakta_nonamr,734,0.7507184729768372,,0.9715327423505864,False,0.22081426937374915
GyrA,chromosomal,743,0.7486052998605299,0.7255512386265525,0.9771119744969118,False,0.22850667463638186
bcsC,bakta_nonamr,742,0.7471153846153846,,0.977820274521018,False,0.23070488990563343
mhpA,bakta_nonamr,737,0.7470510437517873,,0.9758650271661424,False,0.2288139834143551
rne,bakta_nonamr,740,0.7385008578781813,,0.9730054332284814,False,0.23450457535030012
gatC,bakta_nonamr,738,0.738250643408636,,0.9767622247640836,False,0.2385115813554476
hofC,bakta_nonamr,738,0.7377537889619674,,0.9774592507863884,False,0.23970546182442098
paaD,bakta_nonamr,743,0.7373748927652274,,0.973166285387475,False,0.23579139262224758
uraD,bakta_nonamr,743,0.7346761509865598,,0.976075922219045,False,0.24139977123248524
lpoA,bakta_nonamr,743,0.7344545324563911,,0.9721725764941378,False,0.23771804403774666
pgaA,bakta_nonamr,735,0.7342221904489562,,0.9727516442665142,False,0.23852945381755797
sbcB,bakta_nonamr,741,0.7307585072919647,,0.9718723191306832,False,0.2411138118387185
tynA,bakta_nonamr,743,0.73054403774664,,0.972508578781813,False,0.24196454103517295
ParC,chromosomal,729,0.7282576210400479,0.7686126054326892,0.9778425317128244,False,0.24958491067277655
Dfr,acquired,250,0.7258542538354255,0.729278740785017,0.7286810121538155,True,0.002826758318390077
CTX-M,acquired,371,0.7212799694494255,0.7272738593345288,0.8173482433419672,False,0.09606827389254169
StrA,acquired,248,0.7187437736600916,0.7155060769077506,0.7160166367802352,False,-0.0027271368798563733
StrB,acquired,254,0.7147713687985655,0.7081340904562661,0.7206324300989573,False,0.005861061300391768
OmpK36,chromosomal,735,0.6971964866839344,0.7549478647805007,0.962816298067344,False,0.2656198113834096
OXA,acquired,303,0.6958432954771867,0.6888448894202032,0.7716344557348741,False,0.0757911602576874
SHV-OKP-LEN,acquired,696,0.6735654512851166,0.7249742644617121,0.9722429766885834,False,0.2986775254034668
MphA,acquired,195,0.6699458723517301,0.6638482101348211,0.6729718735471873,False,0.003026001195457262
Mrx,acquired,190,0.6666625157733944,0.6637112306568373,0.6685594739988047,False,0.0018969582254102502
ANT(3''),acquired,233,0.6622252108653782,0.6640931128378827,0.6864456731088532,False,0.02422046224347496
Cat,acquired,204,0.6620301188815834,0.6547079431493656,0.675146941621837,False,0.013116822740253609
OmpK35,chromosomal,735,0.6573188550175998,0.7523161984459055,0.9777180049146575,False,0.32039914989705776
TEM,acquired,297,0.6387311549445441,0.6749684532111311,0.7515814903367205,False,0.11285033539217637
QnrB,acquired,176,0.6370583449558345,0.63612024307631,0.6563849040313475,False,0.01932655907551306
PmrB,chromosomal,743,0.6262452679816698,0.7135219499236236,0.9787059175134488,False,0.352460649531779
TetA,acquired,167,0.626129042970047,0.6178812180381219,0.6420062097363353,False,0.015877166766288253
AAC(3),acquired,201,0.616561233977552,0.6485480175333731,0.6650768745434018,False,0.04851564056584978
APH(3'),acquired,151,0.6079688849040314,0.6113103539881782,0.6199110048482434,False,0.011942119944211904
KPC,acquired,174,0.5555763100219168,0.5531978481769276,0.6515906223019194,False,0.09601431228000268
ArmA,acquired,57,0.5333690310154745,0.531625655841137,0.5398361227336123,False,0.006467091718137752
Arr,acquired,51,0.5294215315135817,0.5255861061300392,0.5302351065949392,False,0.0008135750813574871
MphE,acquired,45,0.5272713687985654,0.5277238161652388,0.5355440990901242,False,0.008272730291558839
MsrE,acquired,45,0.5272298598658431,0.5274830643554493,0.5355440990901242,False,0.008314239224281095
CmlA,acquired,41,0.5272174071860264,0.5161718801886166,0.5316090522680481,False,0.004391645082021722
NDM,acquired,52,0.5213438932058179,0.5194676894467689,0.5332735604702131,False,0.01192966726439526
TetD,acquired,74,0.5115892940160722,0.5122866440858072,0.5606113435611343,False,0.04902204954506206
VEB,acquired,15,0.5097338447233845,0.507758019525802,0.5058569104071197,False,-0.0038769343162647907
APH(4),acquired,18,0.5060104934581922,0.5044123995483828,0.5042961745367602,False,-0.0017143189214319232
ANT(2''),acquired,20,0.5041135352327821,0.4897016337915919,0.4938027163445573,False,-0.010310818888224826
LAP,acquired,9,0.5021833698611942,0.5021418609284718,0.5021750680746497,False,-8.301786544429035e-06
RmtF,acquired,9,0.5021211064621106,0.5041052334462377,0.5041052334462377,False,0.001984126984127088
RmtB,acquired,8,0.5011165902902305,0.5011165902902305,0.5011165902902305,False,0.0
QnrS,acquired,54,0.500124526798167,0.4946162914259148,0.537561433220429,False,0.03743690642226205
CMY,acquired,10,0.4944336521219366,0.4983437935843793,0.4984766221690907,False,0.0040429700471541485
