gene_name,site,category,mut_auroc,mut_auroc_sd,mut_auprc,mut_auprc_sd,n_determinants,n_genomes_with_determinant,embeddable,is_causal,is_rrna,is_noncoding
__ALL_CARD__,__ALL_CARD__,all,0.9477721471471473,0.000897492614450371,0.9887000593452103,0.00013364052921463205,18,2013,False,False,False,False
CTX-M,CTX-M,acquired_hgt,0.827027027027027,0.0,0.9602741497478339,1.1491900087240784e-16,1,1184,True,True,False,False
OXA,OXA,acquired_hgt,0.7770270270270268,2.298380017448157e-16,0.9487908961593168,4.596760034896314e-16,1,1045,True,True,False,False
TEM,TEM,acquired_hgt,0.7756756756756755,2.298380017448157e-16,0.9484805379542219,2.298380017448157e-16,1,1036,True,True,False,False
KPC,KPC,acquired_hgt,0.62972972972973,2.298380017448157e-16,0.9149618518039571,0.0,1,542,True,True,False,False
NDM,NDM,acquired_hgt,0.518918918918919,0.0,0.8895124789861628,2.298380017448157e-16,1,81,True,True,False,False
OmpK35,OmpK35,porin_truncation,0.5139076576576577,1.1491900087240784e-16,0.8881934566145092,0.0,1,1989,False,True,False,True
OmpK36,OmpK36,porin_truncation,0.5125563063063064,1.1491900087240784e-16,0.8878910010488958,0.0,1,2000,False,True,False,True
LAP,LAP,acquired_hgt,0.5054054054054051,2.298380017448157e-16,0.8864088969352124,2.298380017448157e-16,1,31,True,True,False,False
CMY,CMY,acquired_hgt,0.5054054054054051,2.298380017448157e-16,0.8864088969352124,2.298380017448157e-16,1,19,True,True,False,False
CARB,CARB,acquired_hgt,0.5027027027027026,1.1491900087240784e-16,0.8857881805250225,2.298380017448157e-16,1,14,True,True,False,False
FOX,FOX,acquired_hgt,0.5027027027027026,1.1491900087240784e-16,0.8857881805250225,2.298380017448157e-16,1,10,True,True,False,False
SHV-OKP-LEN,SHV-OKP-LEN,chromosomal_coding,0.5021396396396396,0.0,0.885607138238717,2.298380017448157e-16,1,1988,True,True,False,False
