gene_name,site,category,mut_auroc,mut_auroc_sd,mut_auprc,mut_auprc_sd,n_determinants,n_genomes_with_determinant,embeddable,is_causal,is_rrna,is_noncoding
__ALL_CARD__,__ALL_CARD__,all,0.8781843471939721,0.0025547924267586477,0.9592822728946541,0.0013028646525381888,18,2730,False,False,False,False
CTX-M,CTX-M,acquired_hgt,0.7376753549036468,2.298380017448157e-16,0.8996438630889121,4.596760034896314e-16,1,1553,True,True,False,False
OXA,OXA,acquired_hgt,0.6982322967560655,1.1491900087240784e-16,0.8864912108216125,2.298380017448157e-16,1,1315,True,True,False,False
TEM,TEM,acquired_hgt,0.6950030405334566,2.298380017448157e-16,0.884946158988924,2.298380017448157e-16,1,1358,True,True,False,False
KPC,KPC,acquired_hgt,0.6538929312839438,1.1491900087240784e-16,0.8736532535710582,1.1491900087240784e-16,1,794,True,True,False,False
NDM,NDM,acquired_hgt,0.5610203610895593,1.1491900087240784e-16,0.8398718185754991,2.298380017448157e-16,1,293,True,True,False,False
OmpK35,OmpK35,porin_truncation,0.5113548197697584,1.1491900087240784e-16,0.8216946884531923,1.1491900087240784e-16,1,2705,False,True,False,True
SHV-OKP-LEN,SHV-OKP-LEN,chromosomal_coding,0.5102749061628468,0.0,0.8213293357841512,0.0,1,2690,True,True,False,False
VEB,VEB,acquired_hgt,0.5091845079578101,1.1491900087240784e-16,0.8211252034718598,2.298380017448157e-16,1,49,True,True,False,False
OmpK36,OmpK36,porin_truncation,0.505955251735201,0.0,0.8198930979193366,2.298380017448157e-16,1,2711,False,True,False,True
CMY,CMY,acquired_hgt,0.5043196544276459,1.1491900087240784e-16,0.8195933724595321,2.298380017448157e-16,1,32,True,True,False,False
DHA,DHA,acquired_hgt,0.5023758099352051,0.0022799078311522515,0.818914658120712,0.0007538853826380812,1,25,True,False,False,False
FOX,FOX,acquired_hgt,0.5021598272138228,1.1491900087240784e-16,0.8188072869364796,1.1491900087240784e-16,1,10,True,False,False,False
LAP,LAP,acquired_hgt,0.49944431629935615,1.1491900087240784e-16,0.8178557949622272,1.1491900087240784e-16,1,75,True,False,False,False
CARB,CARB,acquired_hgt,0.497305458281784,5.745950043620392e-17,0.8173674021272642,2.298380017448157e-16,1,15,True,True,False,False
