gene_name,site,category,mut_auroc,mut_auroc_sd,mut_auprc,mut_auprc_sd,n_determinants,n_genomes_with_determinant,embeddable,is_causal,is_rrna,is_noncoding
__ALL_CARD__,__ALL_CARD__,all,0.9601592246452062,0.0009769482876978517,0.9847510261547409,0.00045522216689971006,182,2636,False,False,False,False
CTX-M-15,CTX-M-15,acquired_hgt,0.7696372941700047,2.298380017448157e-16,0.893706073190009,3.447570026172235e-16,1,1269,True,True,False,False
TEM-105,TEM-105,acquired_hgt,0.633900756564308,1.1491900087240784e-16,0.8308792756524794,2.298380017448157e-16,1,733,True,True,False,False
SHV-28,SHV-28,acquired_hgt,0.6184727785195074,1.1491900087240784e-16,0.8246418882003359,2.298380017448157e-16,1,646,True,True,False,False
OXA-9.v1,OXA-9.v1,acquired_hgt,0.6179906542056076,1.1491900087240784e-16,0.8262340159924424,0.0,1,527,True,True,False,False
OXA-1,OXA-1,acquired_hgt,0.6081998219848687,0.0,0.819298882547722,1.1491900087240784e-16,1,607,True,True,False,False
KPC-2,KPC-2,acquired_hgt,0.6074766355140185,1.1491900087240784e-16,0.8214514659738854,3.447570026172235e-16,1,469,True,True,False,False
SHV-11,SHV-11,acquired_hgt,0.5549065420560748,0.0,0.7975387158811027,1.1491900087240784e-16,1,228,True,True,False,False
SHV-12,SHV-12,acquired_hgt,0.5537383177570093,0.0,0.7970073214345965,2.298380017448157e-16,1,313,True,True,False,False
TEM-150,TEM-150,acquired_hgt,0.5420560747663552,1.1491900087240784e-16,0.7916933769695333,0.0,1,179,True,True,False,False
SHV-79,SHV-79,acquired_hgt,0.5375686099985166,1.1491900087240784e-16,0.7860017624813675,0.0,1,109,True,True,False,False
TEM-122,TEM-122,acquired_hgt,0.5338785046728971,1.1491900087240784e-16,0.7879736158439895,2.298380017448157e-16,1,181,True,True,False,False
KPC-3,KPC-3,acquired_hgt,0.5327102803738316,1.1491900087240784e-16,0.7874422213974832,2.298380017448157e-16,1,161,True,True,False,False
SHV-155,SHV-155,acquired_hgt,0.5268691588785047,0.0,0.7847852491649514,1.1491900087240784e-16,1,105,True,True,False,False
SHV-33,SHV-33,acquired_hgt,0.5203048509123276,0.0,0.7797656726152096,1.1491900087240784e-16,1,26,True,True,False,False
OKP-B-1,OKP-B-1,acquired_hgt,0.5198412698412698,0.0,0.7795992714025499,2.298380017448157e-16,1,14,True,True,False,False
SHV-36,SHV-36,acquired_hgt,0.5186730455422044,0.0,0.7791815805176795,0.0,1,17,True,True,False,False
