gene_name,site,category,mut_auroc,mut_auroc_sd,mut_auprc,mut_auprc_sd,n_determinants,n_genomes_with_determinant,embeddable,is_causal,is_rrna,is_noncoding
__ALL_CARD__,__ALL_CARD__,all,0.9277610888592197,0.0014370577387247878,0.966916862775149,0.00035522858313208284,18,2636,False,False,False,False
CTX-M,CTX-M,acquired_hgt,0.7883288829550511,0.0,0.9022030809198897,1.1491900087240784e-16,1,1329,True,True,False,False
OXA,OXA,acquired_hgt,0.7378727191811303,1.1491900087240784e-16,0.8779425463218993,3.447570026172235e-16,1,1172,True,True,False,False
TEM,TEM,acquired_hgt,0.7331998219848687,0.0,0.8758234411907058,0.0,1,1207,True,True,False,False
KPC,KPC,acquired_hgt,0.6413551401869159,0.0,0.8368619049225681,2.298380017448157e-16,1,637,True,True,False,False
OmpK35,OmpK35,porin_truncation,0.5154341591257481,0.01481114281770347,0.7788471284635707,0.005523126525207782,1,2610,False,True,False,True
NDM,NDM,acquired_hgt,0.5140186915887848,2.298380017448157e-16,0.7789399102533826,2.298380017448157e-16,1,73,True,True,False,False
SHV-OKP-LEN,SHV-OKP-LEN,chromosomal_coding,0.5138975424022153,0.01333655326845191,0.7780418758317397,0.004902749963272367,1,2588,True,True,False,False
OmpK36,OmpK36,porin_truncation,0.5076410522672204,0.014989704656418452,0.7757442416485402,0.005548560058570299,1,2620,False,True,False,True
CMY,CMY,acquired_hgt,0.5046728971962616,0.0,0.774688754681332,0.0,1,24,True,True,False,False
DHA,DHA,acquired_hgt,0.5046728971962616,0.0,0.774688754681332,0.0,1,10,True,True,False,False
LAP,LAP,acquired_hgt,0.5042093161252039,1.1491900087240784e-16,0.7742385454974863,2.298380017448157e-16,1,34,True,True,False,False
FOX,FOX,acquired_hgt,0.5035046728971962,0.0,0.7741573602348257,0.0,1,10,True,True,False,False
CARB,CARB,acquired_hgt,0.5035046728971962,0.0,0.7741573602348257,0.0,1,14,True,True,False,False
