gene_name,site,category,mut_auroc,mut_auroc_sd,mut_auprc,mut_auprc_sd,n_determinants,n_genomes_with_determinant,embeddable,is_causal,is_rrna,is_noncoding
__ALL_CARD__,__ALL_CARD__,all,0.8151496581086312,0.009639088792482821,0.8519140019500716,0.008166190586039065,18,2446,False,False,False,False
OXA,OXA,acquired_hgt,0.7097793833053798,2.298380017448157e-16,0.774569483513766,2.298380017448157e-16,1,1157,True,True,False,False
TEM,TEM,acquired_hgt,0.686572700296736,1.1491900087240784e-16,0.7549359575855608,0.0,1,1218,True,True,False,False
CTX-M,CTX-M,acquired_hgt,0.636675912785447,0.0,0.7205347088778438,1.1491900087240784e-16,1,1398,True,True,False,False
KPC,KPC,acquired_hgt,0.6132918333118307,1.1491900087240784e-16,0.7171970721952621,2.298380017448157e-16,1,550,True,True,False,False
NDM,NDM,acquired_hgt,0.5445103857566764,1.1491900087240784e-16,0.6782722110527005,0.0,1,141,True,True,False,False
VEB,VEB,acquired_hgt,0.5180541220487679,1.1491900087240784e-16,0.6587351038765518,0.0,1,49,True,True,False,False
OmpK35,OmpK35,porin_truncation,0.5050477357760289,0.025596692207136996,0.6511171627921478,0.013180421935747255,1,2417,False,True,False,True
DHA,DHA,acquired_hgt,0.5012337117791253,1.1491900087240784e-16,0.6473971649083958,2.298380017448157e-16,1,19,True,False,False,False
CARB,CARB,acquired_hgt,0.5009891196834817,0.002895845913793859,0.6477793528030631,0.0016828525383226272,1,13,True,True,False,False
CMY,CMY,acquired_hgt,0.5007499032382919,1.1491900087240784e-16,0.6471861348582102,1.1491900087240784e-16,1,36,True,True,False,False
LAP,LAP,acquired_hgt,0.5001967488066056,0.0009976985460929194,0.6469361100562651,0.0004394867365412837,1,36,True,False,False,False
OmpK36,OmpK36,porin_truncation,0.4986141573130349,0.021469382588317022,0.6473726473208986,0.010942638560144761,1,2425,False,True,False,True
SHV-OKP-LEN,SHV-OKP-LEN,chromosomal_coding,0.48167978325377364,5.745950043620392e-17,0.6385789818313566,0.0,1,2406,True,True,False,False
