gene_name,site,category,mut_auroc,mut_auroc_sd,mut_auprc,mut_auprc_sd,n_determinants,n_genomes_with_determinant,embeddable,is_causal,is_rrna,is_noncoding
__ALL_CARD__,__ALL_CARD__,all,0.9729387533416566,0.0012902109735624984,0.9833747960545677,0.0008566455132139953,163,2033,False,False,False,False
CTX-M-15,CTX-M-15,acquired_hgt,0.7441860465116277,2.298380017448157e-16,0.8246166345079721,1.1491900087240784e-16,1,733,True,True,False,False
TEM-105,TEM-105,acquired_hgt,0.7050066656791587,1.1491900087240784e-16,0.792663255048621,2.298380017448157e-16,1,660,True,False,False,False
OXA-1,OXA-1,acquired_hgt,0.6614046596271451,1.1491900087240784e-16,0.7657138969647532,2.298380017448157e-16,1,515,True,False,False,False
OXA-9.v1,OXA-9.v1,acquired_hgt,0.6313667816408153,1.1491900087240784e-16,0.7461705912304955,1.1491900087240784e-16,1,345,True,False,False,False
KPC-2,KPC-2,acquired_hgt,0.5998053198467953,1.1491900087240784e-16,0.7245446027163445,2.298380017448157e-16,1,325,True,True,False,False
SHV-28,SHV-28,acquired_hgt,0.5883149586304677,2.298380017448157e-16,0.7157005821022911,2.298380017448157e-16,1,273,True,False,False,False
SHV-11,SHV-11,acquired_hgt,0.5883149586304677,2.298380017448157e-16,0.7157005821022911,2.298380017448157e-16,1,278,True,False,False,False
NDM-1,NDM-1,acquired_hgt,0.5714285714285713,1.1491900087240784e-16,0.7061759201497194,1.1491900087240784e-16,1,200,True,True,False,False
KPC-3,KPC-3,acquired_hgt,0.5631229235880398,0.0,0.7004816550363416,1.1491900087240784e-16,1,191,True,True,False,False
TEM-150,TEM-150,acquired_hgt,0.5498338870431894,0.0,0.6913708308549377,0.0,1,130,True,False,False,False
OmpK36,OmpK36,porin_truncation,0.5461201515119453,0.0,0.6787251404901452,1.1491900087240784e-16,1,2011,False,True,False,True
OmpK35,OmpK35,porin_truncation,0.5444590219438388,2.298380017448157e-16,0.6779260689963904,2.298380017448157e-16,1,2020,False,True,False,True
OXA-48,OXA-48,acquired_hgt,0.54069238419705,1.1491900087240784e-16,0.6811180448618972,1.1491900087240784e-16,1,206,True,True,False,False
OXA-181,OXA-181,acquired_hgt,0.5366823962587554,0.0,0.6813483439481203,2.298380017448157e-16,1,87,True,True,False,False
NDM-4,NDM-4,acquired_hgt,0.5365448504983388,1.1491900087240784e-16,0.6822600066735338,1.1491900087240784e-16,1,81,True,True,False,False
SHV-12,SHV-12,acquired_hgt,0.5365448504983388,1.1491900087240784e-16,0.6822600066735338,1.1491900087240784e-16,1,128,True,True,False,False
SHV-1,SHV-1,acquired_hgt,0.5256258332098948,1.1491900087240784e-16,0.6689738161332505,1.1491900087240784e-16,1,176,True,False,False,False
CTX-M-14,CTX-M-14,acquired_hgt,0.5232558139534884,0.0,0.6731491824921297,1.1491900087240784e-16,1,63,True,True,False,False
SHV-79,SHV-79,acquired_hgt,0.5181454599318619,0.0,0.6654891769832497,0.0,1,122,True,False,False,False
SHV-13,SHV-13,acquired_hgt,0.5156484753581481,0.0,0.6643335263471675,1.1491900087240784e-16,1,23,True,True,False,False
CTX-M-55,CTX-M-55,acquired_hgt,0.5149501661129569,0.0,0.667454917378752,1.1491900087240784e-16,1,40,True,True,False,False
TEM-168,TEM-168,acquired_hgt,0.5132890365448504,1.1491900087240784e-16,0.6663160643560764,2.298380017448157e-16,1,58,True,True,False,False
OXA-245,OXA-245,acquired_hgt,0.5116279069767442,0.0,0.665177211333401,1.1491900087240784e-16,1,23,True,True,False,False
OXA-232,OXA-232,acquired_hgt,0.5099667774086376,2.298380017448157e-16,0.6640383583107254,1.1491900087240784e-16,1,23,True,True,False,False
VEB-5,VEB-5,acquired_hgt,0.5083056478405316,0.0,0.6628995052880502,1.1491900087240784e-16,1,41,True,True,False,False
NDM-5,NDM-5,acquired_hgt,0.5066445182724254,1.1491900087240784e-16,0.6617606522653746,1.1491900087240784e-16,1,14,True,True,False,False
CTX-M-27,CTX-M-27,acquired_hgt,0.5016611295681062,1.1491900087240784e-16,0.658344093197348,0.0,1,16,True,True,False,False
