gene_name,site,category,mut_auroc,mut_auroc_sd,mut_auprc,mut_auprc_sd,n_determinants,n_genomes_with_determinant,embeddable,is_causal,is_rrna,is_noncoding
__ALL_CARD__,__ALL_CARD__,all,0.9785456828265303,0.0005672350629386832,0.9843377325499353,0.0004595247457991177,19,2033,False,False,False,False
TEM,TEM,acquired_hgt,0.8032884017182641,1.1491900087240784e-16,0.8579665432846695,2.298380017448157e-16,1,957,True,True,False,False
CTX-M,CTX-M,acquired_hgt,0.7973421926910299,0.0,0.8610599312335885,2.298380017448157e-16,1,864,True,True,False,False
OXA,OXA,acquired_hgt,0.795120299638149,2.298380017448157e-16,0.8514836342161585,2.298380017448157e-16,1,941,True,True,False,False
KPC,KPC,acquired_hgt,0.6662505025710477,0.0,0.7700782442944316,0.0,1,520,True,True,False,False
NDM,NDM,acquired_hgt,0.6146179401993356,0.0,0.7357860987392825,1.1491900087240784e-16,1,302,True,True,False,False
SHV-OKP-LEN,SHV-OKP-LEN,chromosomal_coding,0.5589965507755464,0.0,0.6850003862759616,1.1491900087240784e-16,1,1998,True,True,False,False
OmpK36,OmpK36,porin_truncation,0.5461201515119453,0.0,0.6787251404901452,1.1491900087240784e-16,1,2011,False,True,False,True
OmpK35,OmpK35,porin_truncation,0.5444590219438388,2.298380017448157e-16,0.6779260689963904,2.298380017448157e-16,1,2020,False,True,False,True
CMY,CMY,acquired_hgt,0.5199335548172758,0.0,0.6708714764467787,1.1491900087240784e-16,1,36,True,True,False,False
DHA,DHA,acquired_hgt,0.5132890365448504,1.1491900087240784e-16,0.6663160643560764,2.298380017448157e-16,1,29,True,False,False,False
LAP,LAP,acquired_hgt,0.5120405442579934,1.1491900087240784e-16,0.6639123228249358,0.0,1,72,True,False,False,False
VEB,VEB,acquired_hgt,0.5116279069767442,0.0,0.665177211333401,1.1491900087240784e-16,1,49,True,True,False,False
SCO,SCO,acquired_hgt,0.5033222591362126,0.0,0.6594829462200237,1.1491900087240784e-16,1,20,True,False,False,False
