gene_name,site,category,mut_auroc,mut_auroc_sd,mut_auprc,mut_auprc_sd,n_determinants,n_genomes_with_determinant,embeddable,is_causal,is_rrna,is_noncoding
__ALL_CARD__,__ALL_CARD__,all,0.913126921387791,0.0023707154937245302,0.9393369492049176,0.0012783077857162124,176,2797,False,False,False,False
KPC-2,KPC-2,acquired_hgt,0.6934004072343993,1.1491900087240784e-16,0.7407341865233872,2.298380017448157e-16,1,661,True,True,False,False
OXA-9.v1,OXA-9.v1,acquired_hgt,0.6818062043358489,2.298380017448157e-16,0.7312146895644412,2.298380017448157e-16,1,645,True,True,False,False
OXA-1,OXA-1,acquired_hgt,0.5719187926697807,1.1491900087240784e-16,0.625312681790529,0.0,1,703,True,True,False,False
NDM-1,NDM-1,acquired_hgt,0.5646005509641874,1.1491900087240784e-16,0.6398661302209819,1.1491900087240784e-16,1,196,True,True,False,False
SHV-11,SHV-11,acquired_hgt,0.5615163492633848,0.0,0.6331172349806449,2.298380017448157e-16,1,314,True,True,False,False
SHV-28,SHV-28,acquired_hgt,0.5606479817942269,0.0,0.6228379125869671,1.1491900087240784e-16,1,748,True,True,False,False
TEM-150,TEM-150,acquired_hgt,0.5581866091747515,0.0,0.6335786375220492,1.1491900087240784e-16,1,210,True,True,False,False
TEM-105,TEM-105,acquired_hgt,0.5565337166127681,0.0,0.617014286552631,1.1491900087240784e-16,1,907,True,True,False,False
CTX-M-15,CTX-M-15,acquired_hgt,0.5557671577434424,1.1491900087240784e-16,0.6170749962083939,2.298380017448157e-16,1,1383,True,True,False,False
TEM-122,TEM-122,acquired_hgt,0.5521739130434782,1.1491900087240784e-16,0.6307532775349974,0.0,1,186,True,True,False,False
KPC-3,KPC-3,acquired_hgt,0.5480416816385195,1.1491900087240784e-16,0.6252612866883157,1.1491900087240784e-16,1,172,True,True,False,False
SHV-12,SHV-12,acquired_hgt,0.5375254521499581,0.0,0.6119244141286952,0.0,1,292,True,True,False,False
NDM-4,NDM-4,acquired_hgt,0.5246376811594204,1.1491900087240784e-16,0.6080487865096413,1.1491900087240784e-16,1,81,True,True,False,False
SHV-229,SHV-229,acquired_hgt,0.5227272727272726,1.1491900087240784e-16,0.5989583333333334,0.0,1,70,True,True,False,False
OXA-181,OXA-181,acquired_hgt,0.5211222900946221,0.0,0.604125765556945,0.0,1,77,True,True,False,False
TEM-168,TEM-168,acquired_hgt,0.5188405797101449,1.1491900087240784e-16,0.6032688936621978,0.0,1,58,True,True,False,False
SHV-27,SHV-27,acquired_hgt,0.5171457659599953,0.0,0.5961626737878627,1.1491900087240784e-16,1,52,True,True,False,False
SHV-111,SHV-111,acquired_hgt,0.5167744640076657,1.1491900087240784e-16,0.6005773822750343,0.0,1,59,True,True,False,False
SHV-155,SHV-155,acquired_hgt,0.5151395376691817,1.1491900087240784e-16,0.597221341629015,1.1491900087240784e-16,1,90,True,True,False,False
SHV-79,SHV-79,acquired_hgt,0.5136004311893638,2.298380017448157e-16,0.5944025574825142,2.298380017448157e-16,1,114,True,True,False,False
DHA-1,DHA-1,acquired_hgt,0.5130434782608696,0.0,0.5984890008147545,1.1491900087240784e-16,1,30,True,True,False,False
SHV-33,SHV-33,acquired_hgt,0.5130135345550366,0.0,0.5941092744915758,1.1491900087240784e-16,1,33,True,True,False,False
SHV-1,SHV-1,acquired_hgt,0.5127380524613726,0.0,0.5939776477462574,1.1491900087240784e-16,1,236,True,True,False,False
SHV-217,SHV-217,acquired_hgt,0.5123966942148763,2.298380017448157e-16,0.5938037865748707,2.298380017448157e-16,1,11,True,True,False,False
LAP-2,LAP-2,acquired_hgt,0.5119655048508803,0.0,0.5935916013745366,0.0,1,75,True,True,False,False
NDM-5,NDM-5,acquired_hgt,0.510144927536232,1.1491900087240784e-16,0.5960990543910327,0.0,1,16,True,True,False,False
LEN-58,LEN-58,acquired_hgt,0.508881303150078,0.0,0.5920700121956076,1.1491900087240784e-16,1,14,True,True,False,False
SHV-205,SHV-205,acquired_hgt,0.5082644628099172,1.1491900087240784e-16,0.5917667238421955,0.0,1,11,True,True,False,False
SHV-223,SHV-223,acquired_hgt,0.5082644628099172,1.1491900087240784e-16,0.5917667238421955,0.0,1,15,True,True,False,False
LEN-16,LEN-16,acquired_hgt,0.5082644628099172,1.1491900087240784e-16,0.5917667238421955,0.0,1,18,True,True,False,False
OXA-48,OXA-48,acquired_hgt,0.5075877350580907,0.0,0.5914358072465605,0.0,1,163,True,True,False,False
SHV-13,SHV-13,acquired_hgt,0.5074320277877592,1.1491900087240784e-16,0.5913581795133098,0.0,1,29,True,True,False,False
SHV-5,SHV-5,acquired_hgt,0.5059827524254403,1.1491900087240784e-16,0.5906480157102162,1.1491900087240784e-16,1,23,True,True,False,False
TEM-104,TEM-104,acquired_hgt,0.5057971014492753,1.1491900087240784e-16,0.5925141347554502,0.0,1,23,True,True,False,False
OXA-10,OXA-10,acquired_hgt,0.5057971014492753,1.1491900087240784e-16,0.5925141347554502,0.0,1,30,True,True,False,False
VEB-5,VEB-5,acquired_hgt,0.5053659120852796,0.0,0.5903462156157405,0.0,1,29,True,True,False,False
SHV-187,SHV-187,acquired_hgt,0.5045334770631216,2.298380017448157e-16,0.5899395294483292,0.0,1,45,True,True,False,False
SHV-215,SHV-215,acquired_hgt,0.5045334770631216,2.298380017448157e-16,0.5899395294483292,0.0,1,57,True,True,False,False
CMY-2.v2,CMY-2.v2,acquired_hgt,0.5043478260869564,1.1491900087240784e-16,0.5913191615435894,1.1491900087240784e-16,1,10,True,True,False,False
TEM-79,TEM-79,acquired_hgt,0.5043478260869564,1.1491900087240784e-16,0.5913191615435894,1.1491900087240784e-16,1,13,True,True,False,False
SHV-76,SHV-76,acquired_hgt,0.5041158621791034,0.0024524101038387574,0.5898254454522545,0.0008493295832281456,1,15,True,True,False,False
SHV-75,SHV-75,acquired_hgt,0.5026829560426399,0.0,0.5890373079078534,0.0,1,24,True,True,False,False
OXA-2,OXA-2,acquired_hgt,0.5025120772946858,0.0014968051579545437,0.5898714395817326,0.0009788916995087246,1,17,True,True,False,False
SHV-99,SHV-99,acquired_hgt,0.502467361360642,0.0,0.5889324047170732,0.0,1,42,True,True,False,False
