gene_name,site,category,mut_auroc,mut_auroc_sd,mut_auprc,mut_auprc_sd,n_determinants,n_genomes_with_determinant,embeddable,is_causal,is_rrna,is_noncoding
__ALL_CARD__,__ALL_CARD__,all,0.928620954001878,0.000771686345427154,0.9568924617678461,0.00039197013537540403,18,4190,False,False,False,False
CTX-M,CTX-M,acquired_hgt,0.7831197789591042,1.1491900087240784e-16,0.8447267855822369,1.1491900087240784e-16,1,1926,True,True,False,False
OXA,OXA,acquired_hgt,0.7727329035315917,1.1491900087240784e-16,0.8400344417178649,1.1491900087240784e-16,1,1682,True,True,False,False
TEM,TEM,acquired_hgt,0.7613442345704944,1.1491900087240784e-16,0.829865986108432,1.1491900087240784e-16,1,1756,True,True,False,False
KPC,KPC,acquired_hgt,0.6407035175879395,1.1491900087240784e-16,0.7538739955283021,1.1491900087240784e-16,1,882,True,True,False,False
NDM,NDM,acquired_hgt,0.5527638190954772,1.1491900087240784e-16,0.6936333650632013,1.1491900087240784e-16,1,349,True,True,False,False
SHV-OKP-LEN,SHV-OKP-LEN,chromosomal_coding,0.5511399440934578,1.1491900087240784e-16,0.6814091336459581,1.1491900087240784e-16,1,4134,True,True,False,False
OmpK35,OmpK35,porin_truncation,0.5438715549882315,1.1491900087240784e-16,0.6778989127008136,0.0,1,4163,False,True,False,True
OmpK36,OmpK36,porin_truncation,0.5422638379464308,2.298380017448157e-16,0.6771272814010787,1.1491900087240784e-16,1,4169,False,True,False,True
VEB,VEB,acquired_hgt,0.5100502512562813,1.1491900087240784e-16,0.6643736302658668,1.1491900087240784e-16,1,50,True,True,False,False
CMY,CMY,acquired_hgt,0.5058626465661644,2.298380017448157e-16,0.6615050288151476,0.0,1,42,True,True,False,False
DHA,DHA,acquired_hgt,0.5058626465661644,2.298380017448157e-16,0.6615050288151476,0.0,1,29,True,False,False,False
CARB,CARB,acquired_hgt,0.5025125628140703,0.0,0.6592101476545726,2.298380017448157e-16,1,17,True,True,False,False
FOX,FOX,acquired_hgt,0.5025125628140703,0.0,0.6592101476545726,2.298380017448157e-16,1,12,True,False,False,False
LAP,LAP,acquired_hgt,0.500185457476737,0.002873094875328601,0.6576507323648565,0.0013674081605838174,1,88,True,False,False,False
