gene_name,site,category,mut_auroc,mut_auroc_sd,mut_auprc,mut_auprc_sd,n_determinants,n_genomes_with_determinant,embeddable,is_causal,is_rrna,is_noncoding
__ALL_CARD__,__ALL_CARD__,all,0.9757579662706084,0.000740852252954025,0.9920132734730561,0.0002062353384656801,192,3042,False,False,False,False
CTX-M-15,CTX-M-15,acquired_hgt,0.8152400835073069,1.1491900087240784e-16,0.9066112122564236,2.298380017448157e-16,1,1507,True,True,False,False
OXA-1,OXA-1,acquired_hgt,0.66705971803397,1.1491900087240784e-16,0.8311970418630383,2.298380017448157e-16,1,786,True,False,False,False
TEM-105,TEM-105,acquired_hgt,0.6525812520941263,2.298380017448157e-16,0.8224893536064644,2.298380017448157e-16,1,840,True,False,False,False
SHV-28,SHV-28,acquired_hgt,0.6243975360189696,1.1491900087240784e-16,0.8082848444997878,0.0,1,724,True,False,False,False
OXA-9.v1,OXA-9.v1,acquired_hgt,0.6012526096033403,0.0,0.7984490569601909,1.1491900087240784e-16,1,509,True,False,False,False
KPC-2,KPC-2,acquired_hgt,0.5949895615866387,1.1491900087240784e-16,0.7952833353417644,1.1491900087240784e-16,1,461,True,True,False,False
SHV-12,SHV-12,acquired_hgt,0.5542797494780791,2.298380017448157e-16,0.7747061448219932,1.1491900087240784e-16,1,249,True,True,False,False
TEM-150,TEM-150,acquired_hgt,0.5438413361169101,1.1491900087240784e-16,0.7694299421246158,2.298380017448157e-16,1,218,True,False,False,False
SHV-11,SHV-11,acquired_hgt,0.5429328075465863,1.1491900087240784e-16,0.7677423684177052,1.1491900087240784e-16,1,235,True,False,False,False
SHV-79,SHV-79,acquired_hgt,0.5337702002628932,1.1491900087240784e-16,0.7602527134957542,2.298380017448157e-16,1,149,True,False,False,False
NDM-1,NDM-1,acquired_hgt,0.533402922755741,1.1491900087240784e-16,0.7641537394272391,2.298380017448157e-16,1,148,True,True,False,False
TEM-122,TEM-122,acquired_hgt,0.533402922755741,1.1491900087240784e-16,0.7641537394272391,2.298380017448157e-16,1,179,True,False,False,False
SHV-67,SHV-67,acquired_hgt,0.5313603443387718,2.298380017448157e-16,0.762655079456279,1.1491900087240784e-16,1,140,True,False,False,False
KPC-3,KPC-3,acquired_hgt,0.5198329853862214,1.1491900087240784e-16,0.7572946759206487,2.298380017448157e-16,1,103,True,True,False,False
SHV-1,SHV-1,acquired_hgt,0.5118946364597026,0.0,0.7517916784484346,2.298380017448157e-16,1,235,True,False,False,False
OXA-181,OXA-181,acquired_hgt,0.5104384133611691,0.0,0.7525460934930093,2.298380017448157e-16,1,29,True,True,False,False
SHV-13,SHV-13,acquired_hgt,0.508170313667878,0.0,0.7503688482241325,0.0,1,45,True,True,False,False
OXA-48,OXA-48,acquired_hgt,0.5073068893528185,1.1491900087240784e-16,0.7509632326837961,2.298380017448157e-16,1,35,True,True,False,False
OmpK35,OmpK35,porin_truncation,0.5066689863140803,1.1491900087240784e-16,0.7499184608004659,1.1491900087240784e-16,1,3014,False,True,False,True
CTX-M-14,CTX-M-14,acquired_hgt,0.5062630480167014,0.0,0.7504356124140583,2.298380017448157e-16,1,37,True,True,False,False
OmpK36,OmpK36,porin_truncation,0.5056251449779633,0.0,0.7494890416320353,1.1491900087240784e-16,1,3025,False,True,False,True
CTX-M-3,CTX-M-3,acquired_hgt,0.5052192066805843,2.298380017448157e-16,0.7499079921443206,2.298380017448157e-16,1,14,True,True,False,False
OXA-232,OXA-232,acquired_hgt,0.5041753653444676,0.0,0.7493803718745828,2.298380017448157e-16,1,27,True,True,False,False
NDM-5,NDM-5,acquired_hgt,0.5041753653444676,0.0,0.7493803718745828,2.298380017448157e-16,1,16,True,True,False,False
SHV-5,SHV-5,acquired_hgt,0.5020876826722338,0.0,0.7483251313351074,1.1491900087240784e-16,1,23,True,True,False,False
