gene_name,site,category,mut_auroc,mut_auroc_sd,mut_auprc,mut_auprc_sd,n_determinants,n_genomes_with_determinant,embeddable,is_causal,is_rrna,is_noncoding
__ALL_CARD__,__ALL_CARD__,all,0.948893012706513,8.225744440748912e-05,0.9763606918927585,3.0577911114517744e-05,18,3042,False,False,False,False
CTX-M,CTX-M,acquired_hgt,0.8329853862212941,2.298380017448157e-16,0.915580756841965,3.447570026172235e-16,1,1582,True,True,False,False
OXA,OXA,acquired_hgt,0.7651808036289597,1.1491900087240784e-16,0.8807887092392955,1.1491900087240784e-16,1,1295,True,True,False,False
TEM,TEM,acquired_hgt,0.7433954483362973,0.0,0.8683202744765979,2.298380017448157e-16,1,1300,True,True,False,False
KPC,KPC,acquired_hgt,0.6169102296450937,2.298380017448157e-16,0.8063633610062567,2.298380017448157e-16,1,573,True,True,False,False
NDM,NDM,acquired_hgt,0.5386221294363257,0.0,0.7667918407759271,2.298380017448157e-16,1,172,True,True,False,False
OmpK35,OmpK35,porin_truncation,0.5066689863140803,1.1491900087240784e-16,0.7499184608004659,1.1491900087240784e-16,1,3014,False,True,False,True
LAP,LAP,acquired_hgt,0.5062630480167014,0.0,0.7504356124140583,2.298380017448157e-16,1,37,True,False,False,False
OmpK36,OmpK36,porin_truncation,0.5056251449779633,0.0,0.7494890416320353,1.1491900087240784e-16,1,3025,False,True,False,True
CMY,CMY,acquired_hgt,0.5031315240083509,2.298380017448157e-16,0.7488527516048451,2.298380017448157e-16,1,25,True,True,False,False
CARB,CARB,acquired_hgt,0.5031315240083509,2.298380017448157e-16,0.7488527516048451,2.298380017448157e-16,1,17,True,True,False,False
FOX,FOX,acquired_hgt,0.5020876826722338,0.0,0.7483251313351074,1.1491900087240784e-16,1,12,True,False,False,False
DHA,DHA,acquired_hgt,0.5010889455913813,1.1491900087240784e-16,0.7477102257367956,1.1491900087240784e-16,1,18,True,False,False,False
SHV-OKP-LEN,SHV-OKP-LEN,chromosomal_coding,0.4994523054717906,1.1491900087240784e-16,0.7470638719708129,2.298380017448157e-16,1,2995,True,True,False,False
