gene_name,site,category,mut_auroc,mut_auroc_sd,mut_auprc,mut_auprc_sd,n_determinants,n_genomes_with_determinant,embeddable,is_causal,is_rrna,is_noncoding
__ALL_CARD__,__ALL_CARD__,all,0.9189080704745665,0.00012326946567203003,0.9848593503054146,3.620115417167353e-05,18,2250,False,False,False,False
CTX-M,CTX-M,acquired_hgt,0.813885336743393,0.0,0.9620460113096939,3.447570026172235e-16,1,1353,True,True,False,False
OXA,OXA,acquired_hgt,0.7428069053708442,2.298380017448157e-16,0.9476450218769306,4.596760034896314e-16,1,1036,True,True,False,False
TEM,TEM,acquired_hgt,0.7285805626598466,0.0,0.944178876181871,0.0,1,1111,True,True,False,False
KPC,KPC,acquired_hgt,0.6556372549019608,0.0,0.9302172410814544,2.298380017448157e-16,1,598,True,True,False,False
NDM,NDM,acquired_hgt,0.5698529411764708,2.298380017448157e-16,0.9128336356569059,1.1491900087240784e-16,1,249,True,True,False,False
LAP,LAP,acquired_hgt,0.5134803921568628,1.1491900087240784e-16,0.9014101235207741,1.1491900087240784e-16,1,76,True,True,False,False
VEB,VEB,acquired_hgt,0.5098039215686274,0.0,0.9006651118597218,1.1491900087240784e-16,1,43,True,True,False,False
DHA,DHA,acquired_hgt,0.5024509803921566,2.298380017448157e-16,0.8991750885376176,0.0,1,21,True,True,False,False
CMY,CMY,acquired_hgt,0.5024509803921566,2.298380017448157e-16,0.8991750885376176,0.0,1,15,True,True,False,False
FOX,FOX,acquired_hgt,0.5012254901960783,1.1491900087240784e-16,0.8989267513172672,2.298380017448157e-16,1,10,True,True,False,False
CARB,CARB,acquired_hgt,0.5010620915032679,0.0006328404160469612,0.8988953208522926,0.0001217296674097026,1,13,True,True,False,False
OmpK36,OmpK36,porin_truncation,0.5004582267689685,0.00232363382054515,0.898766377958307,0.00041768466636026366,1,2244,False,True,False,True
SHV-OKP-LEN,SHV-OKP-LEN,chromosomal_coding,0.4999467178175617,0.00015599425718489083,0.8986687257353234,2.8428695054135598e-05,1,2233,True,True,False,False
OmpK35,OmpK35,porin_truncation,0.4994281045751634,0.008859765824657488,0.8986579322948499,0.0017029917772336837,1,2244,False,True,False,True
