gene_name,site,category,mut_auroc,mut_auroc_sd,mut_auprc,mut_auprc_sd,n_determinants,n_genomes_with_determinant,embeddable,is_causal,is_rrna,is_noncoding
__ALL_CARD__,__ALL_CARD__,all,0.9555476590223986,0.0011871584899394289,0.9423743265990069,0.000632943948444778,58,3187,False,False,False,False
aac(3)-IIa.v1,aac(3)-IIa.v1,acquired_hgt,0.7787685542030756,1.1491900087240784e-16,0.7209297654318438,2.298380017448157e-16,1,1053,True,True,False,False
strA.v1,strA.v1,acquired_hgt,0.6986086732552368,2.298380017448157e-16,0.5477449808073196,0.0,1,1531,True,True,False,False
strB.v1,strB.v1,acquired_hgt,0.6968963444881138,1.1491900087240784e-16,0.5451933391318066,1.1491900087240784e-16,1,1564,True,True,False,False
aac(6')-Ib-cr.v2,aac(6')-Ib-cr.v2,acquired_hgt,0.6387200938680505,0.0,0.48800171432852657,1.1491900087240784e-16,1,1307,True,True,False,False
aac(3)-IId,aac(3)-IId,acquired_hgt,0.5910658411874687,2.298380017448157e-16,0.4918105690865861,1.7237850130861175e-16,1,329,True,True,False,False
aadA,aadA,acquired_hgt,0.5846505704582744,1.1491900087240784e-16,0.46704548238623306,1.7237850130861175e-16,1,446,True,True,False,False
armA,armA,acquired_hgt,0.5447852672949977,1.1491900087240784e-16,0.431673283506318,0.0,1,218,True,True,False,False
aadA2,aadA2,acquired_hgt,0.5260235814858625,0.0,0.3934649419697187,1.1491900087240784e-16,1,981,True,True,False,False
aadA16,aadA16,acquired_hgt,0.5228445644293507,2.298380017448157e-16,0.3962622992464634,5.745950043620392e-17,1,269,True,True,False,False
aph(4)-Ia,aph(4)-Ia,acquired_hgt,0.5194986072423398,1.1491900087240784e-16,0.40485087302126493,1.1491900087240784e-16,1,76,True,True,False,False
aac(3)-IV,aac(3)-IV,acquired_hgt,0.5194986072423398,1.1491900087240784e-16,0.40485087302126493,1.1491900087240784e-16,1,76,True,True,False,False
aac(6')-Ib'.v1,aac(6')-Ib'.v1,acquired_hgt,0.5191074903651697,1.1491900087240784e-16,0.38995084427647486,1.1491900087240784e-16,1,613,True,True,False,False
aph3-Ia.v1,aph3-Ia.v1,acquired_hgt,0.518673446025871,0.0,0.38973814251735567,5.745950043620392e-17,1,646,True,True,False,False
ant(2'')-Ia,ant(2'')-Ia,acquired_hgt,0.5183228717518221,0.0,0.3996121546537009,1.1491900087240784e-16,1,71,True,True,False,False
aac(6')-Ib,aac(6')-Ib,acquired_hgt,0.5125348189415043,1.1491900087240784e-16,0.39622552335490646,1.1491900087240784e-16,1,38,True,True,False,False
rmtF,rmtF,acquired_hgt,0.5125348189415043,1.1491900087240784e-16,0.39622552335490646,1.1491900087240784e-16,1,47,True,True,False,False
aac(6')-Ib'.v2,aac(6')-Ib'.v2,acquired_hgt,0.5113590834509864,1.1491900087240784e-16,0.3915224810104838,5.745950043620392e-17,1,55,True,True,False,False
aac(6')-Ib3,aac(6')-Ib3,acquired_hgt,0.5073978326401345,1.1491900087240784e-16,0.3861976682017031,1.1491900087240784e-16,1,67,True,True,False,False
aac(6')-Ib-cr5,aac(6')-Ib-cr5,acquired_hgt,0.5055710306406686,0.0,0.387600173688548,5.745950043620392e-17,1,19,True,True,False,False
aph(3')-VI,aph(3')-VI,acquired_hgt,0.5051489105964055,0.0,0.3841011962257203,0.0,1,116,True,True,False,False
aadA24,aadA24,acquired_hgt,0.5027855153203342,0.0,0.3841500338220047,0.0,1,29,True,True,False,False
aac(6')-Ib-cr.v1,aac(6')-Ib-cr.v1,acquired_hgt,0.501497691456481,0.007594681840293267,0.3823084709120756,0.002479349770623676,1,79,True,True,False,False
aadA22,aadA22,acquired_hgt,0.5013927576601669,2.298380017448157e-16,0.3824249638887329,5.745950043620392e-17,1,14,True,True,False,False
rmtB,rmtB,acquired_hgt,0.5005668014906958,0.0016594248483523082,0.3809913933582837,0.0007495376213457354,1,100,True,True,False,False
aadA5,aadA5,acquired_hgt,0.5002170221696493,0.0,0.38080741543760344,1.1491900087240784e-16,1,32,True,True,False,False
aac(6')-Ib-cr7,aac(6')-Ib-cr7,acquired_hgt,0.5,0.0,0.38069989395546133,5.745950043620392e-17,1,10,True,True,False,False
sat-2,sat-2,acquired_hgt,0.4991438356164384,0.0,0.38069989395546133,5.745950043620392e-17,1,27,True,True,False,False
aph(3')-Ia,aph(3')-Ia,acquired_hgt,0.4976485290189644,5.745950043620392e-17,0.3799717608415032,5.745950043620392e-17,1,47,True,True,False,False
