gene_name,site,category,mut_auroc,mut_auroc_sd,mut_auprc,mut_auprc_sd,n_determinants,n_genomes_with_determinant,embeddable,is_causal,is_rrna,is_noncoding
__ALL_CARD__,__ALL_CARD__,all,0.6740085310029131,0.0106773116152906,0.8614360161104769,0.005099907922473371,19,2133,False,False,False,False
qnrB1.v2,qnrB1.v2,acquired_hgt,0.6286828963795259,2.298380017448157e-16,0.8421615134424181,2.298380017448157e-16,1,294,True,True,False,False
aac(6')-Ib-cr.v2,aac(6')-Ib-cr.v2,acquired_hgt,0.5654806491885144,0.0,0.8200340272702694,0.0,1,500,True,True,False,False
qnrS1,qnrS1,acquired_hgt,0.5231897627965044,1.1491900087240784e-16,0.8057531970061163,2.298380017448157e-16,1,175,True,True,False,False
qnrB17,qnrB17,acquired_hgt,0.5207553058676656,1.1491900087240784e-16,0.804949809852713,2.298380017448157e-16,1,49,True,True,False,False
GyrA,GyrA,chromosomal_mutation,0.514107365792759,1.1491900087240784e-16,0.8035202633479451,0.0,1,2133,False,True,False,True
ParC,ParC,chromosomal_mutation,0.5113607990012488,2.298380017448157e-16,0.8022819009869946,3.447570026172235e-16,1,2118,False,True,False,True
qnrB1.v1,qnrB1.v1,acquired_hgt,0.5014044943820225,0.007122086416251561,0.799004476078737,0.0025810800959417553,1,24,True,True,False,False
qnrB4,qnrB4,acquired_hgt,0.4958489388264669,5.745950043620392e-17,0.7973686199425605,1.1491900087240784e-16,1,10,True,True,False,False
aac(6')-Ib-cr.v1,aac(6')-Ib-cr.v1,acquired_hgt,0.4902933832709114,0.0,0.7969004551485528,2.298380017448157e-16,1,12,True,True,False,False
