gene,source,n_carriers,esm_lr_auroc,ft_lr_auroc,is_causal,delta_ft_minus_esm
ParC,chromosomal,406,0.9537383177570096,0.9498269297334718,True,-0.003911388023537743
GyrA,chromosomal,411,0.9523883696780892,0.9582554517133955,True,0.005867082035306392
gspL,bakta_nonamr,408,0.9232794103570404,0.9308892505025368,False,0.0076098401454963716
comEC,bakta_nonamr,407,0.9219233591780734,0.9427427331610352,False,0.020819373982961742
lpoA,bakta_nonamr,411,0.9184933473724514,0.9290705465683928,False,0.010577199195941467
cpdB,bakta_nonamr,410,0.9175680418620976,0.9409080756836096,False,0.023340033821511952
polB,bakta_nonamr,408,0.9167225040681536,0.929836316645927,False,0.013113812577773443
csiR,bakta_nonamr,410,0.9158929198174918,0.9539580740882552,False,0.0380651542707634
mhpA,bakta_nonamr,408,0.9120959765163844,0.9569094795954182,False,0.044813503079033756
gatC,bakta_nonamr,409,0.9042308796783766,0.9318783701860184,False,0.027647490507641814
gspK,bakta_nonamr,411,0.9033693883411504,0.9284962190102422,False,0.025126830669091715
pqqF,bakta_nonamr,406,0.9021888261382852,0.9413707284387862,False,0.039181902300501004
selO,bakta_nonamr,411,0.9020292907054658,0.9511821575571934,False,0.049152866851727595
paaH,bakta_nonamr,411,0.8999872371653744,0.9360581985258928,False,0.03607096136051835
sbcC,bakta_nonamr,365,0.8994448166937876,0.8960626655180116,False,-0.0033821511757760048
bcsO,bakta_nonamr,408,0.8972910883507228,0.9254650457866692,False,0.028173957435946417
hofC,bakta_nonamr,410,0.8969241568552376,0.9286876615296258,False,0.031763504674388154
OmpK36,chromosomal,407,0.8609553478712357,0.9531671858774664,False,0.09221183800623067
OmpK35,chromosomal,403,0.8535652474904812,0.9419349255797856,False,0.0883696780893044
PmrB,chromosomal,411,0.8428175839390794,0.9475250951886464,False,0.10470751124956701
SHV-OKP-LEN,acquired,373,0.8052959501557633,0.9445829006576668,False,0.13928695050190354
Dfr,acquired,175,0.7088092765662859,0.7334198684665973,False,0.02461059190031145
Cat,acquired,148,0.6726375908618899,0.6868812737971617,False,0.014243682935271784
MphA,acquired,151,0.6625822083766009,0.7257528556593977,False,0.06317064728279687
Sul,acquired,232,0.6525614399446175,0.8055209415022501,False,0.1529595015576326
Mrx,acquired,146,0.6482000692281065,0.7229837313949463,False,0.07478366216683985
ANT(3''),acquired,162,0.6361024575977847,0.727258566978193,False,0.0911561093804083
AAC(6'),acquired,214,0.6327275874004845,0.7904465212876428,False,0.1577189338871583
KPC,acquired,138,0.6289546555901696,0.6772412599515404,False,0.04828660436137078
StrB,acquired,119,0.6061266874350987,0.648840429214261,False,0.04271374177916232
StrA,acquired,116,0.6028729664243683,0.6683281412253375,False,0.06545517480096918
OXA,acquired,194,0.5941675320179993,0.771270335756317,False,0.17710280373831766
APH(3'),acquired,114,0.5871928002769125,0.6508480443059883,False,0.06365524402907585
CTX-M,acquired,229,0.571754932502596,0.7880408445829008,False,0.2162859120803048
QnrB,acquired,69,0.5683281412253375,0.6098823122187608,True,0.04155417099342329
AAC(3),acquired,131,0.5425060574593285,0.6894946348217377,False,0.14698857736240922
TetA,acquired,88,0.5351678781585323,0.5897196261682243,False,0.05455174800969198
APH(4),acquired,18,0.5235548632744893,0.5256836275527864,False,0.002128764278297113
TEM,acquired,158,0.5204395984769816,0.7578054690204223,False,0.23736587054344072
RmtF,acquired,8,0.5074766355140187,0.5105919003115265,False,0.0031152647975077885
Arr,acquired,41,0.5048286604361371,0.5082727587400484,False,0.003444098303911347
CmlA,acquired,33,0.5008480443059882,0.519055036344756,False,0.018206992038767855
MsrE,acquired,25,0.4997403946002077,0.5005884389061959,False,0.0008480443059881715
MphE,acquired,25,0.4992731048805815,0.4964001384562132,False,-0.002872966424368295
NDM,acquired,28,0.4974731741086882,0.5052613361024576,False,0.007788161993769416
ArmA,acquired,23,0.4974039460020768,0.4954655590169609,False,-0.0019383869851159474
ANT(2''),acquired,11,0.4788508134302526,0.4925060574593284,False,0.013655244029075808
TetD,acquired,42,0.4655590169608861,0.5324506749740394,False,0.06689165801315333
QnrS,acquired,32,0.4525441329179647,0.5211318795430945,True,0.06858774662512979
