gene_name,site,category,mut_auroc,mut_auroc_sd,mut_auprc,mut_auprc_sd,n_determinants,n_genomes_with_determinant,embeddable,is_causal,is_rrna,is_noncoding
__ALL_CARD__,__ALL_CARD__,all,0.9039814539814538,0.0024326863711143774,0.9288707002779067,0.0018051789708579003,191,3053,False,False,False,False
KPC-2,KPC-2,acquired_hgt,0.6493366993366994,1.1491900087240784e-16,0.7172340280459472,0.0,1,549,True,True,False,False
OXA-9.v1,OXA-9.v1,acquired_hgt,0.6467577467577466,2.298380017448157e-16,0.7134477338134085,1.1491900087240784e-16,1,611,True,True,False,False
CTX-M-15,CTX-M-15,acquired_hgt,0.591080091080091,1.1491900087240784e-16,0.6522708803598475,1.1491900087240784e-16,1,1384,True,True,False,False
SHV-28,SHV-28,acquired_hgt,0.5863528363528363,0.0,0.6565927553541633,2.298380017448157e-16,1,683,True,True,False,False
TEM-150,TEM-150,acquired_hgt,0.5627908127908128,0.0,0.6476433171348427,1.1491900087240784e-16,1,250,True,True,False,False
SHV-12,SHV-12,acquired_hgt,0.5621423621423621,0.0,0.6464579969442431,1.1491900087240784e-16,1,281,True,True,False,False
SHV-11,SHV-11,acquired_hgt,0.5570438570438572,1.1491900087240784e-16,0.6454853957197989,0.0,1,282,True,True,False,False
TEM-122,TEM-122,acquired_hgt,0.5416592416592414,2.298380017448157e-16,0.6332248542418034,0.0,1,210,True,True,False,False
NDM-1,NDM-1,acquired_hgt,0.5397435897435897,0.0,0.6326458851882583,1.1491900087240784e-16,1,185,True,True,False,False
OXA-48,OXA-48,acquired_hgt,0.5358974358974359,0.0,0.62957607364387,2.298380017448157e-16,1,148,True,True,False,False
OXA-1,OXA-1,acquired_hgt,0.5342886842886844,0.0,0.6195024695705135,1.1491900087240784e-16,1,669,True,True,False,False
SHV-79,SHV-79,acquired_hgt,0.5335263835263835,1.1491900087240784e-16,0.6174625106300572,0.0,1,178,True,True,False,False
SHV-1,SHV-1,acquired_hgt,0.5322443322443321,1.1491900087240784e-16,0.6168139542774258,1.1491900087240784e-16,1,205,True,True,False,False
SHV-229,SHV-229,acquired_hgt,0.528972378972379,1.1491900087240784e-16,0.6151520302068658,1.1491900087240784e-16,1,83,True,True,False,False
KPC-3,KPC-3,acquired_hgt,0.5230769230769231,0.0,0.6193433684959111,2.298380017448157e-16,1,126,True,True,False,False
SHV-155,SHV-155,acquired_hgt,0.521146421146421,2.298380017448157e-16,0.6169142186983402,1.1491900087240784e-16,1,102,True,True,False,False
SHV-67,SHV-67,acquired_hgt,0.515988515988516,0.0,0.6111334992690924,0.0,1,128,True,True,False,False
SHV-27,SHV-27,acquired_hgt,0.5154588654588654,1.1491900087240784e-16,0.608432365523827,1.1491900087240784e-16,1,68,True,True,False,False
SHV-187,SHV-187,acquired_hgt,0.5148104148104149,1.1491900087240784e-16,0.6081134139579494,1.1491900087240784e-16,1,47,True,True,False,False
SHV-36,SHV-36,acquired_hgt,0.5096673596673595,1.1491900087240784e-16,0.6055975774046912,0.0,1,41,True,True,False,False
SHV-189,SHV-189,acquired_hgt,0.5096525096525096,0.0,0.6055900621118012,0.0,1,20,True,True,False,False
SHV-120,SHV-120,acquired_hgt,0.5096079596079595,1.1491900087240784e-16,0.607826241555055,1.1491900087240784e-16,1,41,True,True,False,False
OXA-181,OXA-181,acquired_hgt,0.5089743589743589,0.0,0.6080873928331556,0.0,1,22,True,True,False,False
NDM-5,NDM-5,acquired_hgt,0.5089743589743589,0.0,0.6080873928331556,0.0,1,21,True,True,False,False
OXA-10,OXA-10,acquired_hgt,0.5089743589743589,0.0,0.6080873928331556,0.0,1,29,True,True,False,False
SHV-111,SHV-111,acquired_hgt,0.5083704583704584,0.0,0.6049662816644918,0.0,1,39,True,True,False,False
SHV-110,SHV-110,acquired_hgt,0.5077220077220075,2.298380017448157e-16,0.6046511627906976,0.0,1,18,True,True,False,False
TEM-104,TEM-104,acquired_hgt,0.5076923076923077,0.0,0.6070641223183595,2.298380017448157e-16,1,23,True,True,False,False
SHV-26,SHV-26,acquired_hgt,0.5070884070884071,0.0,0.6043437457345265,0.0,1,34,True,True,False,False
VEB-5,VEB-5,acquired_hgt,0.5064102564102564,0.0,0.6060408518035636,1.1491900087240784e-16,1,37,True,True,False,False
OXA-2,OXA-2,acquired_hgt,0.5064102564102564,0.0,0.6060408518035636,1.1491900087240784e-16,1,22,True,True,False,False
OmpK35,OmpK35,porin_truncation,0.5062766062766063,0.0,0.6041306941645923,1.1491900087240784e-16,1,3029,False,True,False,True
SHV-215,SHV-215,acquired_hgt,0.505836055836056,1.1491900087240784e-16,0.6037370483608632,0.0,1,63,True,True,False,False
SHV-13,SHV-13,acquired_hgt,0.5058063558063558,0.0,0.6037224601464801,2.298380017448157e-16,1,51,True,True,False,False
OKP-B-1,OKP-B-1,acquired_hgt,0.5057915057915058,0.0,0.6037151702786379,1.1491900087240784e-16,1,14,True,True,False,False
LEN-58,LEN-58,acquired_hgt,0.5057915057915058,0.0,0.6037151702786379,1.1491900087240784e-16,1,16,True,True,False,False
SCO-1,SCO-1,acquired_hgt,0.5051282051282051,0.0,0.6050175812887677,0.0,1,20,True,True,False,False
SHV-99,SHV-99,acquired_hgt,0.5045243045243045,0.0,0.6031024307613289,2.298380017448157e-16,1,58,True,True,False,False
SHV-172,SHV-172,acquired_hgt,0.5045243045243045,0.0,0.6031024307613289,2.298380017448157e-16,1,41,True,True,False,False
LEN-16,LEN-16,acquired_hgt,0.5045094545094545,0.0,0.6030951949990185,1.1491900087240784e-16,1,17,True,True,False,False
SHV-223,SHV-223,acquired_hgt,0.5045094545094545,0.0,0.6030951949990185,1.1491900087240784e-16,1,15,True,True,False,False
SHV-33,SHV-33,acquired_hgt,0.5038758538758541,2.298380017448157e-16,0.6027892826324633,0.0,1,44,True,True,False,False
SHV-173,SHV-173,acquired_hgt,0.5038610038610037,1.1491900087240784e-16,0.6027820710973726,1.1491900087240784e-16,1,10,True,True,False,False
SHV-52,SHV-52,acquired_hgt,0.5038610038610037,1.1491900087240784e-16,0.6027820710973726,1.1491900087240784e-16,1,10,True,True,False,False
OXA-232,OXA-232,acquired_hgt,0.5038461538461538,0.0,0.6039943107739719,1.1491900087240784e-16,1,19,True,True,False,False
CARB-2.v1,CARB-2.v1,acquired_hgt,0.5038461538461538,0.0,0.6039943107739719,1.1491900087240784e-16,1,14,True,True,False,False
DHA-1,DHA-1,acquired_hgt,0.5038461538461538,0.0,0.6039943107739719,1.1491900087240784e-16,1,16,True,True,False,False
SHV-212,SHV-212,acquired_hgt,0.5038461538461538,0.005308196610325782,0.6044058434810092,0.0033847887978986934,1,26,True,True,False,False
SHV-76,SHV-76,acquired_hgt,0.5027970827970828,0.0016666238601638346,0.6023043151886188,0.0006667611956941253,1,17,True,True,False,False
TEM-1,TEM-1,acquired_hgt,0.5025641025641026,0.0,0.6029710402591758,1.1491900087240784e-16,1,17,True,True,False,False
SHV-75,SHV-75,acquired_hgt,0.5025492525492526,1.1491900087240784e-16,0.60237784814056,1.1491900087240784e-16,1,29,True,True,False,False
CTX-M-3,CTX-M-3,acquired_hgt,0.501930501930502,1.1491900087240784e-16,0.6018518518518519,0.0,1,10,True,True,False,False
CMY-4.v1,CMY-4.v1,acquired_hgt,0.5012820512820513,0.0,0.6019477697443799,0.0,1,10,True,True,False,False
TEM-79,TEM-79,acquired_hgt,0.5012820512820513,0.0,0.6019477697443799,0.0,1,11,True,True,False,False
TEM-105,TEM-105,acquired_hgt,0.5001732501732502,0.0,0.6010076421468825,1.1491900087240784e-16,1,769,True,True,False,False
SHV-185,SHV-185,acquired_hgt,0.50001287001287,7.66851469400845e-06,0.6009306728643502,3.6752308364334298e-06,1,29,True,True,False,False
SHV-208,SHV-208,acquired_hgt,0.5,0.0,0.6009244992295841,1.1491900087240784e-16,1,10,True,True,False,False
SHV-40,SHV-40,acquired_hgt,0.5,0.0,0.6009244992295841,1.1491900087240784e-16,1,10,True,True,False,False
CMY-2.v2,CMY-2.v2,acquired_hgt,0.49995775995776,0.0006543799205551203,0.6009198370346506,0.0003309478939456025,1,15,True,True,False,False
SHV-101,SHV-101,acquired_hgt,0.4996993696993697,0.004657344590825926,0.6014575938375702,0.0015856005065047279,1,14,True,True,False,False
