gene_name,site,category,mut_auroc,mut_auroc_sd,mut_auprc,mut_auprc_sd,n_determinants,n_genomes_with_determinant,embeddable,is_causal,is_rrna,is_noncoding
__ALL_CARD__,__ALL_CARD__,all,0.9141570123519126,0.001044973520636302,0.9291094564033828,0.0015011462855334654,52,1861,False,False,False,False
aac(6')-Ib-cr.v2,aac(6')-Ib-cr.v2,acquired_hgt,0.6653272181547868,1.1491900087240784e-16,0.7001095023205508,0.0,1,618,True,True,False,False
aac(6')-Ib'.v1,aac(6')-Ib'.v1,acquired_hgt,0.6487909899295913,0.0,0.6924193919992236,2.298380017448157e-16,1,475,True,True,False,False
aadA2,aadA2,acquired_hgt,0.6461120929058317,1.1491900087240784e-16,0.6748181486033148,1.1491900087240784e-16,1,668,True,True,False,False
aac(3)-IIa.v1,aac(3)-IIa.v1,acquired_hgt,0.5953392802042133,0.0,0.6296885929775583,1.1491900087240784e-16,1,692,True,True,False,False
aadA,aadA,acquired_hgt,0.5850654997335129,0.0,0.6375230112589462,1.1491900087240784e-16,1,261,True,True,False,False
aph3-Ia.v1,aph3-Ia.v1,acquired_hgt,0.5848481023310612,0.0,0.6294449043475481,2.298380017448157e-16,1,408,True,True,False,False
strB.v1,strB.v1,acquired_hgt,0.5602751830345873,0.0,0.6019712277147835,0.0,1,891,True,True,False,False
strA.v1,strA.v1,acquired_hgt,0.5553732222502735,0.0,0.5989042889883225,1.1491900087240784e-16,1,883,True,True,False,False
aac(3)-IId,aac(3)-IId,acquired_hgt,0.5316558669247387,2.298380017448157e-16,0.5928058091923638,1.1491900087240784e-16,1,104,True,True,False,False
aph(4)-Ia,aph(4)-Ia,acquired_hgt,0.5294117647058824,0.0,0.5931463494488706,1.1491900087240784e-16,1,75,True,True,False,False
aac(3)-IV,aac(3)-IV,acquired_hgt,0.5294117647058824,0.0,0.5931463494488706,1.1491900087240784e-16,1,75,True,True,False,False
armA,armA,acquired_hgt,0.5223638811747876,1.1491900087240784e-16,0.5858445650987666,1.1491900087240784e-16,1,116,True,True,False,False
aac(6')-Ib'.v2,aac(6')-Ib'.v2,acquired_hgt,0.5163398692810458,0.0,0.5818448591557834,1.1491900087240784e-16,1,44,True,True,False,False
aac(6')-Ib3,aac(6')-Ib3,acquired_hgt,0.5158279334623693,0.0,0.5802619027408943,0.0,1,66,True,True,False,False
aph(3')-VI,aph(3')-VI,acquired_hgt,0.509390165222026,0.0,0.5736714887975392,0.0,1,65,True,True,False,False
ant(2'')-Ia,ant(2'')-Ia,acquired_hgt,0.5087800499312742,1.1491900087240784e-16,0.5737907284125772,0.0,1,51,True,True,False,False
aadA24,aadA24,acquired_hgt,0.5065359477124183,0.0,0.5733687414359683,0.0,1,18,True,True,False,False
aac(6')-Ib,aac(6')-Ib,acquired_hgt,0.5065359477124183,0.0,0.5733687414359683,0.0,1,27,True,True,False,False
aac(6')-Ib-cr.v1,aac(6')-Ib-cr.v1,acquired_hgt,0.5065359477124183,0.0,0.5733687414359683,0.0,1,19,True,True,False,False
rmtF,rmtF,acquired_hgt,0.5049019607843137,0.0,0.5719560551493325,0.0,1,31,True,True,False,False
aac(6')-Ib-cr5,aac(6')-Ib-cr5,acquired_hgt,0.5049019607843137,0.0,0.5719560551493325,0.0,1,13,True,True,False,False
sat-2,sat-2,acquired_hgt,0.5049019607843137,0.0,0.5719560551493325,0.0,1,25,True,True,False,False
aadA16,aadA16,acquired_hgt,0.5044882044377121,1.1491900087240784e-16,0.5703048896326208,1.1491900087240784e-16,1,37,True,True,False,False
rmtB,rmtB,acquired_hgt,0.5032679738562091,0.0,0.5705433688626965,1.1491900087240784e-16,1,10,True,True,False,False
aph(3')-Ia,aph(3')-Ia,acquired_hgt,0.5007756178293922,0.0039331002513243495,0.5683961303819772,0.002176394660741731,1,12,True,True,False,False
aadA5,aadA5,acquired_hgt,0.5006101152907514,1.1491900087240784e-16,0.5680344865218815,0.0,1,20,True,True,False,False
