gene_name,site,category,mut_auroc,mut_auroc_sd,mut_auprc,mut_auprc_sd,n_determinants,n_genomes_with_determinant,embeddable,is_causal,is_rrna,is_noncoding
__ALL_CARD__,__ALL_CARD__,all,0.9081157021702337,0.0014074035657640864,0.919449307498334,0.0028758853476232808,16,1861,False,False,False,False
AAC(6'),AAC(6'),acquired_hgt,0.8707958147493621,2.298380017448157e-16,0.8720787690149756,2.298380017448157e-16,1,1276,True,True,False,False
ANT(3''),ANT(3''),acquired_hgt,0.6839883306684622,1.1491900087240784e-16,0.7005674064497592,1.1491900087240784e-16,1,879,True,True,False,False
AAC(3),AAC(3),acquired_hgt,0.6547729249067297,1.1491900087240784e-16,0.6744661773459808,1.1491900087240784e-16,1,868,True,True,False,False
APH(3'),APH(3'),acquired_hgt,0.5948483828438386,0.0,0.6344455191464585,1.1491900087240784e-16,1,482,True,True,False,False
StrB,StrB,acquired_hgt,0.5602751830345873,0.0,0.6019712277147835,0.0,1,891,True,True,False,False
StrA,StrA,acquired_hgt,0.5553732222502735,0.0,0.5989042889883225,1.1491900087240784e-16,1,883,True,True,False,False
APH(4),APH(4),acquired_hgt,0.5294117647058824,0.0,0.5931463494488706,1.1491900087240784e-16,1,75,True,True,False,False
ArmA,ArmA,acquired_hgt,0.5223638811747876,1.1491900087240784e-16,0.5858445650987666,1.1491900087240784e-16,1,116,True,True,False,False
ANT(2''),ANT(2''),acquired_hgt,0.5087800499312742,1.1491900087240784e-16,0.5737907284125772,0.0,1,51,True,True,False,False
RmtF,RmtF,acquired_hgt,0.5049019607843137,0.0,0.5719560551493325,0.0,1,31,True,True,False,False
SAT,SAT,acquired_hgt,0.5049019607843137,0.0,0.5719560551493325,0.0,1,25,True,True,False,False
RmtB,RmtB,acquired_hgt,0.5032679738562091,0.0,0.5705433688626965,1.1491900087240784e-16,1,10,True,True,False,False
