gene_name,site,category,mut_auroc,mut_auroc_sd,mut_auprc,mut_auprc_sd,n_determinants,n_genomes_with_determinant,embeddable,is_causal,is_rrna,is_noncoding
__ALL_CARD__,__ALL_CARD__,all,0.9160507022953065,0.0004957338951096882,0.9405427533942837,0.000725757393649044,29,2624,False,False,False,False
sul2,sul2,acquired_hgt,0.7105858170606373,1.1491900087240784e-16,0.7937761964063337,2.298380017448157e-16,1,1360,True,True,False,False
sul1,sul1,acquired_hgt,0.706992120589243,1.1491900087240784e-16,0.7862938355951068,1.1491900087240784e-16,1,1423,True,True,False,False
dfrA14.v1,dfrA14.v1,acquired_hgt,0.7042377526550185,2.298380017448157e-16,0.7879179738866624,2.298380017448157e-16,1,1316,True,True,False,False
dfrA12,dfrA12,acquired_hgt,0.6478314491264131,1.1491900087240784e-16,0.754885726882664,1.1491900087240784e-16,1,822,True,True,False,False
dfrA1.v1,dfrA1.v1,acquired_hgt,0.518201438848921,1.1491900087240784e-16,0.6658281444582813,1.1491900087240784e-16,1,88,True,True,False,False
dfrA5,dfrA5,acquired_hgt,0.5173552586502226,1.1491900087240784e-16,0.6648136946767084,0.0,1,96,True,True,False,False
sul3,sul3,acquired_hgt,0.5125933538883178,1.1491900087240784e-16,0.6616000774039706,0.0,1,80,True,True,False,False
dfrA15.v1,dfrA15.v1,acquired_hgt,0.5076190476190475,1.1491900087240784e-16,0.6590737116764516,2.298380017448157e-16,1,30,True,True,False,False
dfr22,dfr22,acquired_hgt,0.5057142857142856,1.1491900087240784e-16,0.657754847891834,1.1491900087240784e-16,1,35,True,True,False,False
dfrA1.v2,dfrA1.v2,acquired_hgt,0.5047619047619047,0.0,0.6570954159995253,2.298380017448157e-16,1,37,True,True,False,False
dfrA27,dfrA27,acquired_hgt,0.5039157245632067,1.1491900087240784e-16,0.6561221948306096,0.0,1,54,True,True,False,False
dfrA17,dfrA17,acquired_hgt,0.501904761904762,1.1491900087240784e-16,0.6551171203225998,1.1491900087240784e-16,1,23,True,True,False,False
dfrA30,dfrA30,acquired_hgt,0.501904761904762,1.1491900087240784e-16,0.6551171203225998,1.1491900087240784e-16,1,18,True,True,False,False
dfrA19,dfrA19,acquired_hgt,0.501904761904762,1.1491900087240784e-16,0.6551171203225998,1.1491900087240784e-16,1,17,True,True,False,False
dfrA8,dfrA8,acquired_hgt,0.501904761904762,1.1491900087240784e-16,0.6551171203225998,1.1491900087240784e-16,1,11,True,True,False,False
dfrA7,dfrA7,acquired_hgt,0.5009523809523808,1.1491900087240784e-16,0.6544576884302912,1.1491900087240784e-16,1,11,True,True,False,False
