drug,gene_name,mechanism,esm_lr_auroc,rank,total_genes,percentile,imputed_esm_lr_auroc,imputed_rank,imputed_total_genes,onehot_determinant,onehot_auroc,esm_minus_onehot,imputed_minus_onehot,prevalence,n_pos
amikacin,aac(6')-Ib,acquired,0.7403359241594536,488,2824,82.75495750708215,0.7819208885989708,185,2824,AGly (acquired),0.9570812419877016,-0.21674531782824802,-0.17516035338873082,0.486,306
amikacin,aph(6)-Id,acquired,0.5773724307188873,1616,2824,42.81161473087819,0.5113511995361311,2559,2824,AGly (acquired),0.9570812419877016,-0.3797088112688143,-0.44573004245157055,0.3715,127
amikacin,aph(3'')-Ib,acquired,0.5517097848360656,1836,2824,35.021246458923514,0.5051596361527869,2662,2824,AGly (acquired),0.9570812419877016,-0.405371457151636,-0.4519216058349147,0.369,128
amikacin,aph(3')-Ia,acquired,0.5294092665732365,2109,2824,25.35410764872521,0.625835326520258,1243,2824,AGly (acquired),0.9570812419877016,-0.4276719754144651,-0.33124591546744364,0.154,141
amikacin,aadA2,acquired,0.5142015732165691,2410,2824,14.69546742209632,0.6841387620497209,737,2824,AGly (acquired),0.9570812419877016,-0.4428796687711325,-0.2729424799379807,0.2295,197
amikacin,aac(3)-IIe,acquired,0.5086290883785665,2526,2824,10.587818696883854,0.5817967674132057,1634,2824,AGly (acquired),0.9570812419877016,-0.44845215360913515,-0.3752844745744959,0.262,45
ampicillin-sulbactam,ampC,mutation,0.8940294649780305,11,2780,99.64028776978418,0.6907112974388723,812,2795,Omp (mutations),0.8272105520273569,0.06681891295067355,-0.13649925458848466,0.3381542699724518,438
ampicillin-sulbactam,ompK36,mutation,0.7799851841874874,399,2780,85.68345323741006,0.6324091652164743,1293,2795,Omp (mutations),0.8272105520273569,-0.047225367839869525,-0.19480138681088266,0.3725895316804408,479
ampicillin-sulbactam,ampH,mutation,0.7314539007092199,635,2780,77.19424460431654,0.731855015908172,542,2795,Omp (mutations),0.8272105520273569,-0.09575665131813704,-0.0953555361191849,0.955922865013774,1200
ampicillin-sulbactam,ompK37,mutation,0.719758064516129,680,2780,75.57553956834533,0.7189592891420133,602,2795,Omp (mutations),0.8272105520273569,-0.10745248751122793,-0.10825126288534359,0.9462809917355371,1188
ampicillin-sulbactam,ompK35,mutation,0.5705096251987941,1781,2780,35.97122302158273,0.8244146495807625,129,2795,Omp (mutations),0.8272105520273569,-0.2567009268285628,-0.002795902446594445,0.4400826446280991,453
ampicillin-sulbactam,blaSHV-28,acquired,0.5,2567,2780,7.697841726618703,0.6515978484417022,1127,2795,Bla ESBL (acquired),0.9010381045432342,-0.4010381045432342,-0.24944025610153198,0.2926997245179063,420
ampicillin-sulbactam,blaTEM-1,acquired,0.4988929889298893,2585,2780,7.050359712230215,0.7016514616182391,732,2795,Bla ESBL (acquired),0.9010381045432342,-0.4021451156133449,-0.19938664292499508,0.3767217630853994,542
ampicillin-sulbactam,blaSHV-1,acquired,0.4875859434682964,2726,2780,1.9784172661870492,0.5076728365764911,2609,2795,Bla ESBL (acquired),0.9010381045432342,-0.41345216107493776,-0.3933652679667431,0.1294765840220385,154
ampicillin-sulbactam,blaSHV-11,acquired,0.4870045484080572,2730,2780,1.834532374100717,0.5181252087398266,2520,2795,Bla ESBL (acquired),0.9010381045432342,-0.414033556135177,-0.3829128958034076,0.2066115702479339,243
ampicillin-sulbactam,blaCTX-M-15,acquired,0.4326599326599327,2769,2780,0.4316546762589968,0.8035164970380917,224,2795,Bla ESBL (acquired),0.9010381045432342,-0.4683781718833015,-0.0975216075051425,0.5495867768595041,792
azithromycin,msrQ,acquired,0.6584934944851727,426,2782,84.72322070452911,0.6641329664746597,325,2782,MLS (acquired),0.5779532929557484,0.08054020152942432,0.08617967351891131,0.9514955537590946,1030
azithromycin,oqxB,acquired,0.6197706848466067,687,2782,75.34148094895758,0.6201627110592055,651,2782,MLS (acquired),0.5779532929557484,0.04181739189085831,0.04220941810345713,0.406628940986257,461
azithromycin,msrP,acquired,0.6071197411003236,772,2782,72.2861250898634,0.6076789590715044,738,2782,MLS (acquired),0.5779532929557484,0.029166448144575252,0.029725666115756,0.9514955537590946,1030
azithromycin,msrA,acquired,0.5279240400969856,1404,2782,49.568655643422,0.5095442638743178,1858,2782,MLS (acquired),0.5779532929557484,-0.05002925285876281,-0.06840902908143054,0.8310428455941795,906
azithromycin,msrB,acquired,0.5158777310115725,1601,2782,42.48741912293315,0.542284421042908,1303,2782,MLS (acquired),0.5779532929557484,-0.06207556194417585,-0.035668871912840405,0.8633791430881164,941
azithromycin,mph(A),acquired,0.4687414687414687,2695,2782,3.163191948238675,0.5621020474145042,1096,2782,MLS (acquired),0.5779532929557484,-0.10921182421427966,-0.015851245541244174,0.2869846402586903,333
aztreonam,ampC,mutation,0.7920043830660591,12,2813,99.60895840739424,0.6470974825721882,656,2813,Omp (mutations),0.7862793209876543,0.005725062078404841,-0.13918183841546605,0.3742362525458248,646
aztreonam,ampH,mutation,0.6811597543474253,464,2813,83.5407038748667,0.6825894621055536,390,2813,Omp (mutations),0.7862793209876543,-0.10511956664022903,-0.1036898588821007,0.9587576374745418,1564
aztreonam,ompK37,mutation,0.6324759845526619,862,2813,69.39210806967651,0.6337419512398517,781,2813,Omp (mutations),0.7862793209876543,-0.15380333643499244,-0.15253736974780263,0.9154786150712833,1485
aztreonam,ompK36,mutation,0.5864130434782608,1334,2813,52.612868823320305,0.5447970709760172,1924,2813,Omp (mutations),0.7862793209876543,-0.19986627750939345,-0.24148225001163715,0.2881873727087576,460
aztreonam,ompK35,mutation,0.5331537364453399,2049,2813,27.195165303945966,0.7221586859102272,184,2813,Omp (mutations),0.7862793209876543,-0.2531255845423144,-0.06412063507742705,0.469959266802444,652
aztreonam,blaSHV-1,acquired,0.5064814814814815,2468,2813,12.300035549235687,0.5318207720059009,2175,2813,Bla ESBL (acquired),0.8071234567901233,-0.3006419753086418,-0.2753026847842224,0.1456211812627291,216
aztreonam,blaKPC-2,acquired,0.4990825688073394,2609,2813,7.28759331674369,0.6003248293950747,1156,2813,Bla ESBL (acquired),0.8071234567901233,-0.3080408879827839,-0.20679862739504862,0.2321792260692464,436
aztreonam,blaSHV-11,acquired,0.4937278816986855,2733,2813,2.879488091006044,0.5047443755472562,2614,2813,Bla ESBL (acquired),0.8071234567901233,-0.31339557509143784,-0.30237908124286716,0.2311608961303462,368
aztreonam,blaCTX-M-15,acquired,0.4884615384615385,2764,2813,1.7774617845716323,0.7103717072802687,251,2813,Bla ESBL (acquired),0.8071234567901233,-0.3186619183285848,-0.09675174950985466,0.5101832993890021,950
aztreonam,blaTEM-1,acquired,0.4881201956673655,2766,2813,1.7063633131887634,0.6385200804528551,739,2813,Bla ESBL (acquired),0.8071234567901233,-0.31900326112275784,-0.16860337633726818,0.3981670061099796,729
aztreonam,blaSHV-28,acquired,0.4875,2768,2813,1.6352648418059057,0.5818437046435116,1386,2813,Bla ESBL (acquired),0.8071234567901233,-0.31962345679012333,-0.22527975214661167,0.2942973523421588,530
aztreonam,blaOXA-1,acquired,0.4730036942313157,2789,2813,0.8887308922858161,0.6036019132371949,1115,2813,Bla ESBL (acquired),0.8071234567901233,-0.3341197625588076,-0.2035215435529284,0.2454175152749491,459
aztreonam,blaOXA-9,acquired,0.3943001443001443,2811,2813,0.10664770707430327,0.5994621254087669,1167,2813,Bla ESBL (acquired),0.8071234567901233,-0.412823312489979,-0.20766133138135645,0.1980651731160896,378
