drug,ceiling,bacformer,gap,regime
aztreonam,0.919465277777778,0.8895,-0.02996527777777802,tie
levofloxacin,0.9770574083291856,0.9489,-0.028157408329185674,tie
ciprofloxacin,0.9910622415806584,0.9817,-0.009362241580658348,tie
meropenem,0.9748806829260024,0.9687,-0.006180682926002379,tie
ceftriaxone,0.9883307895807896,0.9824,-0.0059307895807895195,tie
trimethoprim-sulfamethoxazole,0.9705998746455082,0.9655,-0.005099874645508207,tie
cefoxitin,0.9238331510131792,0.9198,-0.004033151013179248,tie
ampicillin-sulbactam,0.987027764207784,0.9836,-0.003427764207784012,tie
cefazolin,0.9756275503025188,0.9727,-0.0029275503025187888,tie
amikacin,0.9570812419877016,0.9545,-0.002581241987701599,tie
cefuroxime,0.9843434959349594,0.9818,-0.0025434959349593944,tie
ertapenem,0.988882716220846,0.987,-0.0018827162208460146,tie
ceftazidime,0.977734942414724,0.9792,0.0014650575852759307,tie
gentamicin,0.9707954683145522,0.978,0.007204531685447768,tie
cefepime,0.8744229562026172,0.882,0.0075770437973827764,tie
cefotaxime,0.9801546986839066,0.9902,0.01004530131609338,tie
imipenem,0.954703125,0.9726,0.017896875000000034,tie
tobramycin,0.9391291069247092,0.9652,0.026070893075290758,tie
piperacillin-tazobactam,0.9168788264532944,0.9431,0.02622117354670561,tie
tetracycline,0.8284698025551687,0.9139,0.08543019744483138,Bacformer >> catalogue
colistin,0.6489114625943095,0.8072,0.1582885374056905,Bacformer >> catalogue
azithromycin,0.5779532929557484,0.8268,0.2488467070442516,Bacformer >> catalogue
