drug,ft_mean_only_auroc,ft_mean_only_auprc,ft_concat_best_ft_auroc,ft_concat_best_ft_auprc,ft_concat_best_esm_auroc,ft_concat_best_esm_auprc,best_ft_gene,best_esm_gene
amikacin,0.9804574428196476,0.9412554833633472,0.983427071616048,0.9465992817603794,0.9826621672290964,0.9466522572636632,OmpK35,OmpK35
ampicillin-sulbactam,0.9696843853820598,0.9928576263838618,0.9818660022148396,0.9965773819130822,0.9697305278700628,0.9883133319871604,OmpK35,GyrA
azithromycin,0.8215238095238095,0.9547521141990852,0.8535238095238096,0.9683365545520692,0.7980952380952381,0.9517681997262668,OmpK36,OmpK35
aztreonam,0.9265066144047036,0.9739341750806092,0.9447983014861996,0.984775161480846,0.917547420732134,0.970245578818524,ParC,ParC
cefazolin,0.986789006414341,0.9934444761247412,0.9939467312348668,0.9978439064719316,0.9867465273352872,0.992547018751387,OmpK35,GyrA
cefepime,0.952076677316294,0.9723707499624225,0.9442210110881414,0.9584590149517772,0.9475286600263108,0.9690733124526828,OmpK36,OmpK36
cefotaxime,0.9898309981222012,0.9938320318158512,0.994164379604218,0.997380748509074,0.9903221146901632,0.9943488705398518,PmrB,AAC(6')
cefoxitin,0.979147089713117,0.9778834241529089,0.9828644077165442,0.9761247432083052,0.9848681664916256,0.9858750065061552,OmpK35,OmpK36
ceftazidime,0.9920438564508568,0.9960621619628764,0.9971027136830044,0.9987100722390596,0.9903185061721964,0.9959988554520938,OmpK36,GyrA
ceftriaxone,0.9882320133853876,0.995777202530146,0.9893614054657,0.9961772518030848,0.9819297267150028,0.9927229322636366,OmpK35,GyrA
cefuroxime,0.9961877286074906,0.9995904672471964,0.9970635206841482,0.9996865606823616,0.9963422801504302,0.9996089430929448,PmrB,GyrA
ciprofloxacin,0.986743744892068,0.993678552780207,0.9862713783356202,0.99344437142194,0.9881233551521694,0.9941059279195392,GyrA,GyrA
colistin,0.9160975609756096,0.8455501025158625,0.9345644599303136,0.8882665107173362,0.931219512195122,0.8779038527753749,GyrA,OmpK36
ertapenem,0.9930025445292622,0.9932722725538424,0.9959796437659032,0.9973796048508976,0.9932061068702288,0.993443211078125,OmpK36,OmpK36
gentamicin,0.9831572795836456,0.976432364215926,0.9880474573280996,0.98274066687481,0.98117805319102,0.9735269213923436,PmrB,AAC(3)
imipenem,0.9837963893691448,0.9710804823439314,0.987133609424631,0.9862311049026384,0.982931928752362,0.964667248154769,GyrA,KPC
levofloxacin,0.9550017307026653,0.9852879940158688,0.9695050190377292,0.9890977603817392,0.9600899965385948,0.9893654032390576,GyrA,ParC
meropenem,0.9874072003230516,0.9673043451180128,0.9885068182524152,0.9790803719622164,0.9875252384058648,0.9656434143154828,PmrB,KPC
piperacillin-tazobactam,0.963542606968767,0.9833620941253968,0.9723099837515798,0.9862589281066336,0.960563729915147,0.9819188183637472,OmpK36,ParC
tetracycline,0.9319371727748692,0.9288415121035358,0.9469134299281626,0.9487708674348,0.9325764032631194,0.9384129176112812,PmrB,TetA
tobramycin,0.9606247104758124,0.9622141410397296,0.9664151942293694,0.971230282885525,0.9635695850704784,0.9683328489757732,PmrB,AAC(6')
trimethoprim-sulfamethoxazole,0.9789549711097828,0.9832282726489576,0.9803330676761638,0.9854226770536194,0.9775187620375904,0.9825384099687102,PmrB,Sul
