gene_family,amr_source,n_carriers,prevalence,esm_lr_auroc,ft_lr_auroc,delta_ft_minus_esm
GyrA,chromosomal,652,1.0,0.7832245969253843,0.970933633295838,0.18770903637045377
PmrB,chromosomal,652,1.0,0.7172328458942632,0.9776377952755906,0.2604049493813274
OmpK35,chromosomal,643,0.9861963190184049,0.7885114360704912,0.9804349456317961,0.19192350956130488
OmpK36,chromosomal,643,0.9861963190184049,0.776572928383952,0.9637195350581178,0.18714660667416583
ParC,chromosomal,638,0.9785276073619632,0.7287739032620921,0.979482564679415,0.25070866141732284
SHV-OKP-LEN,acquired,620,0.950920245398773,0.6468916385451818,0.9593325834270716,0.3124409448818898
CTX-M,acquired,363,0.5567484662576687,0.48026246719160104,0.8534983127109111,0.3732358455193101
AAC(6'),acquired,349,0.5352760736196319,0.7631796025496814,0.8843869516310461,0.12120734908136466
Sul,acquired,338,0.5184049079754601,0.6172703412073492,0.8289088863892013,0.2116385451818521
TEM,acquired,299,0.45858895705521474,0.5115260592425946,0.8217697787776529,0.31024371953505825
OXA,acquired,264,0.4049079754601227,0.5925159355080614,0.7649418822647169,0.17242594675665557
StrB,acquired,247,0.37883435582822084,0.5313835770528684,0.7614998125234346,0.23011623547056614
StrA,acquired,242,0.37116564417177916,0.5274240719910012,0.7517360329958755,0.22431196100487438
Dfr,acquired,226,0.34662576687116564,0.7078065241844769,0.7928533933258343,0.0850468691413574
ANT(3''),acquired,212,0.32515337423312884,0.6995800524934381,0.7599400074990624,0.0603599550056243
AAC(3),acquired,206,0.3159509202453988,0.5747356580427447,0.6754555680539933,0.10071991001124858
QnrB,acquired,184,0.2822085889570552,0.5372853393325834,0.6900337457817773,0.15274840644919396
Cat,acquired,177,0.2714723926380368,0.7152230971128608,0.750761154855643,0.03553805774278218
MphA,acquired,170,0.2607361963190184,0.6335058117735284,0.6866966629171354,0.053190851143607
Mrx,acquired,169,0.25920245398773006,0.620824896887889,0.6965429321334833,0.07571803524559428
KPC,acquired,164,0.25153374233128833,0.5747506561679788,0.640352455943007,0.06560179977502822
TetA,acquired,162,0.24846625766871167,0.5615298087739032,0.649111361079865,0.08758155230596176
APH(3'),acquired,122,0.18711656441717792,0.5853468316460443,0.6869741282339707,0.10162729658792646
TetD,acquired,93,0.14263803680981596,0.4895988001499813,0.599220097487814,0.10962129733783271
Arr,acquired,85,0.1303680981595092,0.5310611173603299,0.5941357330333709,0.06307461567304096
QnrS,acquired,79,0.12116564417177914,0.5088113985751781,0.5722684664416948,0.06345706786651673
NDM,acquired,74,0.11349693251533742,0.6413498312710911,0.6563479565054368,0.014998125234345627
ArmA,acquired,58,0.08895705521472393,0.6828421447319085,0.6830146231721035,0.0001724784401949675
MphE,acquired,46,0.0705521472392638,0.6269141357330333,0.6256917885264341,-0.0012223472065991947
MsrE,acquired,46,0.0705521472392638,0.6231496062992126,0.6259917510311211,0.00284214473190858
CmlA,acquired,31,0.04754601226993865,0.5032020997375328,0.5295838020247469,0.026381702287214037
FloR,acquired,29,0.04447852760736196,0.4733483314585677,0.4946156730408699,0.0212673415823022
ANT(2''),acquired,21,0.032208588957055216,0.5020472440944882,0.5152905886764154,0.013243344581927219
RmtB,acquired,16,0.024539877300613498,0.5303787026621671,0.518177727784027,-0.012200974878140092
VEB,acquired,15,0.023006134969325152,0.5242219722534683,0.5171203599550056,-0.007101612298462734
APH(4),acquired,13,0.019938650306748466,0.4733408323959505,0.48684664416947876,0.013505811773528276
LAP,acquired,11,0.01687116564417178,0.49923509561304835,0.4852718410198725,-0.013963254593175878
CMY,acquired,10,0.015337423312883436,0.5159955005624297,0.5194150731158605,0.0034195725534308385
Erm,acquired,9,0.013803680981595092,0.5086464191976003,0.508676415448069,2.999625046862242e-05
RmtF,acquired,8,0.012269938650306749,0.5092763404574427,0.5163929508811398,0.007116610423697045
