gene_family,amr_source,n_carriers,prevalence,esm_lr_auroc,esm_lr_auprc,frozen_lr_auroc,frozen_lr_auprc,ft_lr_auroc,ft_lr_auprc,delta_ft_minus_esm
PmrB,chromosomal,407,1.0,0.7330887781469178,0.9294476779394342,0.869139904023625,0.9677920719159896,0.9725913621262458,0.994437367696488,0.239502583979328
GyrA,chromosomal,407,1.0,0.8656792174234033,0.968485324684041,0.8770764119601329,0.9711626534345096,0.9720837947582134,0.9942158239691973,0.10640457733481012
ParC,chromosomal,404,0.9926289926289926,0.8329411221853084,0.9537047389140112,0.860234403839055,0.9638698487062619,0.9598560354374308,0.9899493752668374,0.12691491325212245
OmpK36,chromosomal,403,0.9901719901719902,0.7767165005537098,0.9449246741357128,0.8454226651901071,0.9637750942690924,0.9665005537098561,0.9931666871872451,0.18978405315614633
OmpK35,chromosomal,401,0.9852579852579852,0.846922296050203,0.9671330267378568,0.9358157991878924,0.9881877018864026,0.9853266888150609,0.9974639216487715,0.13840439276485794
SHV-OKP-LEN,acquired,380,0.9336609336609336,0.7177233296419344,0.908224741059049,0.827357881136951,0.9502843713690701,0.9736295681063124,0.9947628673215627,0.255906238464378
CTX-M,acquired,218,0.5356265356265356,0.7823689553340716,0.9476830274568553,0.787329272794389,0.9534964760246093,0.7979881875230712,0.9571034166447048,0.015619232188999632
Sul,acquired,218,0.5356265356265356,0.7294204503506829,0.9319657649973381,0.730827796234773,0.9339377441982822,0.7697028423772609,0.9452315778923422,0.04028239202657802
OXA,acquired,194,0.47665847665847666,0.770279623477298,0.949609849332051,0.7697720561092654,0.9496491426941556,0.7707871908453303,0.9497783405858133,0.0005075673680323689
AAC(6'),acquired,192,0.47174447174447176,0.7622046880767812,0.9479941404996933,0.7616048357327427,0.9480495000560988,0.761327980804725,0.9479941404996932,-0.000876707272056243
TEM,acquired,148,0.36363636363636365,0.6858619416758952,0.9222520938012654,0.6868309339239571,0.9261007590460544,0.6888842746400886,0.9274300574813055,0.0030223329641934082
Dfr,acquired,147,0.36117936117936117,0.6382890365448505,0.9045221015530711,0.6449104835732743,0.9140562788321236,0.6634597637504615,0.9182957958574207,0.025170727205610977
ANT(3''),acquired,143,0.35135135135135137,0.6466177556293836,0.9073290133444258,0.6300526024363233,0.8983173426685978,0.676656515319306,0.9233171114948079,0.030038759689922423
AAC(3),acquired,128,0.3144963144963145,0.6741648209671465,0.9224835283227891,0.674764673311185,0.9222959413619461,0.6738648947951273,0.9224280153602993,-0.0002999261720191271
StrB,acquired,126,0.3095823095823096,0.6222083794758213,0.8922228468245208,0.6494555186415653,0.9124335141878063,0.6609219269102989,0.9186498206140864,0.038713547434477635
MphA,acquired,123,0.3022113022113022,0.6356127722406792,0.9065623129973271,0.6371585455887782,0.9110675739096172,0.6428340716131414,0.9145076458357121,0.0072212993724621866
Cat,acquired,122,0.29975429975429974,0.6580380214101144,0.9138847282978246,0.6588455149501661,0.9155591105206154,0.6597452934662237,0.9134383294952712,0.0017072720561093213
StrA,acquired,122,0.29975429975429974,0.6118032484311555,0.8881136394410375,0.6423495754891103,0.9084707469174327,0.6538390550018457,0.9164703078138824,0.04203580657069017
Mrx,acquired,119,0.29238329238329236,0.6320828719084534,0.9041901746689589,0.6325442967884829,0.9102165300139172,0.6404808047249908,0.9134160332491271,0.008397932816537446
KPC,acquired,111,0.2727272727272727,0.6483711701734958,0.9142174817029652,0.6465254706533776,0.9138755242495349,0.6495247323735696,0.914856515349687,0.0011535622000737877
APH(3'),acquired,102,0.25061425061425063,0.6096114802510151,0.89736380849088,0.6152870062753784,0.9047655785872707,0.617017349575489,0.9052799433623387,0.007405869324473957
TetA,acquired,98,0.24078624078624078,0.5794804355850869,0.878327398536116,0.5910852713178294,0.8875684462432745,0.62093946105574,0.9038434383064633,0.041459025470653166
QnrB,acquired,70,0.171990171990172,0.5539174972314508,0.8724504166281569,0.5464424141749723,0.865454276376961,0.5623154300479882,0.8825730387194098,0.008397932816537446
TetD,acquired,45,0.11056511056511056,0.5263935031376893,0.8569225158236693,0.5303156146179402,0.8690937417295687,0.544296788482835,0.8730207760332027,0.017903285345145736
Arr,acquired,29,0.07125307125307126,0.5281238464378,0.8651011557976032,0.5281238464378,0.8651011557976032,0.5281238464378,0.8651011557976032,0.0
CmlA,acquired,21,0.051597051597051594,0.5019610557401256,0.8545892539809462,0.5012689184200813,0.8511143740252407,0.5017303433001108,0.8538199815636971,-0.00023071244001482416
NDM,acquired,19,0.04668304668304668,0.5116048357327427,0.8570656593331311,0.5116048357327427,0.8570656593331312,0.5113049095607235,0.8569044606227209,-0.0002999261720192381
QnrS,acquired,18,0.044226044226044224,0.4834348468069398,0.837935357971752,0.49990771502399406,0.8516528773530727,0.5007844222960502,0.8529390305646823,0.017349575489110425
MsrE,acquired,16,0.03931203931203931,0.5077519379844961,0.8546509410213025,0.5077519379844961,0.8546509410213025,0.5077519379844961,0.8546509410213025,0.0
MphE,acquired,16,0.03931203931203931,0.506298449612403,0.8546509410213025,0.5077519379844961,0.8546509410213025,0.5077519379844961,0.8546509410213025,0.0014534883720931369
ArmA,acquired,15,0.036855036855036855,0.5092284976005906,0.8525421654766202,0.5092284976005906,0.8548590824251556,0.5092284976005906,0.8548590824251556,0.0
ANT(2''),acquired,10,0.02457002457002457,0.485718899963086,0.8444202387340072,0.4919481358434847,0.8455858917452854,0.48844130675526026,0.8441126385416853,0.002722406792174281
APH(4),acquired,8,0.019656019656019656,0.5011766334440753,0.8494813807425647,0.5011766334440753,0.8494813807425647,0.502422480620155,0.8500160037275794,0.001245847176079784
