gene_family,amr_source,n_carriers,prevalence,esm_lr_auroc,esm_lr_auprc,frozen_lr_auroc,frozen_lr_auprc,ft_lr_auroc,ft_lr_auprc,delta_ft_minus_esm
GyrA,chromosomal,335,1.0,0.6432857142857142,0.9151290635551553,0.7166666666666667,0.9525349382998143,0.8509523809523809,0.9689143166831371,0.20766666666666667
OmpK35,chromosomal,335,1.0,0.6918095238095238,0.9365145414269062,0.6475238095238095,0.9186944786313525,0.8431428571428572,0.9589849254819667,0.15133333333333343
PmrB,chromosomal,335,1.0,0.5551904761904762,0.892303771028805,0.7,0.9421307481977395,0.8107619047619048,0.9428567115189456,0.25557142857142856
OmpK36,chromosomal,331,0.9880597014925373,0.404,0.8792628803911232,0.700952380952381,0.9484593811859956,0.8544761904761905,0.9660696081567333,0.4504761904761905
ParC,chromosomal,330,0.9850746268656716,0.5712857142857144,0.8976132938569804,0.6283809523809523,0.9250972077541779,0.8142857142857143,0.9661735492193636,0.24299999999999988
SHV-OKP-LEN,acquired,301,0.8985074626865671,0.6075714285714285,0.9269915940007597,0.6840952380952381,0.9509006000790717,0.8432380952380951,0.9621240330332057,0.23566666666666658
Sul,acquired,201,0.6,0.5907619047619048,0.914393773942307,0.6620952380952381,0.9411665036322987,0.708952380952381,0.9506586063498595,0.11819047619047618
CTX-M,acquired,175,0.5223880597014925,0.5472857142857143,0.9019391292498032,0.599,0.9332023912351048,0.6190476190476191,0.9400792735244086,0.0717619047619048
AAC(6'),acquired,162,0.4835820895522388,0.5795714285714285,0.9174605746856302,0.5762857142857143,0.8979376539578648,0.617,0.9325518973201017,0.03742857142857148
OXA,acquired,153,0.45671641791044776,0.6039047619047619,0.92305261267567,0.6392857142857142,0.9357690340378315,0.6492857142857142,0.9426315860201515,0.0453809523809523
Dfr,acquired,139,0.41492537313432837,0.527,0.9092574039866992,0.5062380952380953,0.914538923239025,0.5660952380952382,0.9185534070004512,0.03909523809523818
ANT(3''),acquired,136,0.4059701492537313,0.4188095238095238,0.8879711594299079,0.49933333333333335,0.9013080477681144,0.5438095238095239,0.9057549206275796,0.12500000000000006
Cat,acquired,118,0.3522388059701492,0.5920952380952381,0.922554081211871,0.6244761904761905,0.9356491935925082,0.6246666666666668,0.9357559150359557,0.032571428571428696
KPC,acquired,118,0.3522388059701492,0.5907619047619048,0.9265907455965154,0.5985714285714285,0.9309291152129362,0.5950952380952381,0.9274486127785173,0.0043333333333333
MphA,acquired,117,0.3492537313432836,0.5121428571428572,0.8961117940303188,0.4905238095238096,0.9082060482127008,0.582095238095238,0.9230505051218798,0.06995238095238077
AAC(3),acquired,114,0.3402985074626866,0.5258095238095238,0.905183845362675,0.5393333333333333,0.9124701661137526,0.6017619047619047,0.9346403274591746,0.07595238095238088
Mrx,acquired,112,0.33432835820895523,0.5054761904761904,0.8954203334094949,0.46028571428571424,0.8817933407000069,0.545047619047619,0.9118644371407671,0.03957142857142859
TEM,acquired,112,0.33432835820895523,0.5933333333333333,0.9207746321189594,0.578952380952381,0.9144111166653258,0.592047619047619,0.927204426357131,-0.0012857142857142234
APH(3'),acquired,91,0.2716417910447761,0.48166666666666663,0.8879084330021958,0.47823809523809524,0.9069104537927842,0.4694761904761905,0.9028849071014006,-0.01219047619047614
TetA,acquired,81,0.2417910447761194,0.385047619047619,0.8613594741523264,0.5337619047619048,0.9070197428494927,0.5317142857142857,0.9145743619674813,0.14666666666666667
StrB,acquired,81,0.2417910447761194,0.451,0.8838411858531416,0.45595238095238094,0.8803229801009632,0.5154761904761904,0.8968999069396842,0.06447619047619041
StrA,acquired,80,0.23880597014925373,0.4224285714285714,0.8764447743466077,0.4858095238095238,0.8962224996546878,0.507904761904762,0.9112762805026559,0.0854761904761906
QnrB,acquired,49,0.14626865671641792,0.5358571428571429,0.9119196535260725,0.5289523809523808,0.9069184668829734,0.5884285714285715,0.9246892610989104,0.0525714285714286
TetD,acquired,37,0.11044776119402985,0.5179523809523809,0.898689532738502,0.492,0.8962540166733642,0.5519999999999999,0.9126025458787305,0.03404761904761899
CmlA,acquired,24,0.07164179104477612,0.5078095238095238,0.9019255477270335,0.5074761904761904,0.9001595029559577,0.5089047619047619,0.9045408573686587,0.001095238095238038
QnrS,acquired,18,0.05373134328358209,0.45714285714285713,0.8845632046162104,0.5111428571428572,0.9017405433154374,0.48419047619047617,0.8969037204179671,0.027047619047619043
APH(4),acquired,17,0.050746268656716415,0.5016190476190476,0.8956311254148542,0.5027619047619047,0.8996101444894613,0.5033333333333334,0.9012410136203305,0.0017142857142857792
Arr,acquired,15,0.04477611940298507,0.47352380952380946,0.8903452550454442,0.4676666666666667,0.8849746975561243,0.47385714285714287,0.8844380563914473,0.00033333333333340764
ANT(2''),acquired,13,0.03880597014925373,0.5183333333333333,0.9037537518039054,0.5176666666666666,0.9036092889330742,0.5183333333333333,0.9037537518039054,0.0
