gene_family,amr_source,n_carriers,prevalence,esm_lr_auroc,esm_lr_auprc,frozen_lr_auroc,frozen_lr_auprc,ft_lr_auroc,ft_lr_auprc,delta_ft_minus_esm
PmrB,chromosomal,562,1.0,0.6539394787802432,0.8860206939823047,0.8291920393831221,0.9544111632762102,0.921000443293437,0.9762877367121482,0.26706096451319383
GyrA,chromosomal,562,1.0,0.7710389398287488,0.9179466610350754,0.8178763911247987,0.951405558268137,0.9453349198572129,0.985517810853784,0.17429598002846403
ParC,chromosomal,557,0.9911032028469751,0.7943001796504983,0.9327319427587426,0.8198362147406735,0.9491688878845447,0.9517743403093721,0.9886500908072655,0.15747416065887387
OmpK35,chromosomal,556,0.9893238434163701,0.7470660973845686,0.9227292311561254,0.8177130724901426,0.9423079451725369,0.933109353491519,0.9734505190147636,0.18604325610695038
OmpK36,chromosomal,555,0.9875444839857651,0.7070180350435126,0.9059997859939466,0.7953150883087188,0.9391353454908176,0.9183406826718928,0.9699798154049503,0.21132264762838027
SHV-OKP-LEN,acquired,519,0.9234875444839857,0.6969972702456779,0.9113839729176245,0.8270922283661136,0.9536609268149083,0.94379505844474,0.9762844408965307,0.24679778819906206
AAC(6'),acquired,312,0.5551601423487544,0.7365787079162875,0.9298143785626878,0.7422365320454493,0.9284440713459536,0.7496325330720235,0.9343220920553431,0.013053825155735943
CTX-M,acquired,296,0.5266903914590747,0.724143160448893,0.922846573751922,0.7392501341545928,0.9368742597037414,0.7491659084015772,0.9414339496754209,0.02502274795268411
Sul,acquired,292,0.5195729537366548,0.6522129674995916,0.8954605254686171,0.660273908681552,0.9086384463618041,0.7536571708546231,0.93691071556642,0.10144420335503157
OXA,acquired,231,0.4110320284697509,0.6559926273302071,0.9077219723771246,0.6879680828725415,0.9197846193564935,0.6915144303679336,0.9192316209636384,0.03552180303772645
Dfr,acquired,227,0.40391459074733094,0.6160612211567625,0.8844997608025156,0.6202841744243017,0.8956847977115999,0.6372693124285481,0.9039550771903041,0.02120809127178558
TEM,acquired,224,0.398576512455516,0.6564475863838921,0.9029719977788689,0.663528615757915,0.9077465273787314,0.6961690114556357,0.9190611756251696,0.03972142507174359
ANT(3''),acquired,215,0.38256227758007116,0.5870255010382398,0.8712626033817426,0.5732017451762674,0.8765676005985721,0.6738760178250623,0.9136786880710678,0.08685051678682254
AAC(3),acquired,194,0.34519572953736655,0.6226522946268169,0.8824366494419152,0.6195842374186323,0.8894794835993988,0.6404656914211054,0.9030159067569467,0.017813396794288505
StrB,acquired,183,0.32562277580071175,0.6165161802104477,0.887236393951303,0.6317164788502367,0.8858868180330808,0.6598072840111056,0.9045663814327882,0.043291103800657815
StrA,acquired,177,0.31494661921708184,0.6031823802524439,0.8810210100764891,0.638155899302396,0.8931674425577547,0.6553743496418655,0.9116066432715606,0.05219196938942161
