gene_family,amr_source,n_carriers,prevalence,esm_lr_auroc,ft_lr_auroc,delta_ft_minus_esm
PmrB,chromosomal,527,1.0,0.7295994222845248,0.9942228452487151,0.2646234229641903
GyrA,chromosomal,527,1.0,0.8392591648613058,0.9912068306359118,0.15194766577460594
OmpK36,chromosomal,522,0.9905123339658444,0.763455248290217,0.9909731957011172,0.22751794741090015
OmpK35,chromosomal,520,0.9867172675521821,0.8149292723333758,0.9970477040057771,0.18211843167240138
ParC,chromosomal,510,0.967741935483871,0.8301367826345525,0.9755320504651459,0.14539526783059342
SHV-OKP-LEN,acquired,484,0.9184060721062619,0.7913746229981735,0.9799711142262436,0.1885964912280701
Sul,acquired,270,0.5123339658444023,0.7560214094558431,0.7992013933137929,0.043179983857949855
CTX-M,acquired,242,0.45920303605313095,0.7766662418758761,0.7783760248077822,0.0017097829319061564
AAC(6'),acquired,231,0.43833017077798864,0.7433626438978802,0.757975447092307,0.014612803194426816
OXA,acquired,218,0.41366223908918404,0.7449662291321525,0.7444033813346927,-0.0005628477974597423
TEM,acquired,177,0.33586337760910817,0.676224459453719,0.7047066819591352,0.02848222250541621
Dfr,acquired,175,0.33206831119544594,0.6551442164733869,0.683764495985727,0.02862027951234003
ANT(3''),acquired,169,0.3206831119544592,0.6603691431969756,0.6914850686037126,0.03111592540673702
StrB,acquired,150,0.2846299810246679,0.647497982243745,0.6847308950341957,0.03723291279045071
AAC(3),acquired,148,0.2808349146110057,0.6533813346926638,0.6591691092137122,0.005787774521048394
MphA,acquired,147,0.27893738140417457,0.6511724225818784,0.650620194554182,-0.0005522280276963887
Cat,acquired,147,0.27893738140417457,0.6637780892910241,0.6715730002973536,0.0077949110063294524
StrA,acquired,146,0.27703984819734345,0.6369631706384605,0.6793891508432097,0.04242598020474919
Mrx,acquired,142,0.269449715370019,0.6443014315449641,0.6409243447602055,-0.003377086784758565
KPC,acquired,141,0.2675521821631879,0.6553566118686547,0.6551123571640967,-0.00024425470455802234
APH(3'),acquired,118,0.2239089184060721,0.6129518712034323,0.6161590416719765,0.0032071704685442404
TetA,acquired,117,0.222011385199241,0.5867210398878553,0.6342020304999788,0.04748099061212352
QnrB,acquired,93,0.17647058823529413,0.5579202242895374,0.5834926298797842,0.02557240559024687
TetD,acquired,48,0.09108159392789374,0.49641051781997364,0.561244212225479,0.0648336944055054
Arr,acquired,32,0.06072106261859583,0.5214094558429974,0.5218023873242428,0.00039293148124541766
CmlA,acquired,32,0.06072106261859583,0.5245529076929611,0.5269954547385413,0.0024425470455801124
QnrS,acquired,25,0.04743833017077799,0.5241174971326622,0.5235546493352025,-0.0005628477974597423
APH(4),acquired,17,0.03225806451612903,0.5142304914829448,0.5142304914829448,0.0
NDM,acquired,16,0.030360531309297913,0.5125950469393824,0.5125950469393824,0.0
ANT(2''),acquired,14,0.026565464895635674,0.511118898942271,0.511118898942271,0.0
MsrE,acquired,13,0.024667931688804556,0.5121065375302664,0.5125950469393824,0.0004885094091160447
ArmA,acquired,13,0.024667931688804556,0.5084320971921328,0.5084320971921328,0.0
MphE,acquired,13,0.024667931688804556,0.5114799711142262,0.5122445945371905,0.00076462342296435
RmtF,acquired,8,0.015180265654648957,0.49943715220254037,0.5018584597085936,0.002421307506053183
