gene_family,amr_source,n_carriers,prevalence,esm_lr_auroc,ft_lr_auroc,delta_ft_minus_esm
PmrB,chromosomal,483,1.0,0.6635876714903214,0.9373426047735388,0.2737549332832174
GyrA,chromosomal,483,1.0,0.7373801916932907,0.9303702311595564,0.1929900394662657
OmpK36,chromosomal,476,0.9855072463768116,0.7447002443149785,0.9388930652133058,0.19419282089832735
OmpK35,chromosomal,474,0.9813664596273292,0.7275981958278519,0.9330201090020672,0.20542191317421532
ParC,chromosomal,473,0.979296066252588,0.7226367224205976,0.9376902837812441,0.21505356136064646
SHV-OKP-LEN,acquired,446,0.9233954451345756,0.5806145461379439,0.920917120841947,0.34030257470400305
CTX-M,acquired,256,0.5300207039337475,0.6855854162751364,0.740321368163879,0.054735951888742584
Sul,acquired,233,0.4824016563146998,0.6227494831798533,0.7168201465889871,0.09407066340913373
AAC(6'),acquired,228,0.4720496894409938,0.7387521142642361,0.7925765833489945,0.05382446908475835
OXA,acquired,193,0.3995859213250518,0.6516444277391468,0.6901992106746851,0.03855478293553838
TEM,acquired,190,0.39337474120082816,0.6265363653448599,0.692773914677692,0.0662375493328321
Dfr,acquired,168,0.34782608695652173,0.6408287915805301,0.7082409321556098,0.06741214057507972
ANT(3''),acquired,163,0.33747412008281574,0.6371076865250893,0.6955459500093968,0.05843826348430747
StrB,acquired,143,0.29606625258799174,0.5774948317985341,0.6108626198083067,0.03336778800977258
AAC(3),acquired,142,0.2939958592132505,0.5953862056004511,0.6153072730689718,0.019921067468520737
StrA,acquired,140,0.2898550724637681,0.5647152790828791,0.6121311783499342,0.04741589926705514
MphA,acquired,139,0.28778467908902694,0.6363089644803608,0.6804548017289983,0.04414583724863752
Mrx,acquired,134,0.2774327122153209,0.6326536365344859,0.6710768652508927,0.0384232287164068
Cat,acquired,123,0.2546583850931677,0.5646025183236232,0.6125446344672054,0.047942116143582236
TetA,acquired,122,0.2525879917184265,0.5394756624694605,0.6362901710204848,0.09681450855102425
KPC,acquired,113,0.23395445134575568,0.5911200902086073,0.6107780492388648,0.019657959030257466
APH(3'),acquired,100,0.2070393374741201,0.5835651193384702,0.6087577523021988,0.025192632963728534
QnrB,acquired,100,0.2070393374741201,0.5677410261229092,0.6065401240368351,0.038799097913925884
TetD,acquired,47,0.09730848861283643,0.5142548393159181,0.564254839315918,0.04999999999999993
Arr,acquired,44,0.09109730848861283,0.5449821462131178,0.5363841383198646,-0.008598007893253157
ArmA,acquired,42,0.08695652173913043,0.5587859424920127,0.5587859424920127,0.0
QnrS,acquired,41,0.08488612836438923,0.48614922007141514,0.5609471903777485,0.0747979703063334
CmlA,acquired,36,0.07453416149068323,0.5097632024055628,0.5182202593497462,0.008457056944183416
NDM,acquired,31,0.06418219461697723,0.5405750798722045,0.5405750798722045,0.0
MphE,acquired,29,0.060041407867494824,0.5360740462319113,0.5363747415899268,0.0003006953580154681
MsrE,acquired,29,0.060041407867494824,0.5360646495019733,0.5370700996053374,0.0010054501033640584
ANT(2''),acquired,19,0.039337474120082816,0.513831986468709,0.5144615673745536,0.00062958090584464
VEB,acquired,15,0.031055900621118012,0.5188498402555911,0.5188498402555911,0.0
APH(4),acquired,15,0.031055900621118012,0.5087671490321368,0.5025465138131929,-0.006220635218943893
CMY,acquired,9,0.018633540372670808,0.5080060139071604,0.508682578462695,0.0006765645555346644
