gene_family,amr_source,n_carriers,prevalence,esm_lr_auroc,esm_lr_auprc,frozen_lr_auroc,frozen_lr_auprc,ft_lr_auroc,ft_lr_auprc,delta_ft_minus_esm
PmrB,chromosomal,416,1.0,0.6245991622129136,0.7946544419363522,0.8479849776108623,0.9252304066370824,0.9948577206413405,0.9977483611743261,0.3702585584284269
GyrA,chromosomal,416,1.0,0.8558283980933122,0.9461062045311891,0.8833164812942367,0.9550794467108688,0.9873465260725119,0.9906527856510909,0.1315181279791997
ParC,chromosomal,414,0.9951923076923077,0.819456882854254,0.922249456235406,0.9051278347537196,0.9605946397906204,0.9932399248880542,0.9974936642671393,0.17378304203380024
OmpK35,chromosomal,411,0.9879807692307693,0.7497327748086089,0.9007681772178234,0.9083634262602919,0.9629055810877036,0.9909287880976456,0.9952668089008017,0.24119601328903673
OmpK36,chromosomal,410,0.9855769230769231,0.773999711107901,0.8906649376906435,0.893398815542395,0.9402647323810375,0.9874620829120324,0.9859246108682742,0.2134623718041314
SHV-OKP-LEN,acquired,396,0.9519230769230769,0.6800375559728442,0.8304283329408698,0.7947566084067601,0.8839773009611434,0.9818720208002312,0.9899448233526948,0.30183446482738696
AAC(6'),acquired,231,0.5552884615384616,0.861057345081612,0.9431013898845437,0.8614184602051133,0.9466009660587325,0.8677596417737975,0.9512780718923002,0.006702296692185472
TEM,acquired,183,0.43990384615384615,0.7690018777986423,0.8973524598694081,0.7739130434782608,0.9060186592552791,0.7798786653185035,0.9137492942987344,0.010876787519861209
CTX-M,acquired,180,0.4326923076923077,0.7892676585295393,0.9171798126175543,0.788964321825798,0.9167255063431428,0.7884587606528962,0.9161619483879658,-0.0008088978766430666
StrB,acquired,163,0.3918269230769231,0.7163946266069623,0.8688113520124005,0.7070778564206269,0.8642559833517274,0.7415426838075978,0.8953418037316667,0.02514805720063551
Sul,acquired,162,0.3894230769230769,0.691838798208869,0.860330891499181,0.6918532428138091,0.8478266086165487,0.7357503972266359,0.8885050802035146,0.04391159901776698
StrA,acquired,157,0.37740384615384615,0.7045356059511773,0.8626781051876249,0.7191391015455728,0.8846919219240477,0.7429438104867832,0.8942931221612695,0.038408204535605894
AAC(3),acquired,130,0.3125,0.67368192979922,0.850033047663809,0.680008666762964,0.8515502276653313,0.6850642784919831,0.8668055978442706,0.011382348692763111
OXA,acquired,122,0.2932692307692308,0.6527950310559006,0.8532784993009762,0.6422360248447204,0.8479470484017764,0.6612451249458328,0.8574834610138312,0.00845009388993212
