gene_family,amr_source,n_carriers,prevalence,esm_lr_auroc,esm_lr_auprc,frozen_lr_auroc,frozen_lr_auprc,ft_lr_auroc,ft_lr_auprc,delta_ft_minus_esm
PmrB,chromosomal,545,1.0,0.688180587032226,0.7041762377043461,0.7501796473384557,0.7776445946944035,0.9746282681996574,0.9773478492647449,0.28644768116743147
GyrA,chromosomal,545,1.0,0.7200058039909346,0.7214731506392402,0.7712674810679343,0.8076649436564676,0.9693770383063403,0.9679344377445437,0.24937123431540564
OmpK36,chromosomal,541,0.9926605504587156,0.830343817367752,0.8807966110871055,0.8154607263280084,0.8759563634166742,0.9758167044386711,0.977183201893776,0.1454728870709191
OmpK35,chromosomal,539,0.9889908256880734,0.7491501298988447,0.805180705937424,0.7867586092532199,0.8462495737470233,0.9823254657011774,0.9786555294200628,0.23317533580233274
ParC,chromosomal,533,0.9779816513761468,0.7282903100989442,0.7420629909844817,0.7243933447570614,0.7853285409632345,0.9731081753358025,0.9772981820228506,0.24481786523685833
SHV-OKP-LEN,acquired,510,0.9357798165137615,0.6233969929799348,0.6528342371551432,0.7597562323807419,0.78994643172201,0.9631308385384998,0.9625910601114178,0.339733845558565
AAC(6'),acquired,301,0.5522935779816514,0.6088593775910673,0.6986541184078235,0.7275648112321043,0.8014049935592403,0.8657205240174672,0.9047578467430557,0.2568611464263999
CTX-M,acquired,276,0.5064220183486239,0.5439652313304959,0.6048403237873526,0.626216074291084,0.6764121245796558,0.8303092698026643,0.8609457674915963,0.2863440384721684
Sul,acquired,270,0.4954128440366973,0.5871704162290641,0.6353385322285374,0.6661599690453819,0.7396851870930772,0.8130976728760156,0.8606830224167324,0.22592725664695157
OXA,acquired,230,0.42201834862385323,0.6931277983527722,0.735963937731522,0.6697805538665634,0.7430947039426856,0.7835111381349843,0.8246904698967004,0.09038333978221214
TEM,acquired,223,0.4091743119266055,0.5016306450721353,0.5806597800522156,0.6450444972638328,0.6949789163912726,0.7699270355425349,0.8158627134054932,0.26829639047039966
Dfr,acquired,198,0.363302752293578,0.620861201702504,0.6827109284032344,0.6546901774362943,0.7421095036326295,0.7608064783594053,0.8262013596530214,0.13994527665690126
ANT(3''),acquired,194,0.3559633027522936,0.5724807915538113,0.6307795846514416,0.6223260184622188,0.6976474550768619,0.759548946990216,0.8241055875536306,0.18706815543640476
StrB,acquired,188,0.344954128440367,0.5707948703775358,0.6382401026541268,0.6011345420374772,0.6816902446494777,0.7329749599248245,0.7843602124632107,0.16218008954728869
AAC(3),acquired,185,0.3394495412844037,0.5202517826543585,0.5922837364384766,0.6281092808578852,0.7036752713266441,0.7306464540379194,0.7903834018931053,0.21039467138356094
StrA,acquired,184,0.3376146788990826,0.5699035431982754,0.638294637445057,0.6229616936598308,0.700064903158854,0.7381087280968438,0.787341343397307,0.1682051848985684
KPC,acquired,174,0.3192660550458716,0.7203443701287933,0.8032600264517826,0.7259272566469516,0.8048229687437272,0.7482518932065668,0.8283991375896357,0.027907523077773555
Cat,acquired,166,0.30458715596330277,0.6378033276214693,0.7321133699270392,0.6192996517605439,0.7143878053325043,0.7244417113481842,0.8098735385732101,0.08663838372671495
MphA,acquired,164,0.30091743119266057,0.5714927311923055,0.6358776701400233,0.5533068929301862,0.6658938128513394,0.7307224586811123,0.8027955150049848,0.15922972748880682
Mrx,acquired,159,0.29174311926605506,0.5695235199823117,0.6376423553664136,0.6114642639986734,0.7191693758122624,0.7172627273229781,0.7934368063748345,0.14773920734066648
TetA,acquired,135,0.24770642201834864,0.5833010889392516,0.625236192425324,0.5728055386656349,0.6203193735072157,0.7031051351500746,0.7423526691501263,0.11980404621082297
QnrB,acquired,122,0.22385321100917432,0.5756038914377315,0.62156972948904,0.6031244817865237,0.6441153069516456,0.6804073848875131,0.7225233609237471,0.10480349344978157
APH(3'),acquired,118,0.21651376146788992,0.5306298712066773,0.6232167269056339,0.5680103366314742,0.6664848920016273,0.6623597368857442,0.7471388007276846,0.13172986567906697
QnrS,acquired,81,0.14862385321100918,0.5367516997402022,0.6162601600114717,0.5519249903266817,0.6645426130277228,0.6022331546072632,0.698068890215169,0.06548145486706103
Arr,acquired,75,0.13761467889908258,0.5734273948372118,0.6623968572636176,0.5760806478359405,0.6786262077791438,0.6140276933281743,0.7100769659991308,0.04060029849096247
TetD,acquired,74,0.13577981651376148,0.530823337571168,0.6308968907144844,0.5471850643966614,0.6370242044851567,0.6058468299154275,0.6937788207151581,0.07502349234425953
NDM,acquired,66,0.12110091743119267,0.5709054225858162,0.6669149695212296,0.5653639931457631,0.6740827041547099,0.5796390470399646,0.6873396029362067,0.008733624454148381
CmlA,acquired,30,0.05504587155963303,0.5028812669283068,0.5878624008942513,0.509839146536952,0.5988312669620173,0.5285017411972804,0.6204077683604423,0.025620474268973625
FloR,acquired,27,0.04954128440366973,0.504905754242441,0.5903754023307988,0.5250884417666244,0.6149930072696089,0.5356185396053287,0.6253322119284259,0.030712785362887685
RmtB,acquired,25,0.045871559633027525,0.5303258526339064,0.6264804970170068,0.5299251008788901,0.6274855466847107,0.5303258526339064,0.6274855466847107,0.0
ArmA,acquired,23,0.04220183486238532,0.4670485324194351,0.5576947353370756,0.50075313691891,0.5831257275742899,0.5158711514012493,0.604992906234451,0.04882261898181417
MphE,acquired,16,0.029357798165137616,0.5113937869658947,0.6010127907070151,0.5114628820960699,0.6031728054461437,0.5052305013542645,0.5992845781457962,-0.006163285611630154
MsrE,acquired,16,0.029357798165137616,0.5114076059919297,0.6016324813187941,0.5083121441600796,0.6005001135409063,0.5084088773423249,0.6024000244598046,-0.0029987286496048204
