gene_family,amr_source,n_carriers,prevalence,esm_lr_auroc,esm_lr_auprc,frozen_lr_auroc,frozen_lr_auprc,ft_lr_auroc,ft_lr_auprc,delta_ft_minus_esm
PmrB,chromosomal,847,1.0,0.6967192301682379,0.7995268957946866,0.8690296369602583,0.9248740358782439,0.9946546695140374,0.9975769573964492,0.29793543934579947
GyrA,chromosomal,847,1.0,0.8609986197197771,0.9332487411952314,0.9117336840460439,0.9596722137795279,0.9955726860773999,0.9981474884152144,0.1345740663576228
OmpK36,chromosomal,841,0.9929161747343566,0.7812906922235533,0.8746931916536556,0.8975793010052606,0.9373714439567808,0.9974087192041252,0.9989306313095845,0.21611802698057192
OmpK35,chromosomal,839,0.9905548996458088,0.7724881504245013,0.8902408098528323,0.9019056982134488,0.9513474255328289,0.9925093754883066,0.9971555763770981,0.2200212250638054
ParC,chromosomal,834,0.9846517119244392,0.836534454919527,0.9222084750527668,0.9170334392416273,0.9524697676617817,0.9969073910099485,0.9987684238187947,0.16037293609042147
SHV-OKP-LEN,acquired,800,0.9445100354191264,0.7735233605916976,0.873989597887464,0.8871979009323403,0.9289441606904034,0.9939222094900776,0.9973935855612999,0.22039884889838002
AAC(6'),acquired,388,0.45808736717827625,0.8030170842231366,0.9066148650822793,0.8046903484556487,0.9121156801326782,0.8167026928485859,0.918861226654315,0.01368560862544932
CTX-M,acquired,372,0.43919716646989376,0.7844907286837856,0.8903613485450335,0.7872838429084849,0.9008724045242412,0.8008164487733737,0.9106315965414185,0.016325720089588103
Sul,acquired,360,0.42502951593860683,0.7361027918120735,0.8557600600180928,0.7405952132923589,0.8715453249611522,0.7940680504192926,0.9034851273002651,0.05796525860721913
TEM,acquired,295,0.3482880755608028,0.710401583415803,0.8480867334240145,0.7163459034324705,0.8660359795321445,0.7343448877545706,0.8740096374372077,0.02394330433876768
OXA,acquired,276,0.32585596221959856,0.687340486483671,0.8431733377233533,0.7013125683629355,0.8535773725406146,0.7169318714516381,0.8648292493971134,0.029591384967967094
StrB,acquired,260,0.3069657615112161,0.6645626074274701,0.8198335624608288,0.6774766914943485,0.838573937064361,0.7061695921662586,0.8559796724056195,0.041606984738788544
Dfr,acquired,255,0.3010625737898465,0.6517657169644252,0.8008192067851132,0.656632506901401,0.8137384588445273,0.7005475545601333,0.8542387613450207,0.04878183759570809
StrA,acquired,252,0.2975206611570248,0.658771290171363,0.8209159208207862,0.6731307620188551,0.8383307677647321,0.7021817542580343,0.8537773947213498,0.04341046408667126
ANT(3''),acquired,243,0.28689492325855964,0.6635762279285381,0.8207267322838291,0.6546044064795041,0.8175390024606275,0.7018106411792281,0.8514085086261621,0.03823441325068999
AAC(3),acquired,227,0.2680047225501771,0.6691689671337049,0.8231559629333614,0.6696702953278817,0.8311062002722389,0.6846580551070368,0.8443176699332904,0.015489087973331928
MphA,acquired,204,0.2408500590318772,0.6456521172977759,0.80788912782069,0.6432170946403457,0.8158998009938707,0.669735402885567,0.8333683305628592,0.024083285587791048
Cat,acquired,202,0.2384887839433294,0.6568994478879108,0.8260144764585546,0.6600180999010364,0.8292559111937623,0.6658419709359862,0.8323641014284849,0.008942523048075413
Mrx,acquired,199,0.23494687131050768,0.6419181988645242,0.8062330142140385,0.6407690504713788,0.8107044410810362,0.6634850773477785,0.8299380827710037,0.021566878483254337
QnrB,acquired,184,0.21723730814639905,0.6254036668576488,0.7930606992309072,0.626461664670035,0.802748570368987,0.6515443512682952,0.8200032557081062,0.02614068441064643
KPC,acquired,181,0.21369539551357733,0.6384414552841293,0.8124940518695147,0.6388939528100422,0.8158129782658918,0.6396524558570759,0.8173017133859825,0.0012110005729465412
TetA,acquired,171,0.20188902007083825,0.583829235897703,0.7574840989341195,0.5847342309495286,0.7744913454371475,0.6362701182353248,0.8039200778206944,0.052440882337621786
APH(3'),acquired,139,0.1641086186540732,0.5952458461378196,0.7796770321951104,0.5960369029636959,0.7837512610625793,0.6078897338403042,0.7924885708145608,0.01264388770248459
TetD,acquired,93,0.10979929161747344,0.5440582842856398,0.7378684077538968,0.5390840668784833,0.7340169511072236,0.572861867805615,0.760211794473949,0.02880358351997514
Arr,acquired,93,0.10979929161747344,0.5683824678368665,0.7583170042802503,0.568388978592635,0.7586482403664994,0.5727121204229387,0.7638306885439843,0.004329652586072208
QnrS,acquired,91,0.10743801652892562,0.5580564091879785,0.7432563574066575,0.5555627897286318,0.7494569637483919,0.5761270118235324,0.7626613211865502,0.018070602635553934
NDM,acquired,82,0.09681227863046045,0.564319756237304,0.7567466970779607,0.5642872024584613,0.7567579012145802,0.5646290171363092,0.7568738016875218,0.0003092608990051815
ArmA,acquired,47,0.05548996458087367,0.5359621594874733,0.7300881805376631,0.5357831137038387,0.729876388717686,0.5359621594874733,0.7300881805376632,0.0
CmlA,acquired,40,0.047225501770956316,0.5232922287619147,0.7184543918197387,0.5228625188811918,0.7147205483921156,0.5319189801552164,0.7238578682786518,0.008626751393301713
MphE,acquired,37,0.043683589138134596,0.5260169800510444,0.7209714501029961,0.5259876816500859,0.7210232849031372,0.525681676128965,0.7208914729635811,-0.0003353039220793663
MsrE,acquired,37,0.043683589138134596,0.5258216573779884,0.7208637376316301,0.5256361008385854,0.7208776084150419,0.5254407781655295,0.7208822493420872,-0.00038087921245888445
FloR,acquired,31,0.03659976387249114,0.5106027657690504,0.7029360682390455,0.5141185738840564,0.7108592422796243,0.5198122298036356,0.7144436008366064,0.009209464034585224
RmtB,acquired,26,0.030696576151121605,0.5082881920933382,0.7000175214633682,0.5173511641231314,0.7105407657525725,0.5119928121256315,0.7075623694592005,0.0037046200322933265
ANT(2''),acquired,20,0.023612750885478158,0.5112798843689775,0.7054898485758906,0.5112798843689775,0.7054898485758907,0.5112798843689775,0.7054898485758907,0.0
APH(4),acquired,19,0.02243211334120425,0.5064358820771915,0.6996399275257469,0.5062763685608626,0.700412240382019,0.503108885879473,0.6998240365051897,-0.003326996197718479
VEB,acquired,15,0.01770956316410862,0.5094861711547477,0.702112097729775,0.5092810823480389,0.7021124634087081,0.5094861711547476,0.7021120977297749,-1.1102230246251565e-16
LAP,acquired,15,0.01770956316410862,0.5106190426584718,0.7031925981346737,0.5110715401843846,0.7032077879390242,0.5110194541382364,0.7031731678671159,0.0004004114797645508
CMY,acquired,10,0.011806375442739079,0.504326397208188,0.6970584831120535,0.504326397208188,0.6970584831120534,0.504326397208188,0.6970584831120534,0.0
Erm,acquired,8,0.009445100354191263,0.5020378665555497,0.6948741482044991,0.5020378665555497,0.6948741482044989,0.5020378665555497,0.6948741482044989,0.0
RmtF,acquired,8,0.009445100354191263,0.500478540548987,0.6936056577582129,0.5019857805094015,0.6947959200565125,0.5019857805094015,0.6947959200565125,0.0015072399604144637
