gene_family,amr_source,n_carriers,prevalence,esm_lr_auroc,ft_lr_auroc,delta_ft_minus_esm
PmrB,chromosomal,603,1.0,0.676770775237033,0.985345789180145,0.30857501394311204
GyrA,chromosomal,603,1.0,0.8356804238706079,0.9866564417177915,0.15097601784718362
OmpK36,chromosomal,597,0.9900497512437811,0.8210750139431121,0.9848577802565534,0.16378276631344124
OmpK35,chromosomal,595,0.9867330016583747,0.7926380368098159,0.9898633575013943,0.1972253206915784
ParC,chromosomal,587,0.9734660033167496,0.8232083100948132,0.9871374790853319,0.16392916899051868
SHV-OKP-LEN,acquired,562,0.9320066334991708,0.7847322922476296,0.9852063580591188,0.2004740658114892
Sul,acquired,294,0.48756218905472637,0.7687744004461796,0.8110708310094814,0.04229643056330179
CTX-M,acquired,291,0.48258706467661694,0.8033254322364751,0.8040783602900166,0.0007529280535414351
AAC(6'),acquired,257,0.4262023217247098,0.7573898494143892,0.7624163413273843,0.00502649191299509
OXA,acquired,233,0.3864013266998342,0.7428750697155604,0.7404419966536531,-0.0024330730619073204
TEM,acquired,199,0.33001658374792703,0.6885039040713887,0.7087353597322924,0.020231455660903674
Dfr,acquired,198,0.3283582089552239,0.675292805354155,0.7001882320133853,0.02489542665923028
ANT(3''),acquired,191,0.3167495854063018,0.6862730061349693,0.7034300055772449,0.017156999442275556
StrB,acquired,163,0.2703150912106136,0.6497420524261015,0.6645705521472393,0.014828499721137756
Cat,acquired,163,0.2703150912106136,0.6673800892359176,0.6687395426659231,0.0013594534300054306
StrA,acquired,160,0.26533996683250416,0.6448968209704405,0.6619980479643056,0.01710122699386507
AAC(3),acquired,157,0.2603648424543947,0.6615518683770217,0.6637618516452871,0.002209983268265381
MphA,acquired,155,0.2570480928689884,0.6623675404350251,0.6605967651979922,-0.001770775237032951
Mrx,acquired,150,0.24875621890547264,0.6559955382041271,0.6548522030117122,-0.0011433351924149404
TetA,acquired,129,0.21393034825870647,0.6025027886224205,0.6274261015058561,0.024923312883435633
KPC,acquired,125,0.20729684908789386,0.6275097601784718,0.6279698828778584,0.0004601226993865559
QnrB,acquired,118,0.1956882255389718,0.5998047964305633,0.6065253764640268,0.006720580033463541
APH(3'),acquired,117,0.19402985074626866,0.6081497490239821,0.6091745677635247,0.0010248187395426323
TetD,acquired,59,0.0978441127694859,0.5090421081985499,0.5685164528722811,0.05947434467373125
Arr,acquired,48,0.07960199004975124,0.5356246514221975,0.535366703848299,-0.0002579475738985204
QnrS,acquired,41,0.06799336650082918,0.5254322364751813,0.5261642498605689,0.000732013385387531
NDM,acquired,39,0.06467661691542288,0.5321109871723368,0.5318809258226436,-0.00023006134969327796
MsrE,acquired,37,0.06135986733001658,0.5295315114333519,0.5295315114333519,0.0
MphE,acquired,37,0.06135986733001658,0.5295315114333519,0.5295315114333519,0.0
ArmA,acquired,36,0.05970149253731343,0.5306957612939208,0.5304656999442275,-0.00023006134969327796
CmlA,acquired,33,0.05472636815920398,0.5234662576687117,0.5238008923591746,0.0003346346904629094
APH(4),acquired,17,0.028192371475953566,0.513127440044618,0.513127440044618,0.0
ANT(2''),acquired,12,0.01990049751243781,0.506866982710541,0.506866982710541,0.0
RmtF,acquired,8,0.013266998341625208,0.5010596765197992,0.5033324037925264,0.002272727272727204
