gene_family,amr_source,n_carriers,prevalence,esm_lr_auroc,esm_lr_auprc,frozen_lr_auroc,frozen_lr_auprc,ft_lr_auroc,ft_lr_auprc,delta_ft_minus_esm
GyrA,chromosomal,460,1.0,0.8764618000103034,0.9783951565428769,0.914378445211478,0.9898113079784167,0.9954149708927926,0.9995083693092738,0.11895317088248925
PmrB,chromosomal,460,1.0,0.5909793416104271,0.9050402604293494,0.8612127144402659,0.9756011925110044,0.9974756581319869,0.999730894867409,0.4064963165215598
OmpK36,chromosomal,458,0.9956521739130435,0.7446293338828499,0.9602023399423137,0.875895111019525,0.9838993932313536,0.9950543506259336,0.9994741733794681,0.2504250167430837
OmpK35,chromosomal,458,0.9956521739130435,0.8021482664468601,0.9729225745081528,0.9038174231106073,0.9877261667374411,0.9972180722270877,0.9997004518873273,0.1950698057802276
ParC,chromosomal,452,0.9826086956521739,0.8382102931327599,0.9732129343288598,0.8891607851218382,0.9861598543888629,0.9973983823605173,0.9996938146346397,0.1591880892277574
SHV-OKP-LEN,acquired,436,0.9478260869565217,0.7246406676626654,0.952226587933158,0.7941373448044923,0.9595178870567967,0.9962392457884703,0.999592290695585,0.2715985781258049
AAC(6'),acquired,262,0.5695652173913044,0.7569934573180155,0.9554649055631582,0.7696409252485703,0.9661902809573214,0.8014785430941217,0.9723552738725254,0.044485085776106215
CTX-M,acquired,260,0.5652173913043478,0.7855854927618361,0.9665511109148963,0.7861006645716346,0.9674316099160206,0.7966616866725053,0.971651127021526,0.011076193910669163
Sul,acquired,242,0.5260869565217391,0.6964607696666838,0.9494166686324105,0.6925197053217249,0.9533569126133472,0.7757199526041935,0.9681265447940871,0.07925918293750966
OXA,acquired,190,0.41304347826086957,0.6968471485240328,0.9540125799637096,0.6980578022770596,0.9546294450683042,0.7016640049456494,0.9557384056500471,0.0048168564216165555
TEM,acquired,182,0.39565217391304347,0.6327340167946011,0.932796673892079,0.6470042759260215,0.9433993904261044,0.724486116119726,0.9577582196601757,0.09175209932512496
Dfr,acquired,180,0.391304347826087,0.6433723146669414,0.9308322154054056,0.6555561279686776,0.9428218864844655,0.6857967132038535,0.9525778445320239,0.042424398536912045
ANT(3''),acquired,176,0.3826086956521739,0.6155787955283087,0.922522976191245,0.6222245118747102,0.9342101979426926,0.7009427644119314,0.9541525207385857,0.08536396888362263
AAC(3),acquired,163,0.35434782608695653,0.6396373190459018,0.9432659720196532,0.6407191798464789,0.9442102935425802,0.6842511977744579,0.9508902756632729,0.044613878728556045
StrB,acquired,160,0.34782608695652173,0.6257276801813405,0.9361532647349711,0.6396373190459018,0.9441470971987499,0.6997063520684148,0.9529505724136541,0.0739786718870743
StrA,acquired,157,0.34130434782608693,0.6248776466951729,0.9355444882326611,0.649322549070115,0.945440437223801,0.6971820102004018,0.9523610083263332,0.07230436350522895
Cat,acquired,146,0.3173913043478261,0.6426253155427335,0.9395878088851572,0.6486785843078666,0.9446412989232286,0.6495543763845243,0.9449399526863338,0.006929060841790791
MphA,acquired,139,0.30217391304347824,0.6297717788882593,0.9368310458484556,0.6275050229251455,0.9368141621115857,0.6357992890629025,0.9422473953006874,0.0060275101746432025
Mrx,acquired,134,0.29130434782608694,0.6234609242182267,0.9353192389192115,0.6212456854360929,0.9382430822447183,0.6296429859358095,0.9409098407729849,0.006182061717582732
KPC,acquired,126,0.27391304347826084,0.6368038740920097,0.9411709351455617,0.6368038740920097,0.9411709351455615,0.6368038740920097,0.9411709351455615,0.0
TetA,acquired,117,0.2543478260869565,0.5458502910720726,0.9102340088081373,0.5657616815207871,0.9269344479250817,0.6388130441502241,0.9402164326962712,0.0929627530781515
QnrB,acquired,112,0.24347826086956523,0.5856730719695019,0.9219333252177057,0.5852866931121529,0.926433940205884,0.5950749574983257,0.9331130241727993,0.009401885528823817
APH(3'),acquired,95,0.20652173913043478,0.5770181855648859,0.9224152341483649,0.5822729380248313,0.9284629592560427,0.6008191231775797,0.9321880161061046,0.02380093761269375
TetD,acquired,78,0.16956521739130434,0.4673123486682808,0.8960919465925348,0.4695533460409046,0.9001024014907064,0.5977796094997682,0.9280477529063014,0.13046726083148735
QnrS,acquired,65,0.14130434782608695,0.5077275771469786,0.8996216102332935,0.505409304002885,0.8989705994487049,0.5523414558755345,0.9196018687470475,0.044613878728555934
Arr,acquired,62,0.13478260869565217,0.5313224460357528,0.9111171474196295,0.5317088248931018,0.9131988274436825,0.5353150275616918,0.9160860988003043,0.003992581525938954
NDM,acquired,60,0.13043478260869565,0.552521766008964,0.9197269488774162,0.552521766008964,0.9197269488774162,0.552521766008964,0.9197269488774162,0.0
FloR,acquired,29,0.06304347826086956,0.5044819947452476,0.9014979501889311,0.4955695224357324,0.9012869816090796,0.5056668899077843,0.9049541383882501,0.0011848951625367254
ArmA,acquired,29,0.06304347826086956,0.5189583226005873,0.9082383133140085,0.5189583226005873,0.9082383133140085,0.5189583226005873,0.9082383133140085,0.0
CmlA,acquired,22,0.04782608695652174,0.49340580083457836,0.8997623161483475,0.4934058008345783,0.8996766730649122,0.49381793828241716,0.9010474716707911,0.0004121374478388007
RmtB,acquired,22,0.04782608695652174,0.5059244758126836,0.9041964746112597,0.5059244758126836,0.9041964746112598,0.5059244758126836,0.9041964746112598,0.0
MsrE,acquired,20,0.043478260869565216,0.5063108546700325,0.9037947775666358,0.5063108546700325,0.9037947775666358,0.5063108546700325,0.9037947775666358,0.0
MphE,acquired,20,0.043478260869565216,0.5063108546700325,0.9037947775666358,0.5063108546700325,0.9037947775666358,0.5063108546700325,0.9037947775666358,0.0
VEB,acquired,13,0.02826086956521739,0.5005924475812683,0.9012057280656334,0.5005924475812683,0.9012057280656335,0.5005924475812683,0.9012057280656335,0.0
LAP,acquired,13,0.02826086956521739,0.5009530678481274,0.9010000756918561,0.5009530678481274,0.9010000756918563,0.5009530678481274,0.9010000756918563,0.0
ANT(2''),acquired,12,0.02608695652173913,0.4973211065890474,0.9000368882812757,0.4973211065890474,0.9000368882812755,0.4973211065890474,0.9000368882812755,0.0
APH(4),acquired,10,0.021739130434782608,0.4958013497501417,0.8992410762701615,0.4958013497501416,0.8992410762701617,0.4958013497501416,0.8992410762701617,-5.551115123125783e-17
