gene_family,amr_source,n_carriers,prevalence,esm_lr_auroc,ft_lr_auroc,delta_ft_minus_esm
GyrA,chromosomal,772,1.0,0.8972302824452092,0.986466323263678,0.08923604081846881
PmrB,chromosomal,772,1.0,0.7610987396060613,0.9809178906958783,0.21981915108981698
OmpK36,chromosomal,765,0.9909326424870466,0.8244483433430057,0.9827923611579729,0.1583440178149672
OmpK35,chromosomal,764,0.9896373056994818,0.8113345479901927,0.9784435896859137,0.16710904169572105
ParC,chromosomal,754,0.9766839378238342,0.8933726222342189,0.9827773653942761,0.0894047431600572
SHV-OKP-LEN,acquired,724,0.9378238341968912,0.7534996363527303,0.9689887606751093,0.215489124322379
Sul,acquired,386,0.5,0.7080174850604705,0.8028619415015258,0.09484445644105532
CTX-M,acquired,371,0.4805699481865285,0.7167112790636645,0.7847658036604659,0.06805452459680139
AAC(6'),acquired,364,0.47150259067357514,0.766669665819406,0.80524626792931,0.03857660210990399
OXA,acquired,308,0.39896373056994816,0.7148742980108118,0.7556327837385938,0.04075848572778196
TEM,acquired,302,0.3911917098445596,0.618848925178637,0.7258999332688516,0.10705100809021462
Dfr,acquired,250,0.3238341968911917,0.6415412645927525,0.6874920335005361,0.0459507689077836
StrB,acquired,249,0.3225388601036269,0.5997068328197284,0.6700369645575125,0.07033013173778413
StrA,acquired,243,0.31476683937823835,0.5950431503100374,0.677527348524042,0.08248419821400454
ANT(3''),acquired,236,0.30569948186528495,0.6532717007445397,0.6857975122028027,0.032525811458263054
Cat,acquired,203,0.26295336787564766,0.6520345502395573,0.6694033935413245,0.017368843301767245
AAC(3),acquired,202,0.2616580310880829,0.5887786700257176,0.6414775325970413,0.052698862571323724
MphA,acquired,195,0.25259067357512954,0.6280038389155064,0.6592812530460145,0.03127741413050811
Mrx,acquired,190,0.24611398963730569,0.6212370005473454,0.6489416739771015,0.02770467342975602
QnrB,acquired,182,0.23575129533678757,0.5821317977671309,0.5947582307997991,0.012626433032668194
KPC,acquired,175,0.2266839378238342,0.6330199218720711,0.6524206911547488,0.019400769282677643
TetA,acquired,166,0.21502590673575128,0.5526013901072947,0.593011224329127,0.04040983422183231
APH(3'),acquired,149,0.19300518134715025,0.5886587039161437,0.6188826656469547,0.03022396173081099
TetD,acquired,76,0.09844559585492228,0.5087837685853747,0.5608977963725248,0.05211402778715013
ArmA,acquired,56,0.07253886010362694,0.5283344955050198,0.5334105615163716,0.005076066011351799
Arr,acquired,51,0.06606217616580311,0.5323458622939019,0.5369608085715785,0.004614946277676557
NDM,acquired,50,0.06476683937823834,0.5397987568511895,0.5400799274205037,0.00028117056931420414
QnrS,acquired,47,0.06088082901554404,0.5144296736172032,0.5041688223076981,-0.010260851309505048
MsrE,acquired,45,0.05829015544041451,0.519408267164526,0.5182385975961791,-0.001169669568346965
MphE,acquired,45,0.05829015544041451,0.520956579766216,0.5194944928057823,-0.0014620869604337061
CmlA,acquired,40,0.05181347150259067,0.519606961033508,0.5255452834574232,0.005938322423915232
ANT(2''),acquired,20,0.025906735751295335,0.49947514827061357,0.4972782688890388,-0.0021968793815747567
APH(4),acquired,19,0.02461139896373057,0.5090836838593097,0.5095448035929849,0.0004611197336752415
VEB,acquired,14,0.018134715025906734,0.4761717314858552,0.504862376378673,0.028690644892817863
CMY,acquired,10,0.012953367875647668,0.5052222747073951,0.495257589730901,-0.00996468497649411
RmtF,acquired,9,0.011658031088082901,0.5053459897578934,0.5073029369203199,0.001956947162426559
FloR,acquired,8,0.010362694300518135,0.4923484115737304,0.5078727759407967,0.015524364367066334
