gene_family,amr_source,n_carriers,prevalence,esm_lr_auroc,ft_lr_auroc,delta_ft_minus_esm
GyrA,chromosomal,275,1.0,0.6530313588850174,0.9361672473867595,0.2831358885017421
PmrB,chromosomal,275,1.0,0.6176306620209059,0.917212543554007,0.29958188153310117
ParC,chromosomal,274,0.9963636363636363,0.570766550522648,0.9340766550522649,0.3633101045296169
OmpK35,chromosomal,269,0.9781818181818182,0.6887456445993032,0.9142160278745645,0.22547038327526125
SHV-OKP-LEN,acquired,266,0.9672727272727273,0.47,0.8935540069686411,0.4235540069686411
OmpK36,chromosomal,262,0.9527272727272728,0.6988850174216028,0.9194773519163764,0.22059233449477356
AAC(6'),acquired,174,0.6327272727272727,0.5747038327526132,0.7406271777003485,0.1659233449477353
TEM,acquired,158,0.5745454545454546,0.5614634146341463,0.7608362369337979,0.1993728222996516
Sul,acquired,148,0.5381818181818182,0.4960627177700348,0.6665156794425088,0.17045296167247398
OXA,acquired,141,0.5127272727272727,0.6489895470383275,0.7398954703832754,0.09090592334494796
CTX-M,acquired,139,0.5054545454545455,0.5083275261324042,0.7408710801393728,0.23254355400696858
Dfr,acquired,136,0.49454545454545457,0.6143205574912893,0.7109756097560975,0.0966550522648082
ANT(3''),acquired,127,0.4618181818181818,0.5247735191637631,0.7278048780487805,0.20303135888501733
Cat,acquired,111,0.4036363636363636,0.5483275261324042,0.6316376306620208,0.08331010452961662
MphA,acquired,102,0.3709090909090909,0.550766550522648,0.6950522648083625,0.14428571428571446
Mrx,acquired,102,0.3709090909090909,0.5336933797909408,0.6714634146341464,0.1377700348432056
KPC,acquired,92,0.33454545454545453,0.5347386759581882,0.6942508710801393,0.15951219512195103
APH(3'),acquired,86,0.31272727272727274,0.5483623693379791,0.6056445993031359,0.05728222996515675
AAC(3),acquired,86,0.31272727272727274,0.5406620209059233,0.7005574912891986,0.15989547038327534
StrB,acquired,76,0.27636363636363637,0.4826480836236934,0.6458885017421604,0.163240418118467
StrA,acquired,76,0.27636363636363637,0.5084668989547039,0.6687456445993031,0.1602787456445992
QnrB,acquired,51,0.18545454545454546,0.5378048780487806,0.6002439024390244,0.062439024390243736
NDM,acquired,47,0.1709090909090909,0.5249825783972126,0.6060975609756099,0.08111498257839722
MphE,acquired,45,0.16363636363636364,0.5188501742160279,0.610034843205575,0.09118466898954714
MsrE,acquired,45,0.16363636363636364,0.5203135888501742,0.6341811846689895,0.11386759581881534
ArmA,acquired,41,0.14909090909090908,0.5255400696864112,0.6062020905923345,0.08066202090592334
TetA,acquired,41,0.14909090909090908,0.38296167247386753,0.5691637630662021,0.18620209059233456
TetD,acquired,36,0.13090909090909092,0.45895470383275255,0.5979790940766551,0.1390243902439025
QnrS,acquired,33,0.12,0.5158536585365854,0.5785714285714286,0.06271777003484325
Arr,acquired,31,0.11272727272727273,0.4789198606271776,0.5027526132404181,0.02383275261324047
CmlA,acquired,17,0.06181818181818182,0.4665505226480836,0.524006968641115,0.057456445993031346
DHA,acquired,13,0.04727272727272727,0.5136585365853659,0.5101045296167247,-0.0035540069686411657
CMY,acquired,13,0.04727272727272727,0.5145296167247387,0.512404181184669,-0.00212543554006972
FloR,acquired,12,0.04363636363636364,0.500418118466899,0.5008710801393728,0.00045296167247377284
