gene_family,amr_source,n_carriers,prevalence,esm_lr_auroc,esm_lr_auprc,frozen_lr_auroc,frozen_lr_auprc,ft_lr_auroc,ft_lr_auprc,delta_ft_minus_esm
GyrA,chromosomal,412,1.0,0.7798091603053435,0.8374355894466008,0.8384478371501272,0.8804452637673919,0.9939440203562341,0.9970932601725783,0.21413486005089055
PmrB,chromosomal,412,1.0,0.6516030534351145,0.7187874545027931,0.8390330788804071,0.8819991356774198,0.9883715012722646,0.9930040398618263,0.3367684478371501
ParC,chromosomal,410,0.9951456310679612,0.755559796437659,0.8097308068455286,0.854147582697201,0.9081683236781765,0.9827480916030534,0.9889558674662642,0.2271882951653944
OmpK35,chromosomal,405,0.9830097087378641,0.7929262086513995,0.8812515127295881,0.8773027989821883,0.9116132868967164,0.9921119592875318,0.9955124035998506,0.1991857506361323
OmpK36,chromosomal,404,0.9805825242718447,0.8383587786259542,0.9025546052496697,0.9044020356234096,0.9459266698626461,0.9951908396946565,0.9974826825125813,0.1568320610687023
SHV-OKP-LEN,acquired,395,0.9587378640776699,0.6038040712468193,0.6934934049519732,0.771882951653944,0.8135639422298234,0.9891348600508906,0.9900838084373913,0.38533078880407123
AAC(6'),acquired,272,0.6601941747572816,0.7419338422391858,0.8307658819333846,0.8197201017811705,0.8859844648010149,0.9252671755725191,0.9583566804874117,0.18333333333333335
TEM,acquired,216,0.5242718446601942,0.5107888040712468,0.6440933711263537,0.6952417302798982,0.7798679428970449,0.8595801526717557,0.9083018194718699,0.34879134860050887
CTX-M,acquired,206,0.5,0.5027989821882952,0.6347749526754862,0.5983715012722646,0.7082416256561468,0.8583460559796438,0.9053342238690232,0.35554707379134853
Sul,acquired,195,0.4733009708737864,0.6338676844783715,0.7441258492025767,0.6861577608142493,0.7837145735734967,0.8408396946564886,0.9003481111467891,0.20697201017811706
StrB,acquired,166,0.4029126213592233,0.5247455470737914,0.6528313196142719,0.6318575063613232,0.7515646257801035,0.8130407124681933,0.8730493895513303,0.2882951653944019
OXA,acquired,163,0.39563106796116504,0.6875063613231551,0.8095746942954228,0.722442748091603,0.8239403930646051,0.7826844783715013,0.8674637283935369,0.09517811704834622
StrA,acquired,162,0.3932038834951456,0.5166412213740459,0.643830417275684,0.6453435114503816,0.7448446648686957,0.8007888040712469,0.8642016170878775,0.284147582697201
Dfr,acquired,144,0.34951456310679613,0.6660305343511451,0.7705756949363062,0.6624936386768447,0.7943692360096098,0.7447455470737913,0.8526447151304344,0.07871501272264614
ANT(3''),acquired,138,0.33495145631067963,0.6266284987277353,0.75204178244879,0.6169720101781171,0.742799880109291,0.737671755725191,0.8461013297921625,0.11104325699745565
AAC(3),acquired,134,0.32524271844660196,0.5471755725190841,0.6709183381667785,0.6187150127226463,0.7390869018885204,0.7491603053435115,0.8351800559986552,0.20198473282442742
QnrB,acquired,131,0.3179611650485437,0.5292493638676844,0.6517579940147042,0.6070865139949109,0.7027571330504877,0.7649745547073792,0.8373549469660071,0.2357251908396948
Cat,acquired,129,0.3131067961165049,0.7025063613231551,0.8244117186391957,0.697582697201018,0.8276822805684734,0.7343511450381679,0.847509845283232,0.03184478371501276
KPC,acquired,125,0.30339805825242716,0.7369465648854963,0.8515612092554193,0.7369211195928753,0.8522795626825241,0.7334860050890586,0.8506719398135743,-0.0034605597964376678
MphA,acquired,119,0.28883495145631066,0.623498727735369,0.7292335151357764,0.6230407124681933,0.769826490525662,0.7142875318066157,0.8312806923491797,0.09078880407124679
Mrx,acquired,118,0.28640776699029125,0.6260559796437659,0.7423656652476622,0.6532697201017812,0.7870904119310311,0.7170737913486006,0.8310760096681912,0.0910178117048347
QnrS,acquired,89,0.21601941747572814,0.5673155216284987,0.6951504071538742,0.5716284987277352,0.723048126693199,0.6667684478371502,0.7905394764543916,0.09945292620865143
TetA,acquired,86,0.2087378640776699,0.5909287531806615,0.6813077402539818,0.593944020356234,0.6794378823144974,0.6983969465648855,0.7694142501084944,0.10746819338422398
