gene_family,amr_source,n_carriers,prevalence,esm_lr_auroc,ft_lr_auroc,delta_ft_minus_esm
GyrA,chromosomal,881,1.0,0.6829075331892559,0.9820050280068804,0.2990974948176245
PmrB,chromosomal,881,1.0,0.6434801305517577,0.9879151413575619,0.3444350108058042
OmpK35,chromosomal,873,0.9909194097616345,0.6849474044017112,0.9813158823269968,0.29636847792528564
OmpK36,chromosomal,872,0.9897843359818388,0.6447426454373042,0.9778756670930182,0.333133021655714
ParC,chromosomal,862,0.978433598183882,0.6584290786397919,0.9798714329819609,0.32144235434216895
SHV-OKP-LEN,acquired,833,0.945516458569807,0.6743511004278216,0.9711716579191109,0.2968205574912892
AAC(6'),acquired,446,0.5062429057888763,0.6756825298813567,0.8556515458915891,0.1799690160102324
Sul,acquired,429,0.4869466515323496,0.6626687028624355,0.8446417545097693,0.1819730516473338
CTX-M,acquired,428,0.4858115777525539,0.7037307590526177,0.8964958320469281,0.19276507299431034
TEM,acquired,364,0.41316685584562995,0.6550164292330085,0.841317315750011,0.1863008865170025
OXA,acquired,339,0.3847900113507378,0.6170169364442288,0.7804106205619018,0.16339368411767297
StrB,acquired,297,0.337116912599319,0.6964147885149736,0.8007817668592598,0.10436697834428621
StrA,acquired,289,0.3280363223609535,0.688949962510475,0.7918807612578838,0.10293079874740874
Dfr,acquired,287,0.3257661748013621,0.5480196709742865,0.7138942795395405,0.16587460856525404
ANT(3''),acquired,275,0.31214528944381387,0.5813881047942487,0.7177093900233759,0.13632128522912712
AAC(3),acquired,263,0.2985244040862656,0.8700657169320337,0.8727478719181405,0.0026821549861067995
Cat,acquired,233,0.264472190692395,0.5449736470692013,0.6947884047104486,0.1498147576412473
MphA,acquired,227,0.2576617480136209,0.5286491642041194,0.6931565077404842,0.16450734353636476
Mrx,acquired,222,0.25198637911464244,0.49775889824901864,0.6921090063070612,0.19435010805804254
QnrB,acquired,218,0.2474460839954597,0.6287324130022495,0.7258275261324042,0.09709511313015473
KPC,acquired,211,0.2395005675368899,0.4906827504079743,0.6688241520751556,0.17814140166718123
TetA,acquired,203,0.2304199772985244,0.6042401755391875,0.6637740925329687,0.05953391699378119
APH(3'),acquired,159,0.18047673098751418,0.5147173951395934,0.6308963304370838,0.11617893529749046
TetD,acquired,108,0.12258796821793416,0.5574444272923742,0.6126698054955233,0.0552253782031491
QnrS,acquired,104,0.11804767309875142,0.5292473426542584,0.6002293476822652,0.07098200502800678
Arr,acquired,97,0.11010215664018161,0.5274362678075243,0.5916315661800379,0.06419529837251359
NDM,acquired,89,0.10102156640181612,0.5628280333436245,0.5899583204692807,0.027130287125656127
ArmA,acquired,54,0.06129398410896708,0.5632084417589203,0.5516307943368765,-0.011577647422043813
MphE,acquired,43,0.04880817253121453,0.544182507828695,0.5491912186300886,0.005008710801393534
MsrE,acquired,43,0.04880817253121453,0.5444278436907335,0.5491581396374542,0.004730295946720697
CmlA,acquired,38,0.043132803632236094,0.5240484276452168,0.5402902130287126,0.016241785383495855
FloR,acquired,32,0.036322360953461974,0.5254625545803379,0.5324670312706744,0.007004476690336547
RmtB,acquired,25,0.028376844494892167,0.5015767653155735,0.522816235169585,0.021239469854011483
APH(4),acquired,19,0.021566401816118047,0.5197454020200238,0.5197454020200238,0.0
LAP,acquired,17,0.019296254256526674,0.5136313015480969,0.5172782604860406,0.003646958937943756
ANT(2''),acquired,17,0.019296254256526674,0.5039915317778856,0.5096149605257354,0.0056234287478498235
VEB,acquired,14,0.015891032917139614,0.5108802319940016,0.5109215807347947,4.1348740793090144e-05
CMY,acquired,10,0.011350737797956867,0.5004961848895162,0.5023155294844088,0.0018193445948926357
RmtF,acquired,9,0.01021566401816118,0.510056013760861,0.510056013760861,0.0
Erm,acquired,8,0.009080590238365494,0.4996885061526926,0.5009179420456049,0.0012294358929123006
