gene_family,amr_source,n_carriers,prevalence,esm_lr_auroc,esm_lr_auprc,frozen_lr_auroc,frozen_lr_auprc,ft_lr_auroc,ft_lr_auprc,delta_ft_minus_esm
GyrA,chromosomal,447,1.0,0.7191508182220256,0.6729983467499586,0.7794419203087934,0.7721406392858796,0.9898677174218969,0.9886822084981645,0.2707168991998713
PmrB,chromosomal,447,1.0,0.6679265007438382,0.580272923241467,0.7768485384584456,0.7265720923866638,0.9848015761328455,0.9734876944137015,0.3168750753890073
OmpK36,chromosomal,441,0.9865771812080537,0.7104961601865626,0.6896241138758802,0.7976156969965018,0.7784190208051616,0.9876362028064815,0.9818625734742977,0.27714004261991887
OmpK35,chromosomal,441,0.9865771812080537,0.7062040127055608,0.6466974023229256,0.8003498049937677,0.7388018835670908,0.9838164931044189,0.9688118210896692,0.2776124803988581
ParC,chromosomal,441,0.9865771812080537,0.6832053395520887,0.6025817476145777,0.7817538498653049,0.7514214564324458,0.981203007518797,0.973354799916151,0.29799766796670824
SHV-OKP-LEN,acquired,407,0.9105145413870246,0.5740722126171043,0.4913123812692448,0.7262675405090265,0.659382524089006,0.9829721362229102,0.9750532429505007,0.40889992360580596
Sul,acquired,268,0.5995525727069351,0.5799324514494794,0.5145875217074974,0.7024245104740461,0.6474950436582705,0.8981042177636605,0.8738400871899012,0.3181717663141811
AAC(6'),acquired,240,0.5369127516778524,0.7180350609143178,0.6798115825832102,0.774596920107756,0.766071765895183,0.8799304410759519,0.8643971859677835,0.16189538016163407
OXA,acquired,230,0.5145413870246085,0.7944895661613928,0.7797495660493694,0.7843371798480158,0.7743464981343724,0.8645309798560573,0.8685222888675159,0.07004141369466454
CTX-M,acquired,229,0.5123042505592841,0.6115455751678662,0.548027854891668,0.6457118732660528,0.5787225788689935,0.872944393068232,0.8413959738608857,0.2613988179003658
Dfr,acquired,198,0.4429530201342282,0.5856017047967512,0.5278009871184175,0.6832656507579109,0.6435631519463827,0.8298419846407463,0.8151483591426987,0.2442402798439951
ANT(3''),acquired,180,0.40268456375838924,0.5696996501950062,0.5302186061819286,0.680642113304652,0.6750163409714236,0.800560894214145,0.7965516459854193,0.23086124401913877
TEM,acquired,177,0.3959731543624161,0.4999296369265409,0.46497254038179875,0.7073499256161795,0.6796900169846303,0.7985806762896546,0.7914090184324217,0.29865103936311366
KPC,acquired,173,0.3870246085011186,0.8636966748421857,0.8864555712473184,0.8558964255558683,0.8746111489671693,0.8700494551887741,0.8851158492276396,0.006352780346588371
MphA,acquired,166,0.3713646532438479,0.5559889027381288,0.5047178120246073,0.5854107193116481,0.5640437035331138,0.7778537252221462,0.7797209942228899,0.2218648224840174
Cat,acquired,162,0.3624161073825503,0.6444051304732419,0.61496259066656,0.6623778698082105,0.64378595752921,0.7801757066462949,0.7922621706195598,0.135770576173053
Mrx,acquired,161,0.36017897091722595,0.5600498572634796,0.5193223465622364,0.5951409271842708,0.5904970421973164,0.7763962044147802,0.7737862106756813,0.21634634715130063
APH(3'),acquired,136,0.3042505592841163,0.5461782799244099,0.5238338797342771,0.5966386554621849,0.5646130274685333,0.7367918459249729,0.7304198812037419,0.190613566000563
AAC(3),acquired,130,0.29082774049217003,0.5156507579108198,0.46702070788405153,0.6113646415504,0.5692195414392861,0.7236238993204938,0.6884662964709329,0.20797314140967393
StrB,acquired,125,0.2796420581655481,0.5412629166499134,0.5017932328867734,0.6304330344578023,0.5879476072983739,0.7241968557758033,0.7009146241060346,0.18293393912588984
StrA,acquired,121,0.27069351230425054,0.5120019299585863,0.4707236168400122,0.6230047042740542,0.5838913067381991,0.7112701539946122,0.6861950412003178,0.19926822403602595
TetA,acquired,96,0.21476510067114093,0.5970407301676651,0.5224629102223503,0.6018354710305176,0.5404742212063726,0.6704897269912751,0.6136781935878551,0.07344899682360995
QnrB,acquired,76,0.17002237136465326,0.5630955731574926,0.5009583803403785,0.5603614651602267,0.5030745107859057,0.643098387680431,0.5941721475108156,0.08000281452293845
TetD,acquired,44,0.09843400447427293,0.5297434763379035,0.4797846782278067,0.5297535282055406,0.4787719118659993,0.5686140484902095,0.5244914507321518,0.03887057215230594
CmlA,acquired,33,0.0738255033557047,0.4726890756302521,0.4604333747353956,0.5182541916288047,0.5032849666049584,0.5578887057215232,0.5443770119554978,0.08519963009127107
QnrS,acquired,31,0.06935123042505593,0.4897068875397049,0.45786312047294064,0.49683366169434273,0.4834315815445544,0.547806682481605,0.5312988982250764,0.058099794941900096
Arr,acquired,30,0.06711409395973154,0.517339471673837,0.5184973623986168,0.55504402718025,0.5487524044026268,0.554883197298058,0.5477998496830639,0.037543725624221036
NDM,acquired,27,0.06040268456375839,0.554822886092236,0.5619627848605553,0.554822886092236,0.5619627848605553,0.5552953238711752,0.5620872834055689,0.00047243777893923866
MsrE,acquired,20,0.0447427293064877,0.5134594507659523,0.4945936905738737,0.5180330505407905,0.49170711131568934,0.5380865264766194,0.5247932339424948,0.024627075710667024
MphE,acquired,20,0.0447427293064877,0.513067427928109,0.4836623800381446,0.5127558200313618,0.4859262737615607,0.5379960596678863,0.5239580882269663,0.02492863173977733
ArmA,acquired,19,0.042505592841163314,0.5188874592899361,0.5033766653313484,0.5094387037111495,0.49608144559112266,0.5277230509428651,0.521896487665808,0.00883559165292902
