gene_family,amr_source,n_carriers,prevalence,esm_lr_auroc,ft_lr_auroc,delta_ft_minus_esm
PmrB,chromosomal,411,1.0,0.8428175839390794,0.9475250951886465,0.10470751124956712
GyrA,chromosomal,411,1.0,0.9523883696780893,0.9582554517133957,0.005867082035306392
OmpK36,chromosomal,407,0.9902676399026764,0.8609553478712357,0.9531671858774663,0.09221183800623056
ParC,chromosomal,406,0.9878345498783455,0.9537383177570095,0.9498269297334718,-0.003911388023537632
OmpK35,chromosomal,403,0.9805352798053528,0.8535652474904812,0.9419349255797855,0.0883696780893043
SHV-OKP-LEN,acquired,373,0.9075425790754258,0.8052959501557633,0.9445829006576669,0.13928695050190365
Sul,acquired,232,0.5644768856447688,0.6525614399446175,0.8055209415022501,0.1529595015576326
CTX-M,acquired,229,0.5571776155717761,0.571754932502596,0.7880408445829008,0.2162859120803048
AAC(6'),acquired,214,0.5206812652068127,0.6327275874004845,0.7904465212876428,0.1577189338871583
OXA,acquired,194,0.4720194647201946,0.5941675320179993,0.771270335756317,0.17710280373831766
Dfr,acquired,175,0.4257907542579075,0.7088092765662859,0.7334198684665973,0.02461059190031145
ANT(3''),acquired,162,0.39416058394160586,0.6361024575977847,0.727258566978193,0.0911561093804083
TEM,acquired,158,0.3844282238442822,0.5204395984769816,0.7578054690204223,0.23736587054344072
MphA,acquired,151,0.36739659367396593,0.6625822083766009,0.7257528556593977,0.06317064728279687
Cat,acquired,148,0.36009732360097324,0.6726375908618899,0.6868812737971617,0.014243682935271784
Mrx,acquired,146,0.35523114355231145,0.6482000692281065,0.7229837313949463,0.07478366216683985
KPC,acquired,138,0.3357664233576642,0.6289546555901696,0.6772412599515404,0.04828660436137078
AAC(3),acquired,131,0.31873479318734793,0.5425060574593285,0.6894946348217377,0.14698857736240922
StrB,acquired,119,0.2895377128953771,0.6061266874350987,0.648840429214261,0.04271374177916232
StrA,acquired,116,0.2822384428223844,0.6028729664243683,0.6683281412253375,0.06545517480096918
APH(3'),acquired,114,0.2773722627737226,0.5871928002769125,0.6508480443059883,0.06365524402907585
TetA,acquired,88,0.2141119221411192,0.5351678781585323,0.5897196261682243,0.05455174800969198
QnrB,acquired,69,0.1678832116788321,0.5683281412253375,0.6098823122187608,0.04155417099342329
TetD,acquired,42,0.10218978102189781,0.46555901696088614,0.5324506749740394,0.06689165801315328
Arr,acquired,41,0.09975669099756691,0.5048286604361371,0.5082727587400484,0.003444098303911347
CmlA,acquired,33,0.08029197080291971,0.5008480443059882,0.519055036344756,0.018206992038767855
QnrS,acquired,32,0.07785888077858881,0.4525441329179647,0.5211318795430945,0.06858774662512979
NDM,acquired,28,0.0681265206812652,0.4974731741086882,0.5052613361024576,0.007788161993769416
MsrE,acquired,25,0.06082725060827251,0.4997403946002077,0.5005884389061959,0.0008480443059881715
MphE,acquired,25,0.06082725060827251,0.4992731048805815,0.4964001384562132,-0.002872966424368295
ArmA,acquired,23,0.05596107055961071,0.4974039460020768,0.4954655590169609,-0.0019383869851159474
APH(4),acquired,18,0.043795620437956206,0.5235548632744893,0.5256836275527864,0.002128764278297113
ANT(2''),acquired,11,0.0267639902676399,0.4788508134302526,0.49250605745932846,0.013655244029075864
RmtF,acquired,8,0.019464720194647202,0.5074766355140187,0.5105919003115265,0.0031152647975077885
