gene_family,amr_source,n_carriers,prevalence,esm_lr_auroc,esm_lr_auprc,frozen_lr_auroc,frozen_lr_auprc,ft_lr_auroc,ft_lr_auprc,delta_ft_minus_esm
GyrA,chromosomal,826,1.0,0.7906128661510267,0.6589887436998538,0.8386854285093033,0.7609140927648927,0.9844562482527257,0.9626344056531893,0.19384338210169905
PmrB,chromosomal,826,1.0,0.7189388997608176,0.5561995947043393,0.8327710993073029,0.7439844092823423,0.988252104494766,0.9859253445651743,0.2693132047339484
OmpK36,chromosomal,819,0.9915254237288136,0.807802938527009,0.7337672705377001,0.8724691703165284,0.7954829378674442,0.9835026247942098,0.9757475816851849,0.17569968626720078
OmpK35,chromosomal,818,0.9903147699757869,0.7653309725716773,0.6878470032203639,0.8490510359394899,0.7639884529833179,0.9790109651166403,0.9665396852478116,0.21367999254496306
ParC,chromosomal,812,0.9830508474576272,0.7750504768117292,0.6191886364589552,0.8597645450874413,0.790831112613413,0.9877240393874445,0.9778837436884392,0.21267356257571524
SHV-OKP-LEN,acquired,777,0.940677966101695,0.5983195104525829,0.43379978162438676,0.7982356412884789,0.663867444357271,0.9736340198179729,0.9531886554981223,0.37531450936539
AAC(6'),acquired,422,0.5108958837772397,0.6991644146242973,0.6007942209451269,0.7904295964961326,0.745412976691237,0.8815239337744231,0.8682152690813909,0.18235951915012572
Sul,acquired,394,0.47699757869249393,0.5999534060199423,0.4615307337265372,0.6743888422949088,0.5893443556157976,0.8316435249899047,0.7855791572238026,0.2316901189699624
CTX-M,acquired,391,0.47336561743341404,0.5258534464013916,0.39712244621787074,0.6387071723666635,0.513716227567031,0.8250799863324326,0.755346026156736,0.299226539931041
OXA,acquired,338,0.4092009685230024,0.7032025595626378,0.6393140178461513,0.7319914267076694,0.6878052883825936,0.8046904606591496,0.7826243933546144,0.10148790109651185
TEM,acquired,332,0.4019370460048426,0.544522101077874,0.42164711556223683,0.6653371851023515,0.5953391250614134,0.7961420184512161,0.7511932226798639,0.2516199173733421
Dfr,acquired,285,0.3450363196125908,0.6230143198832044,0.5084649128925373,0.6667598546267823,0.5984894589178817,0.7906221849470382,0.761903839596682,0.16760786506383374
ANT(3''),acquired,274,0.33171912832929784,0.6413102227192247,0.5291948492701699,0.6741651911906316,0.5779717920341579,0.7828751591960985,0.7333121156701126,0.14156493647687385
StrB,acquired,263,0.31840193704600483,0.5261174789550523,0.41138011880204245,0.6095610847078557,0.48712838552673277,0.7313919174975926,0.650574259562844,0.20527443854254024
StrA,acquired,255,0.30871670702179177,0.5190507253129562,0.40014573801504455,0.6290249433106577,0.5166876615761268,0.7272139906190787,0.6387001534842731,0.2081632653061225
MphA,acquired,233,0.2820823244552058,0.6081756903674712,0.48257191327237586,0.6132668592551177,0.5616827401368176,0.753614139719815,0.708931973264892,0.14543844935234373
AAC(3),acquired,230,0.2784503631961259,0.5673345137141614,0.4465920323454808,0.6088155810269313,0.5086186039340318,0.6975056689342403,0.6139585382599184,0.13017115522007883
Cat,acquired,230,0.2784503631961259,0.6813406641195293,0.6186457009973395,0.6603143540521231,0.627515288706002,0.7528344671201814,0.7336191989643277,0.07149380300065211
Mrx,acquired,229,0.2772397094430993,0.6062622309197652,0.4799527877076894,0.6080265896312864,0.5599514029951116,0.7492933246357903,0.7101860559561188,0.14303109371602518
KPC,acquired,223,0.26997578692493945,0.8108781412108221,0.7945415977029043,0.8125959059422856,0.8043455765854444,0.8235734476438978,0.8300214887966333,0.012695306433075704
TetA,acquired,189,0.2288135593220339,0.5727207778088405,0.4186804528195164,0.5668002360761656,0.4131285783544268,0.6420153449507656,0.5073039814688802,0.06929456714192517
QnrB,acquired,188,0.22760290556900725,0.5279967694840494,0.3901648023838572,0.5728170720342932,0.4478200221753806,0.6656602366974187,0.5565915913645456,0.1376634672133693
APH(3'),acquired,163,0.1973365617433414,0.5434659708632311,0.4354146040180477,0.5830304724629579,0.4926058533093717,0.6645885751560898,0.6039812927757046,0.1211226042928587
QnrS,acquired,106,0.12832929782082325,0.5579691237225484,0.45103023907103573,0.5639704283539899,0.4902386749392865,0.6186313794924363,0.5605877926756548,0.06066225576988793
TetD,acquired,99,0.1198547215496368,0.5134283850526512,0.42755208637656483,0.5621719007237599,0.4721982838403322,0.5967508464573045,0.5042779605081935,0.08332246140465327
Arr,acquired,93,0.11259079903147699,0.5866616966421272,0.5187499827324432,0.5797657875935762,0.5234349048486391,0.6159475662411084,0.5713923922121313,0.029285869598981162
NDM,acquired,88,0.10653753026634383,0.6098530736495511,0.5566618665693392,0.6009536234585159,0.5534443345114373,0.6145186841860032,0.5779868787350713,0.004665610536452092
ArmA,acquired,52,0.06295399515738499,0.5229118131270774,0.41400634113782403,0.5078433199763924,0.41006907123205044,0.5526605162612991,0.47084729945542236,0.029748703134221732
MsrE,acquired,41,0.04963680387409201,0.5186220606964247,0.41768689587521196,0.5153263131736713,0.4059885354453544,0.5444817196284907,0.4638132905013782,0.025859658932065988
MphE,acquired,41,0.04963680387409201,0.5245239648370763,0.4183513921095003,0.5110086043549841,0.40752515689852065,0.5395303326810176,0.46094907469865964,0.01500636784394127
CmlA,acquired,37,0.044794188861985475,0.5018544404062996,0.38804567932885353,0.5102506756127109,0.3961755152255206,0.5320939334637964,0.4330377850264726,0.030239493057496847
FloR,acquired,31,0.03753026634382567,0.5073680613798031,0.4001095334108975,0.517736775075327,0.4213514316408796,0.5229863634951698,0.4355776150923879,0.015618302115366745
RmtB,acquired,26,0.031476997578692496,0.5338613984406548,0.44953594417337345,0.5345572018761843,0.45039713323128383,0.5338613984406548,0.4495359441733735,0.0
ANT(2''),acquired,20,0.024213075060532687,0.4976920448544715,0.3791833215832833,0.48889510141956327,0.38113054693008774,0.5199826049141117,0.40725909409902833,0.022290560059640252
APH(4),acquired,19,0.023002421307506054,0.5011710620321188,0.3829104908517763,0.515487838971205,0.40469462204644624,0.5182337775292766,0.4085905888611558,0.017062715497157765
LAP,acquired,17,0.020581113801452784,0.4975864318330072,0.38063903105525443,0.49632528810611,0.37966203026985657,0.5120864784269872,0.40171910840103864,0.014500046593979965
VEB,acquired,14,0.01694915254237288,0.49908054546019326,0.38070856232997907,0.48934240362811793,0.3755640361544138,0.4964868139036437,0.381280396192516,-0.002593731556549572
Erm,acquired,10,0.012106537530266344,0.5026154754139098,0.3894463207410216,0.5026776007206535,0.3962351844346471,0.5058397788339081,0.39900308300146364,0.0032243034199982423
RmtF,acquired,10,0.012106537530266344,0.5088808125990122,0.40590445590582486,0.5096511664026341,0.40613218829272196,0.5096511664026341,0.40613218829272196,0.0007703538036218927
CMY,acquired,9,0.010895883777239709,0.5013791818097102,0.3897021848414831,0.4911564625850341,0.3769233348333889,0.5060975988568943,0.39434273700993455,0.00471841704718412
