gene_family,amr_source,n_carriers,prevalence,esm_lr_auroc,ft_lr_auroc,delta_ft_minus_esm
PmrB,chromosomal,614,1.0,0.7442792020220257,0.963012276584221,0.21873307456219526
GyrA,chromosomal,614,1.0,0.8002516248420293,0.9664199313955587,0.16616830655352943
OmpK36,chromosomal,609,0.99185667752443,0.7989483661310705,0.9716216826141902,0.1726733164831198
OmpK35,chromosomal,606,0.9869706840390879,0.7741695251850513,0.965331061563459,0.19116153637840771
ParC,chromosomal,602,0.9804560260586319,0.8164097761328759,0.9565580429680447,0.1401482668351688
SHV-OKP-LEN,acquired,574,0.9348534201954397,0.7221350875609316,0.9521405037010291,0.2300054161400975
Sul,acquired,282,0.4592833876221498,0.6629637569958476,0.7422537912980683,0.0792900343022207
CTX-M,acquired,281,0.4576547231270358,0.6015018505145333,0.7724769814045855,0.17097513089005223
AAC(6'),acquired,258,0.4201954397394137,0.690868162123127,0.7712639916952518,0.08039582957212488
OXA,acquired,219,0.3566775244299674,0.6733841848709153,0.7268403592706264,0.053456174399711065
TEM,acquired,209,0.34039087947882735,0.573168667629536,0.704549557681892,0.13138089005235598
Dfr,acquired,202,0.3289902280130293,0.6335022115905399,0.7147499548654992,0.08124774327495932
ANT(3''),acquired,190,0.30944625407166126,0.6386136938075465,0.6978978606246614,0.0592841668171149
MphA,acquired,163,0.26547231270358307,0.6263540350243726,0.6564079707528435,0.030053935728470926
StrB,acquired,163,0.26547231270358307,0.5101439790575916,0.6485263585484744,0.13838237949088283
StrA,acquired,159,0.25895765472312704,0.513658828308359,0.6585462177288319,0.14488738942047297
Mrx,acquired,158,0.25732899022801303,0.6185739754468316,0.6441257447192634,0.025551769272431857
Cat,acquired,158,0.25732899022801303,0.6484530149846542,0.6499763043870734,0.0015232894024191923
AAC(3),acquired,158,0.25732899022801303,0.5780319100920743,0.6615702292832641,0.08353831919118981
KPC,acquired,144,0.23452768729641693,0.6731077360534393,0.6731303033038455,2.2567250406169137e-05
TetA,acquired,130,0.21172638436482086,0.4790575916230366,0.6179420924354578,0.1388845008124212
QnrB,acquired,120,0.19543973941368079,0.4864765751940784,0.6117925166997653,0.12531594150568692
APH(3'),acquired,116,0.18892508143322476,0.5733886983209966,0.5973156255641812,0.02392692724318457
TetD,acquired,59,0.09609120521172639,0.5278254197508576,0.5542347445387255,0.02640932478786784
Arr,acquired,51,0.08306188925081433,0.5383868929409641,0.5527735150749232,0.014386622133959137
QnrS,acquired,47,0.07654723127035831,0.4735624661491244,0.544491334175844,0.07092886802671966
ArmA,acquired,45,0.0732899022801303,0.5443333634230005,0.5453150388156707,0.0009816753926701338
NDM,acquired,43,0.07003257328990228,0.547656391045315,0.5501049377143888,0.0024485466690737923
CmlA,acquired,36,0.05863192182410423,0.5240961816212313,0.5291343202744178,0.005038138653186475
MsrE,acquired,35,0.057003257328990226,0.5359496298970934,0.5348776855027984,-0.0010719443942950324
MphE,acquired,35,0.057003257328990226,0.5339411446109407,0.5346632966239393,0.0007221520129986336
APH(4),acquired,19,0.030944625407166124,0.5122991514713847,0.512902825419751,0.0006036739483662457
ANT(2''),acquired,18,0.029315960912052116,0.5056079617259432,0.5177604260696876,0.012152464343744396
VEB,acquired,13,0.021172638436482084,0.5059126196064272,0.5032835349341036,-0.0026290846723235894
RmtF,acquired,10,0.016286644951140065,0.5102737407474274,0.5094161852319914,-0.0008575555154359815
CMY,acquired,9,0.014657980456026058,0.4976191550821448,0.5001805380032497,0.00256138292110486
FloR,acquired,9,0.014657980456026058,0.4956558042968045,0.4956840133598122,2.820906300771142e-05
