gene_family,amr_source,n_carriers,prevalence,esm_lr_auroc,esm_lr_auprc,frozen_lr_auroc,frozen_lr_auprc,ft_lr_auroc,ft_lr_auprc,delta_ft_minus_esm
GyrA,chromosomal,363,1.0,0.6008005600876659,0.6229105249101229,0.5968890782905152,0.6213514580028585,0.9316327773042739,0.9365443378880691,0.33083221721660794
PmrB,chromosomal,363,1.0,0.6295963716059905,0.630400645627906,0.5599354681602339,0.5680850151114691,0.9485876050164374,0.956084282234885,0.3189912334104469
OmpK35,chromosomal,360,0.9917355371900827,0.6554852063801291,0.6620277564400379,0.6383173018385487,0.6571660845682736,0.9419822233045172,0.9499193510393231,0.2864970169243881
ParC,chromosomal,358,0.9862258953168044,0.5591744794837453,0.5700797701687712,0.6862291489102642,0.6934692484460698,0.9297759649336419,0.9455847320403155,0.3706014854498966
OmpK36,chromosomal,357,0.9834710743801653,0.6220930232558141,0.6419743714950561,0.5842718860343358,0.6051562789703672,0.9348745890661146,0.9431561891628764,0.3127815658103006
SHV-OKP-LEN,acquired,335,0.9228650137741047,0.6457141117740168,0.6424152332630192,0.6492298794593936,0.6477258003104696,0.9199287714598807,0.9330284837172449,0.2742146596858639
Sul,acquired,219,0.6033057851239669,0.5515645927188604,0.5888551678693941,0.6094453914525751,0.6152221391482238,0.8606325337878972,0.8829135390215234,0.3090679410690368
CTX-M,acquired,201,0.5537190082644629,0.6843875563131621,0.6657209380765873,0.6277547790088884,0.6741134133711916,0.8379855107755996,0.8732708757063359,0.1535979544624375
AAC(6'),acquired,180,0.49586776859504134,0.6890600267868014,0.6925926480276119,0.6783909655424327,0.7167037908597749,0.795902836965786,0.8272103747722254,0.10684281017898456
OXA,acquired,172,0.4738292011019284,0.6537958115183247,0.6752988537306328,0.6519237793741629,0.6761414066716833,0.7757061974917814,0.8120684852089062,0.12191038597345671
Dfr,acquired,146,0.4022038567493113,0.5501034944600024,0.5747352282680871,0.6349841714355291,0.6360200644399884,0.7608973578473153,0.7825053526710726,0.21079386338731287
ANT(3''),acquired,142,0.39118457300275483,0.5568154145866309,0.5944540956004059,0.6176792889321807,0.6176970483128654,0.7381285766467796,0.775560529520732,0.1813131620601487
TEM,acquired,138,0.38016528925619836,0.5833434798490198,0.5858694774747722,0.5937081456227931,0.6504373037902804,0.7349324242055277,0.780498654454562,0.15158894435650794
AAC(3),acquired,123,0.33884297520661155,0.6369627419943992,0.6438050536338557,0.6305704371118958,0.6648010865824707,0.701129307195909,0.7544880740231809,0.06416656520150987
MphA,acquired,118,0.325068870523416,0.5327986119566541,0.5423409260884511,0.5278065262388896,0.5590032634207325,0.7234719347376112,0.7367886436987199,0.19067332278095706
Cat,acquired,117,0.32231404958677684,0.613630829173262,0.6148098499912031,0.6361865335443808,0.641927700369382,0.6918452453427494,0.7054272340368068,0.07821441616948743
KPC,acquired,115,0.3168044077134986,0.5680323876780714,0.5718988630219841,0.5682454645074883,0.5650669726032056,0.7007031535370754,0.7102919854418315,0.13267076585900395
Mrx,acquired,114,0.3140495867768595,0.5246255935711677,0.5385741644001089,0.5714416169487397,0.5856050844001998,0.7058322172166078,0.7247139277894435,0.18120662364544016
StrB,acquired,113,0.31129476584022037,0.6091714355290392,0.6306313957180492,0.576525021307683,0.6277398562555275,0.6970656276634604,0.749719622154533,0.08789419213442118
StrA,acquired,109,0.3002754820936639,0.6137373675879703,0.6411235157261673,0.5861895774990868,0.6469459473851342,0.7017380981370998,0.7501283305002296,0.08800073054912949
TetA,acquired,101,0.27823691460055094,0.7347193473761111,0.7948131911787717,0.7363326433702667,0.8028023532362782,0.7335017654937295,0.7937077031204849,-0.0012175818823816353
APH(3'),acquired,97,0.26721763085399447,0.5262693291123829,0.5553703430936793,0.5577894800925363,0.5796161030093175,0.673611956654085,0.6979871067999956,0.14734262754170213
QnrB,acquired,67,0.18457300275482094,0.5805126019724827,0.6205194506994105,0.5919122123462802,0.6438464962138442,0.6042858882259832,0.6627301090319294,0.023773286253500503
TetD,acquired,40,0.11019283746556474,0.5811366126872033,0.6429188487600666,0.5820193595519298,0.6523355508392964,0.5820193595519298,0.6523355508392964,0.0008827468647265579
CmlA,acquired,30,0.08264462809917356,0.5381864117861925,0.5602153054083645,0.4770942408376963,0.5091031021464373,0.5509253622306101,0.5786173403519791,0.01273895044441753
QnrS,acquired,28,0.07713498622589532,0.5109734567149641,0.5400735585819849,0.495966760014611,0.5438148478389215,0.5504231097041277,0.5821318778838505,0.039449652989163586
Arr,acquired,27,0.0743801652892562,0.5376537197126507,0.5718547715013851,0.5508797029100208,0.5885979739785921,0.5517320102276878,0.6048501907219505,0.014078290515037062
APH(4),acquired,14,0.03856749311294766,0.5167417508827468,0.5339714037756039,0.5166504322415681,0.5335661483055812,0.5273651528065263,0.5449198701421331,0.01062340192377953
NDM,acquired,14,0.03856749311294766,0.5167417508827469,0.563950357767695,0.5164677949592111,0.559453505800043,0.5217642761475709,0.5666875807820487,0.0050225252648240515
ArmA,acquired,13,0.03581267217630854,0.5099080725678802,0.5379554084549358,0.5047942286618775,0.5334929519227765,0.5161481797150859,0.5581060850962831,0.006240107147205687
MsrE,acquired,13,0.03581267217630854,0.49971082430293434,0.531017873638965,0.4999543406794107,0.5389804462612233,0.5109125776208451,0.5526888484426035,0.011201753317910734
MphE,acquired,13,0.03581267217630854,0.5100450505296481,0.5438579265302287,0.48963533422622674,0.5321430952632917,0.5056465359795447,0.546396286840741,-0.004398514550103427
ANT(2''),acquired,11,0.030303030303030304,0.49929989041763057,0.5366289588601622,0.4869262145379276,0.5224879791522256,0.4984019237793741,0.5353178137990883,-0.0008979666382564755
