gene_family,amr_source,n_carriers,prevalence,esm_lr_auroc,esm_lr_auprc,frozen_lr_auroc,frozen_lr_auprc,ft_lr_auroc,ft_lr_auprc,delta_ft_minus_esm
GyrA,chromosomal,499,1.0,0.7116008205942691,0.764652783053222,0.778820064853418,0.8271484886954977,0.9522533253920984,0.9529354660920228,0.2406525047978293
PmrB,chromosomal,499,1.0,0.6826318575871883,0.7134293351569568,0.7305108861094567,0.7694280760988577,0.9614188339620143,0.9652637820753196,0.2787869763748261
OmpK36,chromosomal,492,0.9859719438877755,0.7085732248031237,0.7520430711570558,0.7501240817947191,0.7926944040148882,0.9505409966249752,0.9581817908483966,0.24196777182185147
OmpK35,chromosomal,492,0.9859719438877755,0.7408096750711402,0.7969221072904652,0.781930381841043,0.8007299268996564,0.9551154787902852,0.9527959313088585,0.2143058037191451
ParC,chromosomal,483,0.9679358717434869,0.7400072794652903,0.7791259346343997,0.7441019786910198,0.8051797390123803,0.9464545695188935,0.9568608235372564,0.20644729005360318
SHV-OKP-LEN,acquired,457,0.9158316633266533,0.687901197802925,0.7273100633876352,0.6895804380914566,0.7539305499600585,0.9279498378664549,0.9202467315540397,0.24004864006352988
Sul,acquired,269,0.5390781563126252,0.6791741115743498,0.7253143382086249,0.7044454370988023,0.773777080982617,0.8477350936403947,0.8976545839876209,0.16856098206604486
CTX-M,acquired,249,0.49899799599198397,0.5754417311892,0.6334889538274836,0.620433789954338,0.6869257100470876,0.8235143273112302,0.8648193106116309,0.24807259612203025
AAC(6'),acquired,245,0.4909819639278557,0.8591754351134935,0.8827481100531891,0.8656442326781815,0.9172991552378834,0.8641883396201444,0.9108929241386656,0.005012904506650928
OXA,acquired,200,0.40080160320641284,0.7272930315664086,0.7967562848077246,0.7583962014426576,0.8303999685130063,0.7877456819535438,0.848824096196445,0.06045265038713521
TEM,acquired,198,0.3967935871743487,0.5889583746939315,0.6468330345230484,0.6395754748196678,0.7202061541784182,0.7313960029117861,0.7773331458102928,0.14243762821785455
Dfr,acquired,169,0.33867735470941884,0.638748262854874,0.7143258115232104,0.6259595658791609,0.7267267214496441,0.7202948183442525,0.8093965447743534,0.0815465554893785
StrB,acquired,167,0.3346693386773547,0.6491959499702205,0.7130218155784918,0.6197802925021508,0.7008115111161273,0.7484944742240751,0.8164271387956985,0.09929852425385466
StrA,acquired,164,0.3286573146292585,0.6533071934352458,0.7163178523731022,0.6296572033617893,0.7121764209246468,0.7409503011051551,0.8055348452790204,0.08764310766990935
AAC(3),acquired,158,0.3166332665330661,0.6546969095360995,0.7344000534060275,0.6758239031169347,0.7675928518728004,0.7062901197802927,0.7982384915025978,0.051593210244193166
ANT(3''),acquired,157,0.31462925851703405,0.6526867844616504,0.7358105197731889,0.6217407848587122,0.7228531330628662,0.6990354708490504,0.7962246983959798,0.04634868638739997
MphA,acquired,139,0.2785571142284569,0.6189613526570048,0.6938841075774369,0.5823406789755807,0.7105811623543372,0.6545976441003243,0.7628394728086094,0.03563629144331948
Cat,acquired,135,0.27054108216432865,0.6022599430878168,0.7179045943002578,0.6153381642512077,0.7121379446985872,0.6878681093243333,0.7829198338656949,0.08560816623651646
Mrx,acquired,134,0.2685370741482966,0.6159503011051553,0.6910214057081346,0.5906210707431673,0.7051334021303519,0.6643918337634835,0.7660421912090012,0.04844153265832829
KPC,acquired,127,0.2545090180360721,0.5519654556283502,0.6355201010581014,0.6039557276156444,0.6914529807744086,0.6632006485341805,0.7550288544139223,0.11123519290583028
QnrB,acquired,125,0.250501002004008,0.6085136655416584,0.6895861153299131,0.6187131890675667,0.7141201338872027,0.670926808285355,0.7642233485855408,0.06241314274369658
TetA,acquired,116,0.23246492985971945,0.6076285487393289,0.6957886701388748,0.611400635298789,0.7173130396456627,0.6539193302891932,0.7527307388295336,0.046290781549864324
APH(3'),acquired,108,0.21643286573146292,0.6041956190854345,0.6914773571251214,0.6160164780623387,0.7310967838781125,0.6417262259281318,0.7376018350626629,0.03753060684269727
TetD,acquired,42,0.0841683366733467,0.5153199655879823,0.5922629986702768,0.5292088544768712,0.6084486611974487,0.5618837270862286,0.6365469430664029,0.04656376149824626
CmlA,acquired,38,0.07615230460921844,0.5437264244590034,0.6508320073165916,0.54366024750182,0.6487649702635142,0.5474985110184634,0.6569088900535892,0.0037720865594599307
ArmA,acquired,35,0.07014028056112225,0.5338246972404208,0.633847008066049,0.5348669843160612,0.6401845664346358,0.5340066838726756,0.6392375621056754,0.0001819866322547714
QnrS,acquired,30,0.06012024048096192,0.4956819535437761,0.5808319715715339,0.492588180795447,0.5767780502248799,0.5431804645622395,0.6253122728384203,0.04749851101846336
Arr,acquired,27,0.05410821643286573,0.5299202567665938,0.6329648782430917,0.5313761498246311,0.6339219136398924,0.5263301568393886,0.6317498794774132,-0.0035900999272052703
NDM,acquired,26,0.052104208416833664,0.5127473363774734,0.6062739331133042,0.5218797564687976,0.6186371224287708,0.5352309575805704,0.6330866234829767,0.022483621203096993
MsrE,acquired,21,0.04208416833667335,0.5181076699093375,0.6237716394165745,0.5181076699093375,0.6237716394165745,0.5187859837204685,0.6238563459217694,0.0006783138111309261
MphE,acquired,21,0.04208416833667335,0.5181076699093375,0.6237716394165744,0.5181076699093375,0.6237716394165745,0.5181076699093375,0.6237716394165745,0.0
APH(4),acquired,19,0.03807615230460922,0.5188935212758917,0.6219743626186268,0.5188935212758917,0.6219743626186269,0.5182152074647608,0.6215815595622493,-0.0006783138111309261
VEB,acquired,15,0.03006012024048096,0.5121682880021177,0.6061531513554399,0.5088180795447024,0.6064222140618432,0.5123089140361327,0.6110144715421026,0.00014062603401499008
ANT(2''),acquired,13,0.026052104208416832,0.5149229038448813,0.6059847394131428,0.5115644232678181,0.6028507629104197,0.5115478790285223,0.6028467038710645,-0.0033750248163589847
CMY,acquired,9,0.018036072144288578,0.49962775461584275,0.591733981395787,0.49829594335252464,0.5921241349730031,0.511183905764013,0.6012578687832486,0.011556151148170213
