gene_family,amr_source,n_carriers,prevalence,esm_lr_auroc,ft_lr_auroc,delta_ft_minus_esm
GyrA,chromosomal,743,1.0,0.7486052998605299,0.9771119744969118,0.22850667463638186
PmrB,chromosomal,743,1.0,0.6262452679816698,0.9787059175134488,0.352460649531779
OmpK35,chromosomal,735,0.9892328398384926,0.6573188550175998,0.9777180049146577,0.32039914989705787
OmpK36,chromosomal,735,0.9892328398384926,0.6971964866839344,0.962816298067344,0.2656198113834096
ParC,chromosomal,729,0.9811574697173621,0.7282576210400479,0.9778425317128245,0.24958491067277666
SHV-OKP-LEN,acquired,696,0.9367429340511441,0.6735654512851166,0.9722429766885834,0.2986775254034668
Sul,acquired,384,0.5168236877523553,0.7999144915985921,0.830361293750415,0.030446802151822938
CTX-M,acquired,371,0.4993270524899058,0.7212799694494255,0.8173482433419672,0.09606827389254169
AAC(6'),acquired,356,0.4791386271870794,0.7826509264793784,0.8241017466958889,0.041450820216510476
OXA,acquired,303,0.4078061911170929,0.6958432954771867,0.7716344557348741,0.0757911602576874
TEM,acquired,297,0.3997308209959623,0.6387311549445441,0.7515814903367205,0.11285033539217637
StrB,acquired,254,0.34185733512786004,0.7147713687985655,0.7206324300989573,0.005861061300391768
Dfr,acquired,250,0.3364737550471063,0.7258542538354255,0.7286810121538155,0.002826758318390077
StrA,acquired,248,0.33378196500672946,0.7187437736600916,0.7160166367802352,-0.0027271368798563733
ANT(3''),acquired,233,0.3135935397039031,0.6622252108653782,0.6864456731088532,0.02422046224347496
Cat,acquired,204,0.27456258411843876,0.6620301188815834,0.675146941621837,0.013116822740253609
AAC(3),acquired,201,0.27052489905787347,0.616561233977552,0.6650768745434018,0.04851564056584978
MphA,acquired,195,0.26244952893674295,0.6699458723517301,0.6729718735471873,0.003026001195457262
Mrx,acquired,190,0.2557200538358008,0.6666625157733944,0.6685594739988047,0.0018969582254102502
QnrB,acquired,176,0.23687752355316286,0.6370583449558345,0.6563849040313475,0.01932655907551306
KPC,acquired,174,0.23418573351278602,0.5555763100219168,0.6515906223019194,0.09601431228000268
TetA,acquired,167,0.22476446837146702,0.626129042970047,0.6420062097363353,0.015877166766288253
APH(3'),acquired,151,0.2032301480484522,0.6079688849040314,0.6199110048482434,0.011942119944211904
TetD,acquired,74,0.09959623149394348,0.5115892940160722,0.5606113435611343,0.04902204954506206
ArmA,acquired,57,0.07671601615074024,0.5333690310154745,0.5398361227336123,0.006467091718137752
QnrS,acquired,54,0.07267833109017496,0.500124526798167,0.537561433220429,0.03743690642226205
NDM,acquired,52,0.06998654104979811,0.5213438932058179,0.5332735604702131,0.01192966726439526
Arr,acquired,51,0.06864064602960969,0.5294215315135817,0.5302351065949392,0.0008135750813574871
MphE,acquired,45,0.06056527590847914,0.5272713687985654,0.5355440990901242,0.008272730291558839
MsrE,acquired,45,0.06056527590847914,0.5272298598658431,0.5355440990901242,0.008314239224281095
CmlA,acquired,41,0.05518169582772544,0.5272174071860264,0.5316090522680481,0.004391645082021722
ANT(2''),acquired,20,0.026917900403768506,0.5041135352327821,0.49380271634455736,-0.010310818888224771
APH(4),acquired,18,0.024226110363391656,0.5060104934581922,0.5042961745367602,-0.0017143189214319232
VEB,acquired,15,0.020188425302826378,0.5097338447233845,0.5058569104071197,-0.0038769343162647907
CMY,acquired,10,0.013458950201884253,0.49443365212193663,0.4984766221690907,0.004042970047154093
LAP,acquired,9,0.012113055181695828,0.5021833698611942,0.5021750680746497,-8.301786544429035e-06
RmtF,acquired,9,0.012113055181695828,0.5021211064621106,0.5041052334462377,0.001984126984127088
RmtB,acquired,8,0.010767160161507403,0.5011165902902305,0.5011165902902305,0.0
