gene_label,amr_source,n_carriers_reliable,n_carriers_bakta,carrier_recovery,prevalence,esm_lr_auroc_reliable,esm_lr_auroc_bakta,delta_auroc
GyrA,chromosomal,652,652,0,1.0,0.7832245969253843,0.7832245969253843,0.0
PmrB,chromosomal,652,649,3,1.0,0.7172328458942632,0.7185751781027371,-0.0013423322084739064
OmpK35,chromosomal,643,372,271,0.9861963190184049,0.7885114360704912,0.667896512935883,0.1206149231346082
OmpK36,chromosomal,643,336,307,0.9861963190184049,0.776572928383952,0.6626096737907762,0.1139632545931758
ParC,chromosomal,638,638,0,0.9785276073619632,0.7287739032620921,0.7287739032620921,0.0
SHV-OKP-LEN,acquired,620,0,620,0.950920245398773,0.6468916385451818,,
CTX-M,acquired,363,363,0,0.5567484662576687,0.48026246719160104,0.48026246719160104,0.0
AAC(6'),acquired,349,347,2,0.5352760736196319,0.7631796025496814,0.7656017997750281,-0.002422197225346645
Sul,acquired,338,338,0,0.5184049079754601,0.6172703412073492,0.6172703412073492,0.0
TEM,acquired,299,299,0,0.45858895705521474,0.5115260592425946,0.5115260592425946,0.0
OXA,acquired,264,264,0,0.4049079754601227,0.5925159355080614,0.5925159355080614,0.0
StrB,acquired,247,0,247,0.37883435582822084,0.5313835770528684,,
StrA,acquired,242,0,242,0.37116564417177916,0.5274240719910012,,
Dfr,acquired,226,226,0,0.34662576687116564,0.7078065241844769,0.7078065241844769,0.0
ANT(3''),acquired,212,161,51,0.32515337423312884,0.6995800524934381,0.6227071616047993,0.0768728908886388
AAC(3),acquired,206,206,0,0.3159509202453988,0.5747356580427447,0.5747356580427447,0.0
QnrB,acquired,184,184,0,0.2822085889570552,0.5372853393325834,0.5372853393325834,0.0
Cat,acquired,177,177,0,0.2714723926380368,0.7152230971128608,0.7152230971128608,0.0
MphA,acquired,170,170,0,0.2607361963190184,0.6335058117735284,0.6335058117735284,0.0
Mrx,acquired,169,0,169,0.25920245398773006,0.620824896887889,,
KPC,acquired,164,164,0,0.25153374233128833,0.5747506561679788,0.5747506561679788,0.0
TetA,acquired,162,162,0,0.24846625766871167,0.5615298087739032,0.5615298087739032,0.0
APH(3'),acquired,122,121,1,0.18711656441717792,0.5853468316460443,0.5840869891263593,0.0012598425196850283
TetD,acquired,93,93,0,0.14263803680981596,0.4895988001499813,0.4895988001499813,0.0
Arr,acquired,85,85,0,0.1303680981595092,0.5310611173603299,0.5310611173603299,0.0
QnrS,acquired,79,79,0,0.12116564417177914,0.5088113985751781,0.5088113985751781,0.0
NDM,acquired,74,74,0,0.11349693251533742,0.6413498312710911,0.6413498312710911,0.0
ArmA,acquired,58,58,0,0.08895705521472393,0.6828421447319085,0.6828421447319085,0.0
MphE,acquired,46,46,0,0.0705521472392638,0.6269141357330333,0.6269141357330333,0.0
MsrE,acquired,46,46,0,0.0705521472392638,0.6231496062992126,0.6231496062992126,0.0
CmlA,acquired,31,31,0,0.04754601226993865,0.5032020997375328,0.5032020997375328,0.0
FloR,acquired,29,29,0,0.04447852760736196,0.4733483314585677,0.4733483314585677,0.0
ANT(2''),acquired,21,18,3,0.032208588957055216,0.5020472440944882,0.5036970378702663,-0.001649793775778119
RmtB,acquired,16,16,0,0.024539877300613498,0.5303787026621671,0.5303787026621671,0.0
VEB,acquired,15,15,0,0.023006134969325152,0.5242219722534683,0.5242219722534683,0.0
APH(4),acquired,13,12,1,0.019938650306748466,0.4733408323959505,0.47125609298837645,0.002084739407574032
LAP,acquired,11,11,0,0.01687116564417178,0.49923509561304835,0.49923509561304835,0.0
CMY,acquired,10,10,0,0.015337423312883436,0.5159955005624297,0.5159955005624297,0.0
Erm,acquired,9,9,0,0.013803680981595092,0.5086464191976003,0.5086464191976003,0.0
RmtF,acquired,8,7,1,0.012269938650306749,0.5092763404574427,,
