gene_label,amr_source,n_carriers_reliable,n_carriers_bakta,carrier_recovery,prevalence,esm_lr_auroc_reliable,esm_lr_auroc_bakta,delta_auroc
PmrB,chromosomal,407,405,2,1.0,0.7330887781469178,0.7361111111111112,-0.0030223329641934082
GyrA,chromosomal,407,407,0,1.0,0.8656792174234033,0.8656792174234033,0.0
ParC,chromosomal,404,404,0,0.9926289926289926,0.8329411221853084,0.8329411221853084,0.0
OmpK36,chromosomal,403,247,156,0.9901719901719902,0.7767165005537098,0.6730574012550757,0.10365909929863404
OmpK35,chromosomal,401,191,210,0.9852579852579852,0.846922296050203,0.8467838685861941,0.00013842746400882788
SHV-OKP-LEN,acquired,380,0,380,0.9336609336609336,0.7177233296419344,,
CTX-M,acquired,218,218,0,0.5356265356265356,0.7823689553340716,0.7823689553340716,0.0
Sul,acquired,218,218,0,0.5356265356265356,0.7294204503506829,0.7294204503506829,0.0
OXA,acquired,194,194,0,0.47665847665847666,0.770279623477298,0.770279623477298,0.0
AAC(6'),acquired,192,191,1,0.47174447174447176,0.7622046880767812,0.7627814691768181,-0.0005767811000368939
TEM,acquired,148,148,0,0.36363636363636365,0.6858619416758952,0.6858619416758952,0.0
Dfr,acquired,147,147,0,0.36117936117936117,0.6382890365448505,0.6382890365448505,0.0
ANT(3''),acquired,143,113,30,0.35135135135135137,0.6466177556293836,0.6154485049833888,0.03116925064599485
AAC(3),acquired,128,128,0,0.3144963144963145,0.6741648209671465,0.6741648209671465,0.0
StrB,acquired,126,0,126,0.3095823095823096,0.6222083794758213,,
MphA,acquired,123,123,0,0.3022113022113022,0.6356127722406792,0.6356127722406792,0.0
Cat,acquired,122,122,0,0.29975429975429974,0.6580380214101144,0.6580380214101144,0.0
StrA,acquired,122,0,122,0.29975429975429974,0.6118032484311555,,
Mrx,acquired,119,0,119,0.29238329238329236,0.6320828719084534,,
KPC,acquired,111,111,0,0.2727272727272727,0.6483711701734958,0.6483711701734958,0.0
APH(3'),acquired,102,101,1,0.25061425061425063,0.6096114802510151,0.6081349206349207,0.0014765596160943861
TetA,acquired,98,98,0,0.24078624078624078,0.5794804355850869,0.5794804355850869,0.0
QnrB,acquired,70,70,0,0.171990171990172,0.5539174972314508,0.5539174972314508,0.0
TetD,acquired,45,45,0,0.11056511056511056,0.5263935031376893,0.5263935031376893,0.0
Arr,acquired,29,29,0,0.07125307125307126,0.5281238464378,0.5281238464378,0.0
CmlA,acquired,21,21,0,0.051597051597051594,0.5019610557401256,0.5019610557401256,0.0
NDM,acquired,19,19,0,0.04668304668304668,0.5116048357327427,0.5116048357327427,0.0
QnrS,acquired,18,18,0,0.044226044226044224,0.4834348468069398,0.4834348468069398,0.0
MsrE,acquired,16,16,0,0.03931203931203931,0.5077519379844961,0.5077519379844961,0.0
MphE,acquired,16,16,0,0.03931203931203931,0.506298449612403,0.506298449612403,0.0
ArmA,acquired,15,15,0,0.036855036855036855,0.5092284976005906,0.5092284976005906,0.0
ANT(2''),acquired,10,10,0,0.02457002457002457,0.485718899963086,0.485718899963086,0.0
APH(4),acquired,8,8,0,0.019656019656019656,0.5011766334440753,0.5011766334440753,0.0
