gene_label,amr_source,n_carriers_reliable,n_carriers_bakta,carrier_recovery,prevalence,esm_lr_auroc_reliable,esm_lr_auroc_bakta,delta_auroc
GyrA,chromosomal,335,335,0,1.0,0.6432857142857142,0.6432857142857142,0.0
OmpK35,chromosomal,335,131,204,1.0,0.6918095238095238,0.6644285714285715,0.027380952380952284
PmrB,chromosomal,335,333,2,1.0,0.5551904761904762,0.548047619047619,0.0071428571428572285
OmpK36,chromosomal,331,216,115,0.9880597014925373,0.404,0.4371428571428571,-0.033142857142857085
ParC,chromosomal,330,330,0,0.9850746268656716,0.5712857142857144,0.5712857142857144,0.0
SHV-OKP-LEN,acquired,301,0,301,0.8985074626865671,0.6075714285714285,,
Sul,acquired,201,201,0,0.6,0.5907619047619048,0.5907619047619048,0.0
CTX-M,acquired,175,175,0,0.5223880597014925,0.5472857142857143,0.5472857142857143,0.0
AAC(6'),acquired,162,161,1,0.4835820895522388,0.5795714285714285,0.583095238095238,-0.0035238095238094846
OXA,acquired,153,153,0,0.45671641791044776,0.6039047619047619,0.6039047619047619,0.0
Dfr,acquired,139,139,0,0.41492537313432837,0.527,0.527,0.0
ANT(3''),acquired,136,121,15,0.4059701492537313,0.4188095238095238,0.3731904761904762,0.045619047619047615
Cat,acquired,118,118,0,0.3522388059701492,0.5920952380952381,0.5920952380952381,0.0
KPC,acquired,118,118,0,0.3522388059701492,0.5907619047619048,0.5907619047619048,0.0
MphA,acquired,117,117,0,0.3492537313432836,0.5121428571428572,0.5121428571428572,0.0
AAC(3),acquired,114,114,0,0.3402985074626866,0.5258095238095238,0.5258095238095238,0.0
Mrx,acquired,112,0,112,0.33432835820895523,0.5054761904761904,,
TEM,acquired,112,112,0,0.33432835820895523,0.5933333333333333,0.5933333333333333,0.0
APH(3'),acquired,91,91,0,0.2716417910447761,0.48166666666666663,0.48166666666666663,0.0
TetA,acquired,81,81,0,0.2417910447761194,0.385047619047619,0.385047619047619,0.0
StrB,acquired,81,0,81,0.2417910447761194,0.451,,
StrA,acquired,80,0,80,0.23880597014925373,0.4224285714285714,,
QnrB,acquired,49,49,0,0.14626865671641792,0.5358571428571429,0.5358571428571429,0.0
TetD,acquired,37,37,0,0.11044776119402985,0.5179523809523809,0.5179523809523809,0.0
CmlA,acquired,24,24,0,0.07164179104477612,0.5078095238095238,0.5078095238095238,0.0
QnrS,acquired,18,18,0,0.05373134328358209,0.45714285714285713,0.45714285714285713,0.0
APH(4),acquired,17,16,1,0.050746268656716415,0.5016190476190476,0.5012857142857142,0.00033333333333340764
Arr,acquired,15,15,0,0.04477611940298507,0.47352380952380946,0.47352380952380946,0.0
ANT(2''),acquired,13,12,1,0.03880597014925373,0.5183333333333333,0.518,0.0003333333333332966
