gene_label,amr_source,n_carriers_reliable,n_carriers_bakta,carrier_recovery,prevalence,esm_lr_auroc_reliable,esm_lr_auroc_bakta,delta_auroc
PmrB,chromosomal,562,560,2,1.0,0.6539394787802432,0.6611954924056834,-0.007256013625440261
GyrA,chromosomal,562,562,0,1.0,0.7710389398287488,0.7710389398287488,0.0
ParC,chromosomal,557,557,0,0.9911032028469751,0.7943001796504983,0.7943001796504983,0.0
OmpK35,chromosomal,556,283,273,0.9893238434163701,0.7470660973845686,0.7509040852989898,-0.003837987914421137
OmpK36,chromosomal,555,318,237,0.9875444839857651,0.7070180350435126,0.6053171881197359,0.10170084692377668
SHV-OKP-LEN,acquired,519,0,519,0.9234875444839857,0.6969972702456779,,
AAC(6'),acquired,312,311,1,0.5551601423487544,0.7365787079162875,0.7357854459765287,0.0007932619397588159
CTX-M,acquired,296,296,0,0.5266903914590747,0.724143160448893,0.724143160448893,0.0
Sul,acquired,292,292,0,0.5195729537366548,0.6522129674995916,0.6522129674995916,0.0
OXA,acquired,231,231,0,0.4110320284697509,0.6559926273302071,0.6559926273302071,0.0
Dfr,acquired,227,227,0,0.40391459074733094,0.6160612211567625,0.6160612211567625,0.0
TEM,acquired,224,224,0,0.398576512455516,0.6564475863838921,0.6564475863838921,0.0
ANT(3''),acquired,215,174,41,0.38256227758007116,0.5870255010382398,0.5806560742866476,0.006369426751592244
AAC(3),acquired,194,194,0,0.34519572953736655,0.6226522946268169,0.6226522946268169,0.0
StrB,acquired,183,0,183,0.32562277580071175,0.6165161802104477,,
StrA,acquired,177,0,177,0.31494661921708184,0.6031823802524439,,
Cat,acquired,176,176,0,0.31316725978647686,0.6313431791138797,0.6313431791138797,0.0
MphA,acquired,174,174,0,0.3096085409252669,0.6025057744802967,0.6025057744802967,0.0
Mrx,acquired,169,0,169,0.30071174377224197,0.5979095214764004,,
KPC,acquired,165,165,0,0.29359430604982206,0.6320431161195492,0.6320431161195492,0.0
TetA,acquired,133,133,0,0.23665480427046262,0.5291640419028953,0.5291640419028953,0.0
QnrB,acquired,130,130,0,0.2313167259786477,0.5993793891883064,0.5993793891883064,0.0
APH(3'),acquired,118,118,0,0.2099644128113879,0.5624227152889574,0.5624227152889574,0.0
TetD,acquired,87,87,0,0.15480427046263345,0.477648678285621,0.477648678285621,0.0
Arr,acquired,78,78,0,0.1387900355871886,0.5427428198128835,0.5427428198128835,0.0
QnrS,acquired,75,75,0,0.13345195729537365,0.5269592403350365,0.5269592403350365,0.0
NDM,acquired,70,70,0,0.12455516014234876,0.5442010219080283,0.5442010219080283,0.0
ArmA,acquired,39,39,0,0.0693950177935943,0.5299223069923706,0.5299223069923706,0.0
CmlA,acquired,37,37,0,0.06583629893238434,0.5107556986537878,0.5107556986537878,0.0
FloR,acquired,30,30,0,0.05338078291814947,0.500886586873848,0.500886586873848,0.0
MphE,acquired,27,27,0,0.04804270462633452,0.5131121532395417,0.5131121532395417,0.0
MsrE,acquired,27,27,0,0.04804270462633452,0.5132171437903922,0.5132171437903922,0.0
RmtB,acquired,26,26,0,0.046263345195729534,0.5012832178437274,0.5012832178437274,0.0
ANT(2''),acquired,19,18,1,0.033807829181494664,0.5108840204381606,0.5093908214927323,0.00149319894542832
APH(4),acquired,19,18,1,0.033807829181494664,0.49991834068267194,0.4992650661440471,0.0006532745386248484
VEB,acquired,15,15,0,0.026690391459074734,0.5104173957677143,0.5104173957677143,0.0
LAP,acquired,13,13,0,0.023131672597864767,0.5091108466904646,0.5091108466904646,0.0
CMY,acquired,9,9,0,0.01601423487544484,0.5031263852919904,0.5031263852919904,0.0
