gene_label,amr_source,n_carriers_reliable,n_carriers_bakta,carrier_recovery,prevalence,esm_lr_auroc_reliable,esm_lr_auroc_bakta,delta_auroc
PmrB,chromosomal,545,542,3,1.0,0.688180587032226,0.6871579791056327,0.0010226079265932553
GyrA,chromosomal,545,545,0,1.0,0.7200058039909346,0.7200058039909346,0.0
OmpK36,chromosomal,541,309,232,0.9926605504587156,0.830343817367752,0.6817823779780001,0.14856143938975186
OmpK35,chromosomal,539,284,255,0.9889908256880734,0.7491501298988447,0.7180435022939585,0.03110662760488614
ParC,chromosomal,533,533,0,0.9779816513761468,0.7282903100989442,0.7282903100989442,0.0
SHV-OKP-LEN,acquired,510,0,510,0.9357798165137615,0.6233969929799348,,
AAC(6'),acquired,301,299,2,0.5522935779816514,0.6088593775910673,0.6045754795202034,0.004283898070863934
CTX-M,acquired,276,276,0,0.5064220183486239,0.5439652313304959,0.5439652313304959,0.0
Sul,acquired,270,270,0,0.4954128440366973,0.5871704162290641,0.5871704162290641,0.0
OXA,acquired,230,230,0,0.42201834862385323,0.6931277983527722,0.6931277983527722,0.0
TEM,acquired,223,223,0,0.4091743119266055,0.5016306450721353,0.5016306450721353,0.0
Dfr,acquired,198,198,0,0.363302752293578,0.620861201702504,0.620861201702504,0.0
ANT(3''),acquired,194,154,40,0.3559633027522936,0.5724807915538113,0.5705392183958875,0.0019415731579237594
StrB,acquired,188,0,188,0.344954128440367,0.5707948703775358,,
AAC(3),acquired,185,185,0,0.3394495412844037,0.5202517826543585,0.5202517826543585,0.0
StrA,acquired,184,0,184,0.3376146788990826,0.5699035431982754,,
KPC,acquired,174,174,0,0.3192660550458716,0.7203443701287933,0.7203443701287933,0.0
Cat,acquired,166,166,0,0.30458715596330277,0.6378033276214693,0.6378033276214693,0.0
MphA,acquired,164,164,0,0.30091743119266057,0.5714927311923055,0.5714927311923055,0.0
Mrx,acquired,159,0,159,0.29174311926605506,0.5695235199823117,,
TetA,acquired,135,135,0,0.24770642201834864,0.5833010889392516,0.5833010889392516,0.0
QnrB,acquired,122,122,0,0.22385321100917432,0.5756038914377315,0.5756038914377315,0.0
APH(3'),acquired,118,117,1,0.21651376146788992,0.5306298712066773,0.5287504836659112,0.0018793875407661087
QnrS,acquired,81,81,0,0.14862385321100918,0.5367516997402022,0.5367516997402022,0.0
Arr,acquired,75,75,0,0.13761467889908258,0.5734273948372118,0.5734273948372118,0.0
TetD,acquired,74,74,0,0.13577981651376148,0.530823337571168,0.530823337571168,0.0
NDM,acquired,66,66,0,0.12110091743119267,0.5709054225858162,0.5709054225858162,0.0
CmlA,acquired,30,30,0,0.05504587155963303,0.5028812669283068,0.5028812669283068,0.0
FloR,acquired,27,27,0,0.04954128440366973,0.504905754242441,0.504905754242441,0.0
RmtB,acquired,25,25,0,0.045871559633027525,0.5303258526339064,0.5303258526339064,0.0
ArmA,acquired,23,23,0,0.04220183486238532,0.4670485324194351,0.4670485324194351,0.0
MphE,acquired,16,16,0,0.029357798165137616,0.5113937869658947,0.5113937869658947,0.0
MsrE,acquired,16,16,0,0.029357798165137616,0.5114076059919297,0.5114076059919297,0.0
ANT(2''),acquired,13,13,0,0.023853211009174313,0.4988668398651264,0.4988668398651264,0.0
APH(4),acquired,13,12,1,0.023853211009174313,0.49937814382842294,0.4965176054391687,0.0028605383892542635
VEB,acquired,12,12,0,0.022018348623853212,0.5015546404289426,0.5015546404289426,0.0
LAP,acquired,12,12,0,0.022018348623853212,0.49244790227184787,0.49244790227184787,0.0
